time_s,rf_x_hz,amplitude,slm_digital
0,80500000,0,1
5e-07,80500000,1.52590219e-05,1
1e-06,80500000,3.05180438e-05,1
1.5e-06,80500000,7.62951095e-05,1
2e-06,80500000,0.000122072175,1
2.5e-06,80500000,0.000198367285,1
3e-06,80500000,0.000274662394,1
3.5e-06,80500000,0.000381475547,1
4e-06,80500000,0.000503547723,1
4.5e-06,80500000,0.000625619898,1
5e-06,80500000,0.000778210117,1
5.5e-06,80500000,0.000930800336,1
6e-06,80500000,0.0011139086,1
6.5e-06,80500000,0.00131227588,1
7e-06,80500000,0.00152590219,1
7.5e-06,80500000,0.0017395285,1
8e-06,80500000,0.00198367285,1
8.5e-06,80500000,0.00224307622,1
9e-06,80500000,0.00251773861,1
9.5e-06,80500000,0.00279240101,1
1e-05,80500000,0.00309758145,1
1.05e-05,80500000,0.0034180209,1
1.1e-05,80500000,0.00375371939,1
1.15e-05,80500000,0.00410467689,1
1.2e-05,80500000,0.00447089342,1
1.25e-05,80500000,0.00483710994,1
1.3e-05,80500000,0.00523384451,1
1.35e-05,80500000,0.0056458381,1
1.4e-05,80500000,0.00607309071,1
1.45e-05,80500000,0.00651560235,1
1.5e-05,80500000,0.00697337301,1
1.55e-05,80500000,0.00744640269,1
1.6e-05,80500000,0.00793469139,1
1.65e-05,80500000,0.00843823911,1
1.7e-05,80500000,0.00895704585,1
1.75e-05,80500000,0.00949111162,1
1.8e-05,80500000,0.0100404364,1
1.85e-05,80500000,0.0106050202,1
1.9e-05,80500000,0.0111848631,1
1.95e-05,80500000,0.0117952239,1
2e-05,80500000,0.0124055848,1
2.05e-05,80500000,0.0130312047,1
2.1e-05,80500000,0.0136720836,1
2.15e-05,80500000,0.0143282216,1
2.2e-05,80500000,0.0149996185,1
2.25e-05,80500000,0.0157015335,1
2.3e-05,80500000,0.0164034485,1
2.35e-05,80500000,0.0171206226,1
2.4e-05,80500000,0.0178530556,1
2.45e-05,80500000,0.0186160067,1
2.5e-05,80500000,0.0193789578,1
2.55e-05,80500000,0.0201571679,1
2.6e-05,80500000,0.0209506371,1
2.65e-05,80500000,0.0217746242,1
2.7e-05,80500000,0.0225986114,1
2.75e-05,80500000,0.0234378576,1
2.8e-05,80500000,0.0243076219,1
2.85e-05,80500000,0.0251773861,1
2.9e-05,80500000,0.0260776684,1
2.95e-05,80500000,0.0269779507,1
3e-05,80500000,0.027908751,1
3.05e-05,80500000,0.0288395514,1
3.1e-05,80500000,0.0297856107,1
3.15e-05,80500000,0.0307621881,1
3.2e-05,80500000,0.0317387655,1
3.25e-05,80500000,0.032745861,1
3.3e-05,80500000,0.0337682155,1
3.35e-05,80500000,0.0347905699,1
3.4e-05,80500000,0.0358434424,1
3.45e-05,80500000,0.0368963149,1
3.5e-05,80500000,0.0379797055,1
3.55e-05,80500000,0.0390630961,1
3.6e-05,80500000,0.0401770047,1
3.65e-05,80500000,0.0413061723,1
3.7e-05,80500000,0.0424353399,1
3.75e-05,80500000,0.0435950256,1
3.8e-05,80500000,0.0447699702,1
3.85e-05,80500000,0.045960174,1
3.9e-05,80500000,0.0471503777,1
3.95e-05,80500000,0.0483710994,1
4e-05,80500000,0.0496070802,1
4.05e-05,80500000,0.05085832,1
4.1e-05,80500000,0.0521095598,1
4.15e-05,80500000,0.0533913176,1
4.2e-05,80500000,0.0546883345,1
4.25e-05,80500000,0.0560006104,1
4.3e-05,80500000,0.0573281453,1
4.35e-05,80500000,0.0586709392,1
4.4e-05,80500000,0.0600137331,1
4.45e-05,80500000,0.0613870451,1
4.5e-05,80500000,0.0627756161,1
4.55e-05,80500000,0.0641794461,1
4.6e-05,80500000,0.0655985351,1
4.65e-05,80500000,0.0670328832,1
4.7e-05,80500000,0.0684824903,1
4.75e-05,80500000,0.0699473564,1
