time_s,rf_x_hz,amplitude,slm_digital
0,80500000,0,1
5e-08,80500000,0,1
1e-07,80500000,0,1
1.5e-07,80500000,0,1
2e-07,80500000,0,1
2.5e-07,80500000,0,1
3e-07,80500000,0,1
3.5e-07,80500000,0,1
4e-07,80500000,0,1
4.5e-07,80500000,0,1
5e-07,80500000,1.52590219e-05,1
5.5e-07,80500000,1.52590219e-05,1
6e-07,80500000,1.52590219e-05,1
6.5e-07,80500000,1.52590219e-05,1
7e-07,80500000,1.52590219e-05,1
7.5e-07,80500000,1.52590219e-05,1
8e-07,80500000,1.52590219e-05,1
8.5e-07,80500000,1.52590219e-05,1
9e-07,80500000,3.05180438e-05,1
9.5e-07,80500000,3.05180438e-05,1
1e-06,80500000,3.05180438e-05,1
1.05e-06,80500000,3.05180438e-05,1
1.1e-06,80500000,3.05180438e-05,1
1.15e-06,80500000,4.57770657e-05,1
1.2e-06,80500000,4.57770657e-05,1
1.25e-06,80500000,4.57770657e-05,1
1.3e-06,80500000,4.57770657e-05,1
1.35e-06,80500000,6.10360876e-05,1
1.4e-06,80500000,6.10360876e-05,1
1.45e-06,80500000,6.10360876e-05,1
1.5e-06,80500000,7.62951095e-05,1
1.55e-06,80500000,7.62951095e-05,1
1.6e-06,80500000,7.62951095e-05,1
1.65e-06,80500000,9.15541314e-05,1
1.7e-06,80500000,9.15541314e-05,1
1.75e-06,80500000,9.15541314e-05,1
1.8e-06,80500000,0.000106813153,1
1.85e-06,80500000,0.000106813153,1
1.9e-06,80500000,0.000106813153,1
1.95e-06,80500000,0.000122072175,1
2e-06,80500000,0.000122072175,1
2.05e-06,80500000,0.000137331197,1
2.1e-06,80500000,0.000137331197,1
2.15e-06,80500000,0.000137331197,1
2.2e-06,80500000,0.000152590219,1
2.25e-06,80500000,0.000152590219,1
2.3e-06,80500000,0.000167849241,1
2.35e-06,80500000,0.000167849241,1
2.4e-06,80500000,0.000183108263,1
2.45e-06,80500000,0.000183108263,1
2.5e-06,80500000,0.000198367285,1
2.55e-06,80500000,0.000198367285,1
2.6e-06,80500000,0.000213626307,1
2.65e-06,80500000,0.000213626307,1
2.7e-06,80500000,0.000228885328,1
2.75e-06,80500000,0.000228885328,1
2.8e-06,80500000,0.00024414435,1
