# example external lab waveform (units in column names)
time_us,aod_x_um,aod_y_um,aod_depth_uK,slm_factor
0,0,0,0,1
10,0.000880247,0,280,1
20,0.00668642,0,280,1
30,0.0214,0,280,1
40,0.0480395,0,280,1
50,0.0887346,0,280,1
60,0.1448,0,280,1
70,0.21681,0,280,1
80,0.304672,0,280,1
90,0.4077,0,280,1
100,0.524691,0,280,1
110,0.653998,0,280,1
120,0.7936,0,280,1
130,0.941184,0,280,1
140,1.09421,0,280,1
150,1.25,0,280,1
160,1.40579,0,280,1
170,1.55882,0,280,1
180,1.7064,0,280,1
190,1.846,0,280,1
200,1.97531,0,280,1
210,2.0923,0,280,1
220,2.19533,0,280,1
230,2.28319,0,280,1
240,2.3552,0,280,1
250,2.41127,0,280,1
260,2.45196,0,280,1
270,2.4786,0,280,1
280,2.49331,0,280,1
290,2.49912,0,280,1
300,2.5,0,280,1
