trajectory,duration_us,tau_us,distance_um,minimum_pupil_mode_overlap,max_rms_phase_rad,warning
rb_cubic,100.0,5,510,0.6867232429133403,0.9894615923249482,"mode overlap is an optical approximation diagnostic, NOT atom survival"
rb_cubic,400.0,5,510,0.9955763739730934,0.06708904918040655,"mode overlap is an optical approximation diagnostic, NOT atom survival"
rb_cubic,1000.0,5,510,0.9998807149364178,0.010924247484578303,"mode overlap is an optical approximation diagnostic, NOT atom survival"
rb_cubic,1600.0,5,510,0.9999819486383442,0.004248847361794054,"mode overlap is an optical approximation diagnostic, NOT atom survival"
rb_cubic,3000.0,5,510,0.9999985039357322,0.0012231408744214902,"mode overlap is an optical approximation diagnostic, NOT atom survival"
zero_jerk,100.0,5,510,0.7197440702181894,0.901815224769979,"mode overlap is an optical approximation diagnostic, NOT atom survival"
zero_jerk,400.0,5,510,0.9967145010328529,0.0576901203954664,"mode overlap is an optical approximation diagnostic, NOT atom survival"
zero_jerk,1000.0,5,510,0.9999143946084453,0.009253940875082186,"mode overlap is an optical approximation diagnostic, NOT atom survival"
zero_jerk,1600.0,5,510,0.9999869129451632,0.003617700467445984,"mode overlap is an optical approximation diagnostic, NOT atom survival"
zero_jerk,3000.0,5,510,0.9999989398787655,0.0010296241255018294,"mode overlap is an optical approximation diagnostic, NOT atom survival"
min_jerk,100.0,5,510,0.6802739804610597,1.0617097047103943,"mode overlap is an optical approximation diagnostic, NOT atom survival"
min_jerk,400.0,5,510,0.9956101644016351,0.06685055806361169,"mode overlap is an optical approximation diagnostic, NOT atom survival"
min_jerk,1000.0,5,510,0.9998855421323786,0.010701006622919194,"mode overlap is an optical approximation diagnostic, NOT atom survival"
min_jerk,1600.0,5,510,0.9999825337906437,0.004179408974761139,"mode overlap is an optical approximation diagnostic, NOT atom survival"
min_jerk,3000.0,5,510,0.9999985869970645,0.0011887014418723765,"mode overlap is an optical approximation diagnostic, NOT atom survival"
