species,mass,wavelength,slm_wavelength,waist,depth_uK,slm_depth_uK,temperature_uK,tau_us,geometry,trajectory,distance_um,duration_us,protocol,repeats,ramp_us,hold_us,disorder,alignment_nm,rin,pointing,dt_us,noise_us,shots,seed,average_m_s,peak_m_s,peak_x_m_s,peak_y_m_s,peak_accel_m_s2,interior_peak_jerk_m_s3,acceleration_join_jump_m_s2,complete_oneway_us,omega_r_rad_s,maximum_static_force_acceleration,tau_over_T,repeat,alive,survival,lower,upper,conditional_loss,median_energy_uK,energy_p95_uK,group,file,previous_alive,elapsed_total_us
Cs,2.2069469514370953e-25,1.055e-06,1.061e-06,1.11e-06,280.0,140.0,19.0,2.0,x,min_jerk,610.0,1000.0,A,1,200.0,100.0,0.0,0.0,0.0,0.0,0.1,0.2,4096,26091771,0.61,1.14375,1.14375,0.0,3521.8366420567195,36600000.0,0.0,1100.0,238468.88814965388,19142.96458254997,0.002,1,4064,0.9921875,0.9889888317957212,0.9946502953524142,0.0078125,-227.72638175113747,-160.67327527213288,boundary_steps,runs\boundary_steps\04cd597e0d4d33d1ac.json,4096,1100.0
Cs,2.2069469514370953e-25,1.055e-06,1.061e-06,1.11e-06,280.0,140.0,19.0,0.0,x,zero_jerk,610.0,750.0,A,1,200.0,100.0,0.0,0.0,0.0,0.0,0.025,0.2,4096,26091771,0.8133333333333332,1.2708333333333333,1.2708333333333333,0.0,5422.222222222222,21688888.888888888,5422.222222222222,850.0,238468.88814965388,19142.96458254997,0.0,1,4059,0.990966796875,0.9875702191815123,0.9936320428800363,0.009033203125,-223.13047158512106,-146.3153205839228,boundary_steps,runs\boundary_steps\0895bc91f02958bbde.json,4096,850.0
Cs,2.2069469514370953e-25,1.055e-06,1.061e-06,1.11e-06,280.0,140.0,19.0,2.0,x,min_jerk,510.0,900.0,A,1,200.0,100.0,0.0,0.0,0.0,0.0,0.05,0.2,4096,26091771,0.5666666666666667,1.0624999999999998,1.0624999999999998,0.0,3635.168361564313,41975308.641975306,0.0,1000.0,238468.88814965388,19142.96458254997,0.0022222222222222222,1,4073,0.994384765625,0.9915862355299292,0.9964371922852713,0.005615234375,-228.59772901537735,-159.60251574362462,boundary_steps,runs\boundary_steps\09972bba002af15b3c.json,4096,1000.0
Cs,2.2069469514370953e-25,1.055e-06,1.061e-06,1.11e-06,280.0,140.0,19.0,2.0,x,rb_cubic,510.0,800.0,A,1,200.0,100.0,0.0,0.0,0.0,0.0,0.05,0.2,4096,26091771,0.6375,0.9562499999999999,0.9562499999999999,0.0,4781.25,11953125.0,4781.25,899.9999999999999,238468.88814965388,19142.96458254997,0.0025,1,4061,0.991455078125,0.9881359407008664,0.9940411375087684,0.008544921875,-221.14519981688377,-138.000068616248,boundary_steps,runs\boundary_steps\0ba0f4c46346cf16b3.json,4096,899.9999999999999
Cs,2.2069469514370953e-25,1.055e-06,1.061e-06,1.11e-06,280.0,140.0,19.0,5.0,x,rb_cubic,510.0,1050.0,A,1,200.0,100.0,0.0,0.0,0.0,0.0,0.1,0.2,4096,26091771,0.48571428571428565,0.7285714285714284,0.7285714285714284,0.0,2775.5102040816323,5286686.1030126335,2775.5102040816323,1150.0,238468.88814965388,19142.96458254997,0.004761904761904762,1,4069,0.993408203125,0.9904236706136841,0.9956516020144104,0.006591796875,-205.09842197498278,-133.76544094075422,boundary_steps,runs\boundary_steps\0e1ed9d750891c004b.json,4096,1150.0
Cs,2.2069469514370953e-25,1.055e-06,1.061e-06,1.11e-06,280.0,140.0,19.0,2.0,x,min_jerk,270.0,600.0,A,1,200.0,100.0,0.0,0.0,0.0,0.0,0.025,0.2,4096,26091771,0.45000000000000007,0.84375,0.84375,0.0,4330.127018922197,75000000.00000001,0.0,700.0,238468.88814965388,19142.96458254997,0.0033333333333333335,1,4077,0.995361328125,0.9927655771540892,0.9972049759346147,0.004638671875,-229.47691969570585,-169.16433222235767,boundary_steps,runs\boundary_steps\140b465c88a94003ab.json,4096,700.0
Cs,2.2069469514370953e-25,1.055e-06,1.061e-06,1.11e-06,280.0,140.0,19.0,2.0,x,zero_jerk,610.0,900.0,A,1,200.0,100.0,0.0,0.0,0.0,0.0,0.05,0.2,4096,26091771,0.6777777777777778,1.0590277777777777,1.0590277777777777,0.0,3765.432098765432,12551440.329218108,3765.432098765432,1000.0,238468.88814965388,19142.96458254997,0.0022222222222222222,1,4079,0.995849609375,0.993363112859827,0.997580442257999,0.004150390625,-226.95833277128384,-148.91287874565944,boundary_steps,runs\boundary_steps\156b1e9be9a4f4596b.json,4096,1000.0
Cs,2.2069469514370953e-25,1.055e-06,1.061e-06,1.11e-06,280.0,140.0,19.0,2.0,x,rb_cubic,270.0,550.0,A,1,200.0,100.0,0.0,0.0,0.0,0.0,0.1,0.2,4096,26091771,0.49090909090909096,0.7363636363636364,0.7363636363636364,0.0,5355.371900826448,19474079.639368903,5355.371900826448,649.9999999999999,238468.88814965388,19142.96458254997,0.0036363636363636364,1,4056,0.990234375,0.9867255045395629,0.9930143870753734,0.009765625,-218.12652309282646,-145.33475988103612,boundary_steps,runs\boundary_steps\17cc7672cb94033fad.json,4096,649.9999999999999
Cs,2.2069469514370953e-25,1.055e-06,1.061e-06,1.11e-06,280.0,140.0,19.0,2.0,x,min_jerk,510.0,900.0,A,1,200.0,100.0,0.0,0.0,0.0,0.0,0.025,0.2,4096,26091771,0.5666666666666667,1.0624999999999998,1.0624999999999998,0.0,3635.168361564313,41975308.641975306,0.0,1000.0,238468.88814965388,19142.96458254997,0.0022222222222222222,1,4073,0.994384765625,0.9915862355299292,0.9964371922852713,0.005615234375,-228.5978575255557,-159.5699186684756,boundary_steps,runs\boundary_steps\19fc6db0e4491d0a56.json,4096,1000.0
Cs,2.2069469514370953e-25,1.055e-06,1.061e-06,1.11e-06,280.0,140.0,19.0,2.0,x,min_jerk,510.0,900.0,A,1,200.0,100.0,0.0,0.0,0.0,0.0,0.1,0.2,4096,26091771,0.5666666666666667,1.0624999999999998,1.0624999999999998,0.0,3635.168361564313,41975308.641975306,0.0,1000.0,238468.88814965388,19142.96458254997,0.0022222222222222222,1,4073,0.994384765625,0.9915862355299292,0.9964371922852713,0.005615234375,-228.59721900249727,-159.61868513741325,boundary_steps,runs\boundary_steps\1c1037193e7e3bb636.json,4096,1000.0
Cs,2.2069469514370953e-25,1.055e-06,1.061e-06,1.11e-06,280.0,140.0,19.0,2.0,x,zero_jerk,610.0,900.0,A,1,200.0,100.0,0.0,0.0,0.0,0.0,0.1,0.2,4096,26091771,0.6777777777777778,1.0590277777777777,1.0590277777777777,0.0,3765.432098765432,12551440.329218108,3765.432098765432,1000.0,238468.88814965388,19142.96458254997,0.0022222222222222222,1,4079,0.995849609375,0.993363112859827,0.997580442257999,0.004150390625,-226.9520570590496,-148.94776781473112,boundary_steps,runs\boundary_steps\1c3542dfc172ecc1e5.json,4096,1000.0
Cs,2.2069469514370953e-25,1.055e-06,1.061e-06,1.11e-06,280.0,140.0,19.0,0.0,x,zero_jerk,270.0,500.0,A,1,200.0,100.0,0.0,0.0,0.0,0.0,0.1,0.2,4096,26091771,0.54,0.84375,0.84375,0.0,5400.000000000001,32399999.999999996,5400.000000000001,600.0,238468.88814965388,19142.96458254997,0.0,1,4064,0.9921875,0.9889888317957212,0.9946502953524142,0.0078125,-224.12095840584692,-148.24133923839105,boundary_steps,runs\boundary_steps\27e401a7d8251e6129.json,4096,600.0
