distance_um,trajectory,protocol,tau_us,rin,disorder,repeat,target,supported_times_us_x,fastest_confirmed_time_us_x,maximum_confirmed_average_m_s_x,maximum_confirmed_peak_m_s_x,minimum_complete_us_x,note_x,supported_times_us_y,fastest_confirmed_time_us_y,maximum_confirmed_average_m_s_y,maximum_confirmed_peak_m_s_y,minimum_complete_us_y,note_y
270.0,min_jerk,A,0.0,0.0,0.0,1,0.99,500.0;600.0;650.0;960.0;3000.0;6000.0,500.0,0.54,1.0125,600.0,discrete confirmed points only; intervals between them NOT certified; no global optimum,500.0;600.0;650.0;960.0;3000.0;6000.0,500.0,0.54,1.0125,600.0,discrete confirmed points only; intervals between them NOT certified; no global optimum
270.0,min_jerk,A,0.0,0.0,0.0,1,0.999,960.0;3000.0;6000.0,960.0,0.28125,0.52734375,1060.0,discrete confirmed points only; intervals between them NOT certified; no global optimum,960.0;3000.0;6000.0,960.0,0.28125,0.52734375,1060.0,discrete confirmed points only; intervals between them NOT certified; no global optimum
270.0,min_jerk,A,2.0,0.0,0.0,1,0.99,600.0;650.0;1020.0;3000.0;6000.0,600.0,0.45,0.84375,700.0,discrete confirmed points only; intervals between them NOT certified; no global optimum,600.0;650.0;1020.0;3000.0;6000.0,600.0,0.45,0.84375,700.0,discrete confirmed points only; intervals between them NOT certified; no global optimum
270.0,min_jerk,A,2.0,0.0,0.0,1,0.999,1020.0;3000.0;6000.0,1020.0,0.2647058823529412,0.4963235294117648,1120.0,discrete confirmed points only; intervals between them NOT certified; no global optimum,1020.0;3000.0;6000.0,1020.0,0.2647058823529412,0.4963235294117648,1120.0,discrete confirmed points only; intervals between them NOT certified; no global optimum
270.0,min_jerk,A,5.0,0.0,0.0,1,0.99,850.0;900.0;1260.0;3000.0;6000.0,850.0,0.3176470588235294,0.5955882352941176,950.0,discrete confirmed points only; intervals between them NOT certified; no global optimum,850.0;900.0;1260.0;3000.0;6000.0,850.0,0.3176470588235294,0.5955882352941176,950.0,discrete confirmed points only; intervals between them NOT certified; no global optimum
270.0,min_jerk,A,5.0,0.0,0.0,1,0.999,1260.0;3000.0;6000.0,1260.0,0.2142857142857143,0.4017857142857143,1359.9999999999998,discrete confirmed points only; intervals between them NOT certified; no global optimum,1260.0;3000.0;6000.0,1260.0,0.2142857142857143,0.4017857142857143,1359.9999999999998,discrete confirmed points only; intervals between them NOT certified; no global optimum
270.0,rb_cubic,A,0.0,0.0,0.0,1,0.99,550.0;650.0;700.0;900.0;3000.0;6000.0,550.0,0.4909090909090909,0.7363636363636364,649.9999999999999,discrete confirmed points only; intervals between them NOT certified; no global optimum,550.0;650.0;700.0;900.0;3000.0;6000.0,550.0,0.4909090909090909,0.7363636363636364,649.9999999999999,discrete confirmed points only; intervals between them NOT certified; no global optimum
270.0,rb_cubic,A,0.0,0.0,0.0,1,0.999,900.0;3000.0;6000.0,900.0,0.3,0.45,1000.0,discrete confirmed points only; intervals between them NOT certified; no global optimum,900.0;3000.0;6000.0,900.0,0.3,0.45,1000.0,discrete confirmed points only; intervals between them NOT certified; no global optimum
270.0,rb_cubic,A,2.0,0.0,0.0,1,0.99,550.0;650.0;700.0;960.0;3000.0;6000.0,550.0,0.4909090909090909,0.7363636363636364,649.9999999999999,discrete confirmed points only; intervals between them NOT certified; no global optimum,550.0;650.0;700.0;960.0;3000.0;6000.0,550.0,0.4909090909090909,0.7363636363636364,649.9999999999999,discrete confirmed points only; intervals between them NOT certified; no global optimum
270.0,rb_cubic,A,2.0,0.0,0.0,1,0.999,960.0;3000.0;6000.0,960.0,0.28125,0.421875,1060.0,discrete confirmed points only; intervals between them NOT certified; no global optimum,960.0;3000.0;6000.0,960.0,0.28125,0.421875,1060.0,discrete confirmed points only; intervals between them NOT certified; no global optimum
270.0,rb_cubic,A,5.0,0.0,0.0,1,0.99,700.0;750.0;800.0;960.0;3000.0;6000.0,700.0,0.3857142857142857,0.5785714285714285,800.0,discrete confirmed points only; intervals between them NOT certified; no global optimum,700.0;750.0;800.0;960.0;3000.0;6000.0,700.0,0.3857142857142857,0.5785714285714285,800.0,discrete confirmed points only; intervals between them NOT certified; no global optimum
270.0,rb_cubic,A,5.0,0.0,0.0,1,0.999,960.0;3000.0;6000.0,960.0,0.28125,0.421875,1060.0,discrete confirmed points only; intervals between them NOT certified; no global optimum,960.0;3000.0;6000.0,960.0,0.28125,0.421875,1060.0,discrete confirmed points only; intervals between them NOT certified; no global optimum
270.0,zero_jerk,A,0.0,0.0,0.0,1,0.99,500.0;650.0;700.0;900.0;3000.0;6000.0,500.0,0.54,0.84375,600.0,discrete confirmed points only; intervals between them NOT certified; no global optimum,500.0;650.0;700.0;900.0;3000.0;6000.0,500.0,0.54,0.84375,600.0,discrete confirmed points only; intervals between them NOT certified; no global optimum
270.0,zero_jerk,A,0.0,0.0,0.0,1,0.999,900.0;3000.0;6000.0,900.0,0.3,0.46875,1000.0,discrete confirmed points only; intervals between them NOT certified; no global optimum,900.0;3000.0;6000.0,900.0,0.3,0.46875,1000.0,discrete confirmed points only; intervals between them NOT certified; no global optimum
270.0,zero_jerk,A,2.0,0.0,0.0,1,0.99,550.0;650.0;700.0;960.0;3000.0;6000.0,550.0,0.4909090909090909,0.7670454545454547,649.9999999999999,discrete confirmed points only; intervals between them NOT certified; no global optimum,550.0;650.0;700.0;960.0;3000.0;6000.0,550.0,0.4909090909090909,0.7670454545454547,649.9999999999999,discrete confirmed points only; intervals between them NOT certified; no global optimum
270.0,zero_jerk,A,2.0,0.0,0.0,1,0.999,960.0;3000.0;6000.0,960.0,0.28125,0.439453125,1060.0,discrete confirmed points only; intervals between them NOT certified; no global optimum,960.0;3000.0;6000.0,960.0,0.28125,0.439453125,1060.0,discrete confirmed points only; intervals between them NOT certified; no global optimum
