distance_um,trajectory,tau_us,dt_us,target,shortest_supported_tested_us,average_m_s,times_tested_us,note
270.0,min_jerk,0.0,0.025,0.99,500.0,0.54,500.0,99% threshold in tested refinement subset only; no continuous boundary or 99.9% certification
270.0,min_jerk,0.0,0.05,0.99,500.0,0.54,500.0,99% threshold in tested refinement subset only; no continuous boundary or 99.9% certification
270.0,min_jerk,0.0,0.1,0.99,500.0,0.54,500.0,99% threshold in tested refinement subset only; no continuous boundary or 99.9% certification
270.0,min_jerk,2.0,0.025,0.99,600.0,0.45,600.0,99% threshold in tested refinement subset only; no continuous boundary or 99.9% certification
270.0,min_jerk,2.0,0.05,0.99,600.0,0.45,600.0,99% threshold in tested refinement subset only; no continuous boundary or 99.9% certification
270.0,min_jerk,2.0,0.1,0.99,600.0,0.45,600.0,99% threshold in tested refinement subset only; no continuous boundary or 99.9% certification
270.0,min_jerk,5.0,0.025,0.99,850.0,0.3176470588235294,850.0,99% threshold in tested refinement subset only; no continuous boundary or 99.9% certification
270.0,min_jerk,5.0,0.05,0.99,850.0,0.3176470588235294,850.0,99% threshold in tested refinement subset only; no continuous boundary or 99.9% certification
270.0,min_jerk,5.0,0.1,0.99,850.0,0.3176470588235294,850.0,99% threshold in tested refinement subset only; no continuous boundary or 99.9% certification
270.0,rb_cubic,0.0,0.025,0.99,550.0,0.4909090909090909,550.0,99% threshold in tested refinement subset only; no continuous boundary or 99.9% certification
270.0,rb_cubic,0.0,0.05,0.99,550.0,0.4909090909090909,550.0,99% threshold in tested refinement subset only; no continuous boundary or 99.9% certification
270.0,rb_cubic,0.0,0.1,0.99,550.0,0.4909090909090909,550.0,99% threshold in tested refinement subset only; no continuous boundary or 99.9% certification
270.0,rb_cubic,2.0,0.025,0.99,,,550.0,99% threshold in tested refinement subset only; no continuous boundary or 99.9% certification
270.0,rb_cubic,2.0,0.05,0.99,,,550.0,99% threshold in tested refinement subset only; no continuous boundary or 99.9% certification
270.0,rb_cubic,2.0,0.1,0.99,,,550.0,99% threshold in tested refinement subset only; no continuous boundary or 99.9% certification
270.0,rb_cubic,5.0,0.025,0.99,700.0,0.38571428571428573,700.0,99% threshold in tested refinement subset only; no continuous boundary or 99.9% certification
270.0,rb_cubic,5.0,0.05,0.99,700.0,0.38571428571428573,700.0,99% threshold in tested refinement subset only; no continuous boundary or 99.9% certification
270.0,rb_cubic,5.0,0.1,0.99,700.0,0.38571428571428573,700.0,99% threshold in tested refinement subset only; no continuous boundary or 99.9% certification
270.0,zero_jerk,0.0,0.025,0.99,,,500.0,99% threshold in tested refinement subset only; no continuous boundary or 99.9% certification
270.0,zero_jerk,0.0,0.05,0.99,,,500.0,99% threshold in tested refinement subset only; no continuous boundary or 99.9% certification
270.0,zero_jerk,0.0,0.1,0.99,,,500.0,99% threshold in tested refinement subset only; no continuous boundary or 99.9% certification
270.0,zero_jerk,2.0,0.025,0.99,,,550.0,99% threshold in tested refinement subset only; no continuous boundary or 99.9% certification
270.0,zero_jerk,2.0,0.05,0.99,,,550.0,99% threshold in tested refinement subset only; no continuous boundary or 99.9% certification
270.0,zero_jerk,2.0,0.1,0.99,,,550.0,99% threshold in tested refinement subset only; no continuous boundary or 99.9% certification
270.0,zero_jerk,5.0,0.025,0.99,700.0,0.38571428571428573,700.0,99% threshold in tested refinement subset only; no continuous boundary or 99.9% certification
270.0,zero_jerk,5.0,0.05,0.99,700.0,0.38571428571428573,700.0,99% threshold in tested refinement subset only; no continuous boundary or 99.9% certification
270.0,zero_jerk,5.0,0.1,0.99,700.0,0.38571428571428573,700.0,99% threshold in tested refinement subset only; no continuous boundary or 99.9% certification
510.0,min_jerk,0.0,0.025,0.99,700.0,0.7285714285714285,700.0;800.0;850.0,99% threshold in tested refinement subset only; no continuous boundary or 99.9% certification
510.0,min_jerk,0.0,0.05,0.99,700.0,0.7285714285714285,700.0;800.0;850.0,99% threshold in tested refinement subset only; no continuous boundary or 99.9% certification
510.0,min_jerk,0.0,0.1,0.99,700.0,0.7285714285714285,700.0;800.0;850.0,99% threshold in tested refinement subset only; no continuous boundary or 99.9% certification
510.0,min_jerk,2.0,0.025,0.99,900.0,0.5666666666666667,900.0;1050.0;1100.0,99% threshold in tested refinement subset only; no continuous boundary or 99.9% certification
510.0,min_jerk,2.0,0.05,0.99,900.0,0.5666666666666667,900.0;1050.0;1100.0,99% threshold in tested refinement subset only; no continuous boundary or 99.9% certification
510.0,min_jerk,2.0,0.1,0.99,900.0,0.5666666666666667,900.0;1050.0;1100.0,99% threshold in tested refinement subset only; no continuous boundary or 99.9% certification
510.0,min_jerk,5.0,0.025,0.99,1400.0,0.36428571428571427,1300.0;1400.0;1500.0,99% threshold in tested refinement subset only; no continuous boundary or 99.9% certification
510.0,min_jerk,5.0,0.05,0.99,1400.0,0.36428571428571427,1300.0;1400.0;1500.0,99% threshold in tested refinement subset only; no continuous boundary or 99.9% certification
510.0,min_jerk,5.0,0.1,0.99,1400.0,0.36428571428571427,1300.0;1400.0;1500.0,99% threshold in tested refinement subset only; no continuous boundary or 99.9% certification
510.0,rb_cubic,0.0,0.025,0.99,850.0,0.6,850.0;900.0,99% threshold in tested refinement subset only; no continuous boundary or 99.9% certification
510.0,rb_cubic,0.0,0.05,0.99,850.0,0.6,850.0;900.0,99% threshold in tested refinement subset only; no continuous boundary or 99.9% certification
510.0,rb_cubic,0.0,0.1,0.99,850.0,0.6,850.0;900.0,99% threshold in tested refinement subset only; no continuous boundary or 99.9% certification
510.0,rb_cubic,2.0,0.025,0.99,1000.0,0.51,800.0;1000.0;1050.0,99% threshold in tested refinement subset only; no continuous boundary or 99.9% certification
510.0,rb_cubic,2.0,0.05,0.99,1000.0,0.51,800.0;1000.0;1050.0,99% threshold in tested refinement subset only; no continuous boundary or 99.9% certification
510.0,rb_cubic,2.0,0.1,0.99,1000.0,0.51,800.0;1000.0;1050.0,99% threshold in tested refinement subset only; no continuous boundary or 99.9% certification
510.0,rb_cubic,5.0,0.025,0.99,1050.0,0.4857142857142857,1050.0;1100.0;1150.0,99% threshold in tested refinement subset only; no continuous boundary or 99.9% certification
510.0,rb_cubic,5.0,0.05,0.99,1050.0,0.4857142857142857,1050.0;1100.0;1150.0,99% threshold in tested refinement subset only; no continuous boundary or 99.9% certification
510.0,rb_cubic,5.0,0.1,0.99,1050.0,0.4857142857142857,1050.0;1100.0;1150.0,99% threshold in tested refinement subset only; no continuous boundary or 99.9% certification
510.0,zero_jerk,0.0,0.025,0.99,700.0,0.7285714285714285,700.0;850.0;900.0,99% threshold in tested refinement subset only; no continuous boundary or 99.9% certification
510.0,zero_jerk,0.0,0.05,0.99,700.0,0.7285714285714285,700.0;850.0;900.0,99% threshold in tested refinement subset only; no continuous boundary or 99.9% certification
510.0,zero_jerk,0.0,0.1,0.99,700.0,0.7285714285714285,700.0;850.0;900.0,99% threshold in tested refinement subset only; no continuous boundary or 99.9% certification
510.0,zero_jerk,2.0,0.025,0.99,900.0,0.5666666666666667,750.0;900.0;950.0,99% threshold in tested refinement subset only; no continuous boundary or 99.9% certification
510.0,zero_jerk,2.0,0.05,0.99,900.0,0.5666666666666667,750.0;900.0;950.0,99% threshold in tested refinement subset only; no continuous boundary or 99.9% certification
510.0,zero_jerk,2.0,0.1,0.99,900.0,0.5666666666666667,750.0;900.0;950.0,99% threshold in tested refinement subset only; no continuous boundary or 99.9% certification
510.0,zero_jerk,5.0,0.025,0.99,1100.0,0.4636363636363636,1100.0;1150.0;1200.0,99% threshold in tested refinement subset only; no continuous boundary or 99.9% certification
510.0,zero_jerk,5.0,0.05,0.99,1100.0,0.4636363636363636,1100.0;1150.0;1200.0,99% threshold in tested refinement subset only; no continuous boundary or 99.9% certification
510.0,zero_jerk,5.0,0.1,0.99,1100.0,0.4636363636363636,1100.0;1150.0;1200.0,99% threshold in tested refinement subset only; no continuous boundary or 99.9% certification
610.0,min_jerk,0.0,0.025,0.99,,,750.0,99% threshold in tested refinement subset only; no continuous boundary or 99.9% certification
610.0,min_jerk,0.0,0.05,0.99,,,750.0,99% threshold in tested refinement subset only; no continuous boundary or 99.9% certification
610.0,min_jerk,0.0,0.1,0.99,,,750.0,99% threshold in tested refinement subset only; no continuous boundary or 99.9% certification
610.0,min_jerk,2.0,0.025,0.99,,,1000.0,99% threshold in tested refinement subset only; no continuous boundary or 99.9% certification
610.0,min_jerk,2.0,0.05,0.99,,,1000.0,99% threshold in tested refinement subset only; no continuous boundary or 99.9% certification
610.0,min_jerk,2.0,0.1,0.99,,,1000.0,99% threshold in tested refinement subset only; no continuous boundary or 99.9% certification
610.0,min_jerk,5.0,0.025,0.99,1500.0,0.4066666666666667,1500.0,99% threshold in tested refinement subset only; no continuous boundary or 99.9% certification
610.0,min_jerk,5.0,0.05,0.99,1500.0,0.4066666666666667,1500.0,99% threshold in tested refinement subset only; no continuous boundary or 99.9% certification
