distance_um,trajectory,tau_us,duration_us,dt_us,shots,alive,survival,lower,upper,status99
270.0,min_jerk,0.0,500.0,0.025,4096,4071,0.993896484375,0.9910031067871977,0.9960463469352294,supported
270.0,min_jerk,0.0,500.0,0.05,4096,4071,0.993896484375,0.9910031067871977,0.9960463469352294,supported
270.0,min_jerk,0.0,500.0,0.1,4096,4071,0.993896484375,0.9910031067871977,0.9960463469352294,supported
270.0,min_jerk,2.0,600.0,0.025,4096,4077,0.995361328125,0.9927655771540892,0.9972049759346147,supported
270.0,min_jerk,2.0,600.0,0.05,4096,4077,0.995361328125,0.9927655771540892,0.9972049759346147,supported
270.0,min_jerk,2.0,600.0,0.1,4096,4077,0.995361328125,0.9927655771540892,0.9972049759346147,supported
270.0,min_jerk,5.0,850.0,0.025,4096,4081,0.996337890625,0.9939670895587034,0.9979489409126359,supported
270.0,min_jerk,5.0,850.0,0.05,4096,4081,0.996337890625,0.9939670895587034,0.9979489409126359,supported
270.0,min_jerk,5.0,850.0,0.1,4096,4081,0.996337890625,0.9939670895587034,0.9979489409126359,supported
270.0,rb_cubic,0.0,550.0,0.025,4096,4076,0.9951171875,0.9924689179787353,0.997014977018637,supported
270.0,rb_cubic,0.0,550.0,0.05,4096,4076,0.9951171875,0.9924689179787353,0.997014977018637,supported
270.0,rb_cubic,0.0,550.0,0.1,4096,4076,0.9951171875,0.9924689179787353,0.997014977018637,supported
270.0,rb_cubic,2.0,550.0,0.025,4096,4056,0.990234375,0.9867255045395629,0.9930143870753734,uncertain
270.0,rb_cubic,2.0,550.0,0.05,4096,4056,0.990234375,0.9867255045395629,0.9930143870753734,uncertain
270.0,rb_cubic,2.0,550.0,0.1,4096,4056,0.990234375,0.9867255045395629,0.9930143870753734,uncertain
270.0,rb_cubic,5.0,700.0,0.025,4096,4073,0.994384765625,0.9915862355299292,0.9964371922852713,supported
270.0,rb_cubic,5.0,700.0,0.05,4096,4073,0.994384765625,0.9915862355299292,0.9964371922852713,supported
270.0,rb_cubic,5.0,700.0,0.1,4096,4074,0.99462890625,0.9918793286918032,0.9966309945813342,supported
270.0,zero_jerk,0.0,500.0,0.025,4096,4064,0.9921875,0.9889888317957212,0.9946502953524142,uncertain
270.0,zero_jerk,0.0,500.0,0.05,4096,4064,0.9921875,0.9889888317957212,0.9946502953524142,uncertain
270.0,zero_jerk,0.0,500.0,0.1,4096,4064,0.9921875,0.9889888317957212,0.9946502953524142,uncertain
270.0,zero_jerk,2.0,550.0,0.025,4096,4065,0.992431640625,0.9892743809946891,0.994852041827604,uncertain
270.0,zero_jerk,2.0,550.0,0.05,4096,4065,0.992431640625,0.9892743809946891,0.994852041827604,uncertain
270.0,zero_jerk,2.0,550.0,0.1,4096,4065,0.992431640625,0.9892743809946891,0.994852041827604,uncertain
270.0,zero_jerk,5.0,700.0,0.025,4096,4071,0.993896484375,0.9910031067871977,0.9960463469352294,supported
270.0,zero_jerk,5.0,700.0,0.05,4096,4071,0.993896484375,0.9910031067871977,0.9960463469352294,supported
270.0,zero_jerk,5.0,700.0,0.1,4096,4071,0.993896484375,0.9910031067871977,0.9960463469352294,supported
510.0,min_jerk,0.0,700.0,0.025,4096,4071,0.993896484375,0.9910031067871977,0.9960463469352294,supported
510.0,min_jerk,0.0,700.0,0.05,4096,4071,0.993896484375,0.9910031067871977,0.9960463469352294,supported
510.0,min_jerk,0.0,700.0,0.1,4096,4071,0.993896484375,0.9910031067871977,0.9960463469352294,supported
510.0,min_jerk,0.0,800.0,0.025,2048,2043,0.99755859375,0.9943118427328541,0.9992068216322598,supported
510.0,min_jerk,0.0,800.0,0.05,2048,2043,0.99755859375,0.9943118427328541,0.9992068216322598,supported
510.0,min_jerk,0.0,800.0,0.1,2048,2043,0.99755859375,0.9943118427328541,0.9992068216322598,supported
510.0,min_jerk,0.0,850.0,0.025,2048,2044,0.998046875,0.9950068401733276,0.9994675908044266,supported
510.0,min_jerk,0.0,850.0,0.05,2048,2044,0.998046875,0.9950068401733276,0.9994675908044266,supported
510.0,min_jerk,0.0,850.0,0.1,2048,2044,0.998046875,0.9950068401733276,0.9994675908044266,supported
510.0,min_jerk,2.0,900.0,0.025,4096,4073,0.994384765625,0.9915862355299292,0.9964371922852713,supported
