species,mass,wavelength,slm_wavelength,waist,depth_uK,slm_depth_uK,temperature_uK,tau_us,geometry,trajectory,distance_um,duration_us,protocol,repeats,ramp_us,hold_us,disorder,alignment_nm,rin,pointing,dt_us,noise_us,shots,seed,average_m_s,peak_m_s,peak_x_m_s,peak_y_m_s,peak_accel_m_s2,interior_peak_jerk_m_s3,acceleration_join_jump_m_s2,complete_oneway_us,omega_r_rad_s,maximum_static_force_acceleration,tau_over_T,repeat,alive,survival,lower,upper,conditional_loss,median_energy_uK,energy_p95_uK,group,file,previous_alive,elapsed_total_us
Cs,2.2069469514370957e-25,1.055e-06,1.061e-06,1.11e-06,280.0,140.0,19.0,2.4,x,min_jerk,270.0,600.0,A,10,200.0,100.0,0.0,0.0,0.0,0.0,0.1,0.2,1024,26091791,0.45,0.84375,0.84375,0.0,4330.127018922197,75000000.00000001,0.0,700.0,238468.88814965388,19142.96458254997,0.004,1,1011,0.9873046875,0.9783884687104616,0.9932234361277992,0.0126953125,-225.39261071606083,-168.54815578732456,edge_robustness,runs\edge_robustness\0173e56c878704193b.json,1024,700.0
Cs,2.2069469514370957e-25,1.055e-06,1.061e-06,1.11e-06,280.0,140.0,19.0,2.4,x,min_jerk,270.0,600.0,A,10,200.0,100.0,0.0,0.0,0.0,0.0,0.1,0.2,1024,26091791,0.45,0.84375,0.84375,0.0,4330.127018922197,75000000.00000001,0.0,700.0,238468.88814965388,19142.96458254997,0.004,10,942,0.919921875,0.9015750733765788,0.9358074926339924,0.0052798310454065,-213.4758155348109,-162.4211298753466,edge_robustness,runs\edge_robustness\0173e56c878704193b.json,947,7000.0
Cs,2.2069469514370957e-25,1.055e-06,1.061e-06,1.11e-06,280.0,140.0,19.0,6.0,x,zero_jerk,610.0,1400.0,A,10,200.0,100.0,0.0,0.0,0.0,0.0,0.1,0.2,1024,26091791,0.4357142857142857,0.6808035714285714,0.6808035714285714,0.0,1556.1224489795918,3334548.1049562683,1556.1224489795918,1500.0,238468.88814965388,19142.96458254997,0.0042857142857142,1,1020,0.99609375,0.9900288944959906,0.9989346840702836,0.00390625,-211.69630069839,-116.31441696702323,edge_robustness,runs\edge_robustness\028e594f0859821fa3.json,1024,1500.0
Cs,2.2069469514370957e-25,1.055e-06,1.061e-06,1.11e-06,280.0,140.0,19.0,6.0,x,zero_jerk,610.0,1400.0,A,10,200.0,100.0,0.0,0.0,0.0,0.0,0.1,0.2,1024,26091791,0.4357142857142857,0.6808035714285714,0.6808035714285714,0.0,1556.1224489795918,3334548.1049562683,1556.1224489795918,1500.0,238468.88814965388,19142.96458254997,0.0042857142857142,10,605,0.5908203125,0.5599915240709838,0.6211254906462182,0.0874811463046757,-163.8107777012537,-83.19510765502328,edge_robustness,runs\edge_robustness\028e594f0859821fa3.json,663,15000.0
Cs,2.2069469514370957e-25,1.055e-06,1.061e-06,1.11e-06,280.0,140.0,30.0,5.0,x,rb_cubic,610.0,1200.0,A,10,200.0,100.0,0.0,0.0,0.0,0.0,0.1,0.2,1024,26091791,0.5083333333333333,0.7625000000000001,0.7625000000000001,0.0,2541.666666666667,4236111.111111112,2541.666666666667,1300.0,238468.88814965388,19142.96458254997,0.0041666666666666,1,963,0.9404296875,0.9241337823600928,0.954130589879593,0.0595703125,-189.77807864025652,-111.20687633496256,edge_robustness,runs\edge_robustness\02cd90aa8e57929c47.json,1024,1300.0
Cs,2.2069469514370957e-25,1.055e-06,1.061e-06,1.11e-06,280.0,140.0,30.0,5.0,x,rb_cubic,610.0,1200.0,A,10,200.0,100.0,0.0,0.0,0.0,0.0,0.1,0.2,1024,26091791,0.5083333333333333,0.7625000000000001,0.7625000000000001,0.0,2541.666666666667,4236111.111111112,2541.666666666667,1300.0,238468.88814965388,19142.96458254997,0.0041666666666666,10,343,0.3349609375,0.306074057668508,0.3648001441048543,0.115979381443299,-170.95119587433132,-97.61171481642748,edge_robustness,runs\edge_robustness\02cd90aa8e57929c47.json,388,13000.0
Cs,2.2069469514370957e-25,1.055e-06,1.061e-06,1.11e-06,280.0,140.0,19.0,0.0,x,rb_cubic,610.0,800.0,A,10,200.0,100.0,0.02,0.0,0.0,0.0,0.1,0.2,1024,26091791,0.7625000000000001,1.14375,1.14375,0.0,5718.750000000001,14296875.000000004,5718.750000000001,899.9999999999999,238468.88814965388,19142.96458254997,0.0,1,1011,0.9873046875,0.9783884687104616,0.9932234361277992,0.0126953125,-220.6269982397659,-138.37972614460202,edge_robustness,runs\edge_robustness\03c4c4ee41b46fb9bc.json,1024,899.9999999999999
Cs,2.2069469514370957e-25,1.055e-06,1.061e-06,1.11e-06,280.0,140.0,19.0,0.0,x,rb_cubic,610.0,800.0,A,10,200.0,100.0,0.02,0.0,0.0,0.0,0.1,0.2,1024,26091791,0.7625000000000001,1.14375,1.14375,0.0,5718.750000000001,14296875.000000004,5718.750000000001,899.9999999999999,238468.88814965388,19142.96458254997,0.0,10,529,0.5166015625,0.4854953957805751,0.5476120473216344,0.0910652920962199,-183.76478742625167,-92.14726749501732,edge_robustness,runs\edge_robustness\03c4c4ee41b46fb9bc.json,582,8999.999999999998
Cs,2.2069469514370957e-25,1.055e-06,1.061e-06,1.11e-06,280.0,140.0,30.0,0.0,x,rb_cubic,510.0,850.0,A,10,200.0,100.0,0.0,0.0,0.0,0.0,0.1,0.2,1024,26091791,0.6,0.8999999999999999,0.8999999999999999,0.0,4235.294117647059,9965397.923875432,4235.294117647059,950.0,238468.88814965388,19142.96458254997,0.0,1,984,0.9609375,0.94718552575106,0.9719491834866174,0.0390625,-200.37057691028883,-107.50394819248804,edge_robustness,runs\edge_robustness\04232e68f2a497e992.json,1024,950.0
Cs,2.2069469514370957e-25,1.055e-06,1.061e-06,1.11e-06,280.0,140.0,30.0,0.0,x,rb_cubic,510.0,850.0,A,10,200.0,100.0,0.0,0.0,0.0,0.0,0.1,0.2,1024,26091791,0.6,0.8999999999999999,0.8999999999999999,0.0,4235.294117647059,9965397.923875432,4235.294117647059,950.0,238468.88814965388,19142.96458254997,0.0,10,684,0.66796875,0.6381842802511584,0.6967839420443704,0.0578512396694215,-176.27092066384176,-103.0423933625905,edge_robustness,runs\edge_robustness\04232e68f2a497e992.json,726,9500.0
Cs,2.2069469514370957e-25,1.055e-06,1.061e-06,1.11e-06,280.0,140.0,19.0,0.0,x,min_jerk,270.0,495.0,A,10,200.0,100.0,0.0,0.0,0.0,0.0,0.1,0.2,1024,26091791,0.5454545454545454,1.0227272727272727,1.0227272727272727,0.0,6361.986437351253,133567075.71583603,0.0,595.0,238468.88814965388,19142.96458254997,0.0,1,1014,0.990234375,0.9821142094397723,0.9953073510525056,0.009765625,-231.84812147275105,-169.8586915678408,edge_robustness,runs\edge_robustness\0447e055106a5bc6d9.json,1024,595.0
Cs,2.2069469514370957e-25,1.055e-06,1.061e-06,1.11e-06,280.0,140.0,19.0,0.0,x,min_jerk,270.0,495.0,A,10,200.0,100.0,0.0,0.0,0.0,0.0,0.1,0.2,1024,26091791,0.5454545454545454,1.0227272727272727,1.0227272727272727,0.0,6361.986437351253,133567075.71583603,0.0,595.0,238468.88814965388,19142.96458254997,0.0,10,1002,0.978515625,0.9676522547406408,0.9864880568921496,0.0,-232.48459181475823,-172.09465190308202,edge_robustness,runs\edge_robustness\0447e055106a5bc6d9.json,1002,5950.0
Cs,2.2069469514370957e-25,1.055e-06,1.061e-06,1.17e-06,280.0,140.0,19.0,5.0,x,min_jerk,270.0,850.0,A,10,200.0,100.0,0.0,0.0,0.0,0.0,0.1,0.2,1024,26091791,0.3176470588235294,0.5955882352941176,0.5955882352941176,0.0,2157.571940224209,26378994.504376147,0.0,950.0,226239.7143983896,18161.274091137147,0.0058823529411764,1,1017,0.9931640625,0.9859663600077746,0.9972473114313848,0.0068359375,-197.548551379705,-143.35663893549224,edge_robustness,runs\edge_robustness\0494986cd2ac5b91f2.json,1024,950.0
Cs,2.2069469514370957e-25,1.055e-06,1.061e-06,1.17e-06,280.0,140.0,19.0,5.0,x,min_jerk,270.0,850.0,A,10,200.0,100.0,0.0,0.0,0.0,0.0,0.1,0.2,1024,26091791,0.3176470588235294,0.5955882352941176,0.5955882352941176,0.0,2157.571940224209,26378994.504376147,0.0,950.0,226239.7143983896,18161.274091137147,0.0058823529411764,10,855,0.8349609375,0.8107806085454963,0.8571972083597845,0.018369690011481,-195.34369626792105,-120.48259164237412,edge_robustness,runs\edge_robustness\0494986cd2ac5b91f2.json,871,9500.0
