species,mass,wavelength,slm_wavelength,waist,depth_uK,slm_depth_uK,temperature_uK,tau_us,geometry,trajectory,distance_um,duration_us,protocol,repeats,ramp_us,hold_us,disorder,alignment_nm,rin,pointing,dt_us,noise_us,shots,seed,average_m_s,peak_m_s,peak_x_m_s,peak_y_m_s,peak_accel_m_s2,interior_peak_jerk_m_s3,acceleration_join_jump_m_s2,complete_oneway_us,omega_r_rad_s,maximum_static_force_acceleration,tau_over_T,repeat,alive,survival,lower,upper,conditional_loss,median_energy_uK,energy_p95_uK,group,file,previous_alive,elapsed_total_us
Cs,2.2069469514370957e-25,1.055e-06,1.061e-06,1.11e-06,280.0,140.0,19.0,5.0,x,zero_jerk,510.0,1600.0,B,50,200.0,100.0,0.02,50.0,0.0,0.0,0.1,0.2,2048,26091781,0.31875,0.4980468749999999,0.4980468749999999,0.0,996.09375,1867675.78125,996.09375,2100.0,238468.88814965388,19142.96458254997,0.003125,1,2040,0.99609375,0.9923177128185016,0.9983120961181188,0.00390625,-94.02524458528704,-38.9511111103333,handoff_controls,runs\handoff_controls\2c5da7ad37ebabcf64.json,2048,2100.0
Cs,2.2069469514370957e-25,1.055e-06,1.061e-06,1.11e-06,280.0,140.0,19.0,5.0,x,zero_jerk,510.0,1600.0,B,50,200.0,100.0,0.02,50.0,0.0,0.0,0.1,0.2,2048,26091781,0.31875,0.4980468749999999,0.4980468749999999,0.0,996.09375,1867675.78125,996.09375,2100.0,238468.88814965388,19142.96458254997,0.003125,10,1933,0.94384765625,0.9329806168257846,0.9534209174023454,0.002579979360165,-89.72245148692508,-33.45364753871474,handoff_controls,runs\handoff_controls\2c5da7ad37ebabcf64.json,1938,21000.0
Cs,2.2069469514370957e-25,1.055e-06,1.061e-06,1.11e-06,280.0,140.0,19.0,5.0,x,zero_jerk,510.0,1600.0,B,50,200.0,100.0,0.02,50.0,0.0,0.0,0.1,0.2,2048,26091781,0.31875,0.4980468749999999,0.4980468749999999,0.0,996.09375,1867675.78125,996.09375,2100.0,238468.88814965388,19142.96458254997,0.003125,50,1354,0.6611328125,0.6401697926606351,0.681633569214768,0.0109569028487946,-85.42469025355336,-27.6983210405649,handoff_controls,runs\handoff_controls\2c5da7ad37ebabcf64.json,1369,105000.0
Cs,2.2069469514370957e-25,1.055e-06,1.061e-06,1.11e-06,280.0,140.0,19.0,5.0,x,zero_jerk,0.0,1600.0,B,50,800.0,100.0,0.02,50.0,0.0,0.0,0.1,0.2,2048,26091781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3300.0,238468.88814965388,19142.96458254997,0.003125,1,2048,1.0,0.9982004105354624,1.0,0.0,-94.38579776819248,-38.20761347106893,handoff_controls,runs\handoff_controls\4ef942f1631133f464.json,2048,3300.0
Cs,2.2069469514370957e-25,1.055e-06,1.061e-06,1.11e-06,280.0,140.0,19.0,5.0,x,zero_jerk,0.0,1600.0,B,50,800.0,100.0,0.02,50.0,0.0,0.0,0.1,0.2,2048,26091781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3300.0,238468.88814965388,19142.96458254997,0.003125,10,2032,0.9921875,0.9873439171610032,0.9955280792559033,0.0,-94.80117861184878,-40.85212038237098,handoff_controls,runs\handoff_controls\4ef942f1631133f464.json,2032,33000.0
Cs,2.2069469514370957e-25,1.055e-06,1.061e-06,1.11e-06,280.0,140.0,19.0,5.0,x,zero_jerk,0.0,1600.0,B,50,800.0,100.0,0.02,50.0,0.0,0.0,0.1,0.2,2048,26091781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3300.0,238468.88814965388,19142.96458254997,0.003125,50,2015,0.98388671875,0.9774448082969596,0.9888830729557871,0.0004960317460317,-95.12674016533194,-43.66280189502339,handoff_controls,runs\handoff_controls\4ef942f1631133f464.json,2016,165000.0
Cs,2.2069469514370957e-25,1.055e-06,1.061e-06,1.11e-06,280.0,140.0,19.0,5.0,x,zero_jerk,510.0,6000.0,B,50,200.0,100.0,0.02,0.0,0.0,0.0,0.1,0.2,2048,26091781,0.0849999999999999,0.1328124999999999,0.1328124999999999,0.0,70.83333333333333,35416.666666666664,70.83333333333333,6500.0,238468.88814965388,19142.96458254997,0.0008333333333333,1,2047,0.99951171875,0.9972825055060336,0.999987637865482,0.00048828125,-94.58095529193618,-38.95546898192052,handoff_controls,runs\handoff_controls\4fb54b5eae223e7c9e.json,2048,6500.0
Cs,2.2069469514370957e-25,1.055e-06,1.061e-06,1.11e-06,280.0,140.0,19.0,5.0,x,zero_jerk,510.0,6000.0,B,50,200.0,100.0,0.02,0.0,0.0,0.0,0.1,0.2,2048,26091781,0.0849999999999999,0.1328124999999999,0.1328124999999999,0.0,70.83333333333333,35416.666666666664,70.83333333333333,6500.0,238468.88814965388,19142.96458254997,0.0008333333333333,10,2001,0.97705078125,0.969598235964891,0.9830902009007112,0.00099850224663,-95.11344352692772,-44.781294544173335,handoff_controls,runs\handoff_controls\4fb54b5eae223e7c9e.json,2003,65000.0
Cs,2.2069469514370957e-25,1.055e-06,1.061e-06,1.11e-06,280.0,140.0,19.0,5.0,x,zero_jerk,510.0,6000.0,B,50,200.0,100.0,0.02,0.0,0.0,0.0,0.1,0.2,2048,26091781,0.0849999999999999,0.1328124999999999,0.1328124999999999,0.0,70.83333333333333,35416.666666666664,70.83333333333333,6500.0,238468.88814965388,19142.96458254997,0.0008333333333333,50,1931,0.94287109375,0.9319247075205735,0.9525268661690104,0.0005175983436852,-94.72308304639898,-50.60744246442565,handoff_controls,runs\handoff_controls\4fb54b5eae223e7c9e.json,1932,325000.0
Cs,2.2069469514370957e-25,1.055e-06,1.061e-06,1.11e-06,280.0,140.0,19.0,5.0,x,zero_jerk,0.0,1600.0,B,50,200.0,100.0,0.02,50.0,0.0,0.0,0.1,0.2,2048,26091781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2100.0,238468.88814965388,19142.96458254997,0.003125,1,2048,1.0,0.9982004105354624,1.0,0.0,-94.31945236072252,-38.08047770922799,handoff_controls,runs\handoff_controls\529607809db4af2199.json,2048,2100.0
Cs,2.2069469514370957e-25,1.055e-06,1.061e-06,1.11e-06,280.0,140.0,19.0,5.0,x,zero_jerk,0.0,1600.0,B,50,200.0,100.0,0.02,50.0,0.0,0.0,0.1,0.2,2048,26091781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2100.0,238468.88814965388,19142.96458254997,0.003125,10,2007,0.97998046875,0.972938426844915,0.9855962792838068,0.0014925373134327,-95.04007092948764,-44.02091795999976,handoff_controls,runs\handoff_controls\529607809db4af2199.json,2010,21000.0
Cs,2.2069469514370957e-25,1.055e-06,1.061e-06,1.11e-06,280.0,140.0,19.0,5.0,x,zero_jerk,0.0,1600.0,B,50,200.0,100.0,0.02,50.0,0.0,0.0,0.1,0.2,2048,26091781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2100.0,238468.88814965388,19142.96458254997,0.003125,50,1951,0.95263671875,0.942524194463226,0.9614264776780406,0.0010240655401945,-95.7806706963784,-48.65687904811941,handoff_controls,runs\handoff_controls\529607809db4af2199.json,1953,105000.0
Cs,2.2069469514370957e-25,1.055e-06,1.061e-06,1.11e-06,280.0,140.0,19.0,5.0,x,zero_jerk,0.0,6000.0,B,50,200.0,100.0,0.02,0.0,0.0,0.0,0.1,0.2,2048,26091781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6500.0,238468.88814965388,19142.96458254997,0.0008333333333333,1,2047,0.99951171875,0.9972825055060336,0.999987637865482,0.00048828125,-94.54385057208135,-38.34780650122576,handoff_controls,runs\handoff_controls\59980452c9adfc73b4.json,2048,6500.0
Cs,2.2069469514370957e-25,1.055e-06,1.061e-06,1.11e-06,280.0,140.0,19.0,5.0,x,zero_jerk,0.0,6000.0,B,50,200.0,100.0,0.02,0.0,0.0,0.0,0.1,0.2,2048,26091781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6500.0,238468.88814965388,19142.96458254997,0.0008333333333333,10,2003,0.97802734375,0.9707083674405854,0.9839289288911988,0.0014955134596211,-94.9539739929473,-44.743485615615405,handoff_controls,runs\handoff_controls\59980452c9adfc73b4.json,2006,65000.0
Cs,2.2069469514370957e-25,1.055e-06,1.061e-06,1.11e-06,280.0,140.0,19.0,5.0,x,zero_jerk,0.0,6000.0,B,50,200.0,100.0,0.02,0.0,0.0,0.0,0.1,0.2,2048,26091781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6500.0,238468.88814965388,19142.96458254997,0.0008333333333333,50,1929,0.94189453125,0.9308696156254126,0.9516319879826334,0.0,-94.76474458670396,-50.50101640568348,handoff_controls,runs\handoff_controls\59980452c9adfc73b4.json,1929,325000.0
Cs,2.2069469514370957e-25,1.055e-06,1.061e-06,1.11e-06,280.0,140.0,19.0,5.0,x,zero_jerk,510.0,6000.0,B,50,200.0,100.0,0.02,50.0,0.0,0.0,0.1,0.2,2048,26091781,0.0849999999999999,0.1328124999999999,0.1328124999999999,0.0,70.83333333333333,35416.666666666664,70.83333333333333,6500.0,238468.88814965388,19142.96458254997,0.0008333333333333,1,2045,0.99853515625,0.9957251288526456,0.999697812067718,0.00146484375,-94.3775833549966,-38.69535823126972,handoff_controls,runs\handoff_controls\91e42ded5f57db32ac.json,2048,6500.0
Cs,2.2069469514370957e-25,1.055e-06,1.061e-06,1.11e-06,280.0,140.0,19.0,5.0,x,zero_jerk,510.0,6000.0,B,50,200.0,100.0,0.02,50.0,0.0,0.0,0.1,0.2,2048,26091781,0.0849999999999999,0.1328124999999999,0.1328124999999999,0.0,70.83333333333333,35416.666666666664,70.83333333333333,6500.0,238468.88814965388,19142.96458254997,0.0008333333333333,10,1997,0.97509765625,0.967386796397696,0.9814036626856836,0.0024975024975024,-94.9282198584623,-45.310328803288535,handoff_controls,runs\handoff_controls\91e42ded5f57db32ac.json,2002,65000.0
Cs,2.2069469514370957e-25,1.055e-06,1.061e-06,1.11e-06,280.0,140.0,19.0,5.0,x,zero_jerk,510.0,6000.0,B,50,200.0,100.0,0.02,50.0,0.0,0.0,0.1,0.2,2048,26091781,0.0849999999999999,0.1328124999999999,0.1328124999999999,0.0,70.83333333333333,35416.666666666664,70.83333333333333,6500.0,238468.88814965388,19142.96458254997,0.0008333333333333,50,1930,0.9423828125,0.9313970606120456,0.9520795292048236,0.0,-94.29992288027144,-49.32475081973267,handoff_controls,runs\handoff_controls\91e42ded5f57db32ac.json,1930,325000.0
Cs,2.2069469514370957e-25,1.055e-06,1.061e-06,1.11e-06,280.0,140.0,19.0,5.0,x,zero_jerk,0.0,6000.0,B,50,200.0,100.0,0.02,50.0,0.0,0.0,0.1,0.2,2048,26091781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6500.0,238468.88814965388,19142.96458254997,0.0008333333333333,1,2047,0.99951171875,0.9972825055060336,0.999987637865482,0.00048828125,-94.6703586139639,-38.04652688094936,handoff_controls,runs\handoff_controls\996faccea2207dc94e.json,2048,6500.0
Cs,2.2069469514370957e-25,1.055e-06,1.061e-06,1.11e-06,280.0,140.0,19.0,5.0,x,zero_jerk,0.0,6000.0,B,50,200.0,100.0,0.02,50.0,0.0,0.0,0.1,0.2,2048,26091781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6500.0,238468.88814965388,19142.96458254997,0.0008333333333333,10,1994,0.9736328125,0.9657352894746616,0.9801314910505337,0.0005012531328321,-94.73385627764918,-44.96318239262204,handoff_controls,runs\handoff_controls\996faccea2207dc94e.json,1995,65000.0
Cs,2.2069469514370957e-25,1.055e-06,1.061e-06,1.11e-06,280.0,140.0,19.0,5.0,x,zero_jerk,0.0,6000.0,B,50,200.0,100.0,0.02,50.0,0.0,0.0,0.1,0.2,2048,26091781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6500.0,238468.88814965388,19142.96458254997,0.0008333333333333,50,1934,0.9443359375,0.9335088842137268,0.953867626577208,0.0010330578512396,-94.33128859493986,-49.674533203811365,handoff_controls,runs\handoff_controls\996faccea2207dc94e.json,1936,325000.0
Cs,2.2069469514370957e-25,1.055e-06,1.061e-06,1.11e-06,280.0,140.0,19.0,5.0,x,zero_jerk,510.0,1600.0,B,50,200.0,100.0,0.02,0.0,0.0,0.0,0.1,0.2,2048,26091781,0.31875,0.4980468749999999,0.4980468749999999,0.0,996.09375,1867675.78125,996.09375,2100.0,238468.88814965388,19142.96458254997,0.003125,1,2040,0.99609375,0.9923177128185016,0.9983120961181188,0.00390625,-94.0108165069567,-38.62960896728868,handoff_controls,runs\handoff_controls\ae053fb2fe283044aa.json,2048,2100.0
Cs,2.2069469514370957e-25,1.055e-06,1.061e-06,1.11e-06,280.0,140.0,19.0,5.0,x,zero_jerk,510.0,1600.0,B,50,200.0,100.0,0.02,0.0,0.0,0.0,0.1,0.2,2048,26091781,0.31875,0.4980468749999999,0.4980468749999999,0.0,996.09375,1867675.78125,996.09375,2100.0,238468.88814965388,19142.96458254997,0.003125,10,1928,0.94140625,0.9303423701928032,0.951184244918162,0.0066975785677485,-91.00163312460094,-33.835864641808534,handoff_controls,runs\handoff_controls\ae053fb2fe283044aa.json,1941,21000.0
Cs,2.2069469514370957e-25,1.055e-06,1.061e-06,1.11e-06,280.0,140.0,19.0,5.0,x,zero_jerk,510.0,1600.0,B,50,200.0,100.0,0.02,0.0,0.0,0.0,0.1,0.2,2048,26091781,0.31875,0.4980468749999999,0.4980468749999999,0.0,996.09375,1867675.78125,996.09375,2100.0,238468.88814965388,19142.96458254997,0.003125,50,1332,0.650390625,0.6292906969335827,0.6710591563720845,0.015521064301552,-86.72885007695064,-27.22312485343117,handoff_controls,runs\handoff_controls\ae053fb2fe283044aa.json,1353,105000.0
Cs,2.2069469514370957e-25,1.055e-06,1.061e-06,1.11e-06,280.0,140.0,19.0,5.0,x,zero_jerk,0.0,1600.0,B,50,400.0,100.0,0.02,50.0,0.0,0.0,0.1,0.2,2048,26091781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2500.0,238468.88814965388,19142.96458254997,0.003125,1,2048,1.0,0.9982004105354624,1.0,0.0,-94.42984117644772,-37.99037207056894,handoff_controls,runs\handoff_controls\b37f42da71abf5ed39.json,2048,2500.0
Cs,2.2069469514370957e-25,1.055e-06,1.061e-06,1.11e-06,280.0,140.0,19.0,5.0,x,zero_jerk,0.0,1600.0,B,50,400.0,100.0,0.02,50.0,0.0,0.0,0.1,0.2,2048,26091781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2500.0,238468.88814965388,19142.96458254997,0.003125,10,2018,0.9853515625,0.979154022001124,0.9900955143435344,0.0014844136566056,-94.8763042509092,-42.96222138962114,handoff_controls,runs\handoff_controls\b37f42da71abf5ed39.json,2021,25000.0
Cs,2.2069469514370957e-25,1.055e-06,1.061e-06,1.11e-06,280.0,140.0,19.0,5.0,x,zero_jerk,0.0,1600.0,B,50,400.0,100.0,0.02,50.0,0.0,0.0,0.1,0.2,2048,26091781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2500.0,238468.88814965388,19142.96458254997,0.003125,50,1989,0.97119140625,0.962994857383012,0.9779988166091188,0.0,-95.53960571761456,-46.74965163493873,handoff_controls,runs\handoff_controls\b37f42da71abf5ed39.json,1989,125000.0
Cs,2.2069469514370957e-25,1.055e-06,1.061e-06,1.11e-06,280.0,140.0,19.0,5.0,x,zero_jerk,0.0,1600.0,B,50,200.0,100.0,0.02,0.0,0.0,0.0,0.1,0.2,2048,26091781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2100.0,238468.88814965388,19142.96458254997,0.003125,1,2047,0.99951171875,0.9972825055060336,0.999987637865482,0.00048828125,-94.43084240427976,-38.57022902874578,handoff_controls,runs\handoff_controls\ffae0ad43a1df2c6c8.json,2048,2100.0
Cs,2.2069469514370957e-25,1.055e-06,1.061e-06,1.11e-06,280.0,140.0,19.0,5.0,x,zero_jerk,0.0,1600.0,B,50,200.0,100.0,0.02,0.0,0.0,0.0,0.1,0.2,2048,26091781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2100.0,238468.88814965388,19142.96458254997,0.003125,10,2002,0.9775390625,0.9701529151391748,0.9835099631948148,0.0029880478087649,-94.88831296746068,-44.76126543159573,handoff_controls,runs\handoff_controls\ffae0ad43a1df2c6c8.json,2008,21000.0
Cs,2.2069469514370957e-25,1.055e-06,1.061e-06,1.11e-06,280.0,140.0,19.0,5.0,x,zero_jerk,0.0,1600.0,B,50,200.0,100.0,0.02,0.0,0.0,0.0,0.1,0.2,2048,26091781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2100.0,238468.88814965388,19142.96458254997,0.003125,50,1948,0.951171875,0.9409281608467692,0.960097727040245,0.0005130836326321,-95.6586056864621,-49.631166245411,handoff_controls,runs\handoff_controls\ffae0ad43a1df2c6c8.json,1949,105000.0
