species,mass,wavelength,slm_wavelength,waist,depth_uK,slm_depth_uK,temperature_uK,tau_us,geometry,trajectory,distance_um,duration_us,protocol,repeats,ramp_us,hold_us,disorder,alignment_nm,rin,pointing,dt_us,noise_us,shots,average_m_s,peak_m_s,peak_x_m_s,peak_y_m_s,peak_accel_m_s2,interior_peak_jerk_m_s3,acceleration_join_jump_m_s2,complete_oneway_us,omega_r_rad_s,maximum_static_force_acceleration,tau_over_T,repeat,alive,survival,lower,upper,conditional_loss,median_energy_uK,energy_p95_uK,group,previous_alive,elapsed_total_us,representative_file,representative_seed,seeds,seed_count,source_files,status99,status999
Cs,2.2069469514370953e-25,1.055e-06,1.061e-06,1.11e-06,280.0,140.0,19.0,0.0,x,min_jerk,270.0,500.0,A,1,200.0,100.0,0.0,0.0,0.0,0.0,0.05,0.2,12288,0.54,1.0125,1.0125,0.0,6235.382907247963,129599999.99999999,0.0,600.0,238468.88814965388,19142.96458254997,0.0,1,12233,0.9955240885416666,0.9941779213230615,0.9966264042132074,0.00447591145833337,-231.29974208144404,-172.09298706493396,final_single,12288,600.0,runs\final_single\6980acaa90920b958d.json,26091741,"26091741,26091742,26091771",3,runs\final_single\6980acaa90920b958d.json;runs\final_single\a1b19c5ff685d8bf1e.json;runs\boundary_steps\850e092d66c55f4434.json,supported,failed
Cs,2.2069469514370953e-25,1.055e-06,1.061e-06,1.11e-06,280.0,140.0,19.0,0.0,x,min_jerk,270.0,600.0,A,1,200.0,100.0,0.0,0.0,0.0,0.0,0.05,0.2,8192,0.45000000000000007,0.84375,0.84375,0.0,4330.127018922197,75000000.00000001,0.0,700.0,238468.88814965388,19142.96458254997,0.0,1,8184,0.9990234375,0.9980766942284842,0.9995782983367856,0.0009765625,-231.05210382147095,-170.4490308087165,confirm,8192,700.0,runs\confirm\a17127100e828e39d4.json,26091722,"26091722,26091721",2,runs\confirm\a17127100e828e39d4.json;runs\confirm\c58c5b053c6fcf309f.json,supported,uncertain
Cs,2.2069469514370953e-25,1.055e-06,1.061e-06,1.11e-06,280.0,140.0,19.0,0.0,x,min_jerk,270.0,650.0,A,1,200.0,100.0,0.0,0.0,0.0,0.0,0.05,0.2,8192,0.4153846153846154,0.7788461538461539,0.7788461538461539,0.0,3689.5756847621083,58989531.1788803,0.0,750.0,238468.88814965388,19142.96458254997,0.0,1,8188,0.99951171875,0.9987502822701819,0.9998669442795954,0.00048828125,-231.10313842357914,-170.17695285988344,confirm,8192,750.0,runs\confirm\c657685f0c6c68793c.json,26091721,"26091721,26091722",2,runs\confirm\c657685f0c6c68793c.json;runs\confirm\da51870f9a2137b636.json,supported,uncertain
Cs,2.2069469514370953e-25,1.055e-06,1.061e-06,1.11e-06,280.0,140.0,19.0,0.0,x,min_jerk,270.0,960.0,A,1,200.0,100.0,0.0,0.0,0.0,0.0,0.05,0.2,8192,0.28125000000000006,0.52734375,0.52734375,0.0,1691.4558667664833,18310546.875000004,0.0,1060.0,238468.88814965388,19142.96458254997,0.0,1,8191,0.9998779296875,0.999320057497738,0.9999969094520433,0.0001220703125,-230.7535574146092,-171.2560572496858,final_single,8192,1060.0,runs\final_single\04e940f83f5c75ed37.json,26091741,"26091741,26091742",2,runs\final_single\04e940f83f5c75ed37.json;runs\final_single\8705ef6cf26830395d.json,supported,supported
Cs,2.2069469514370953e-25,1.055e-06,1.061e-06,1.11e-06,280.0,140.0,19.0,0.0,x,min_jerk,270.0,3000.0,A,1,200.0,100.0,0.0,0.0,0.0,0.0,0.05,0.2,8192,0.09,0.16874999999999998,0.16874999999999998,0.0,173.20508075688784,600000.0,0.0,3100.0,238468.88814965388,19142.96458254997,0.0,1,8192,1.0,0.9995497987032913,1.0,0.0,-230.72519677823317,-171.2251951681008,final_single,8192,3100.0,runs\final_single\406ee0d6ee29ddd93b.json,26091741,"26091741,26091742",2,runs\final_single\406ee0d6ee29ddd93b.json;runs\final_single\dc40d9e0bcb76f5737.json,supported,supported
Cs,2.2069469514370953e-25,1.055e-06,1.061e-06,1.11e-06,280.0,140.0,19.0,0.0,x,min_jerk,270.0,6000.0,A,1,200.0,100.0,0.0,0.0,0.0,0.0,0.05,0.2,8192,0.045,0.08437499999999999,0.08437499999999999,0.0,43.30127018922196,75000.0,0.0,6100.0,238468.88814965388,19142.96458254997,0.0,1,8192,1.0,0.9995497987032913,1.0,0.0,-230.71911887768334,-171.21942027594,final_single,8192,6100.0,runs\final_single\7312d1fe4e30bca867.json,26091742,"26091742,26091741",2,runs\final_single\7312d1fe4e30bca867.json;runs\final_single\c989bbeadf62b7dd8d.json,supported,supported
Cs,2.2069469514370953e-25,1.055e-06,1.061e-06,1.11e-06,280.0,140.0,19.0,0.0,x,min_jerk,510.0,700.0,A,1,200.0,100.0,0.0,0.0,0.0,0.0,0.05,0.2,12288,0.7285714285714284,1.3660714285714284,1.3660714285714284,0.0,6009.155862994068,89212827.98833817,0.0,800.0,238468.88814965388,19142.96458254997,0.0,1,12235,0.9956868489583334,0.9943620421283981,0.9967675346306026,0.00431315104166663,-231.225172390664,-172.52515284435302,final_single,12288,800.0,runs\final_single\13d7b3421aa95b1a85.json,26091741,"26091741,26091742,26091771",3,runs\final_single\13d7b3421aa95b1a85.json;runs\final_single\83f7d76f14a2502de3.json;runs\boundary_steps\713ed0dd1b4f63b0a4.json,supported,failed
Cs,2.2069469514370953e-25,1.055e-06,1.061e-06,1.11e-06,280.0,140.0,19.0,0.0,x,min_jerk,510.0,800.0,A,1,200.0,100.0,0.0,0.0,0.0,0.0,0.05,0.2,10240,0.6375,1.1953125,1.1953125,0.0,4600.759957604833,59765625.00000001,0.0,899.9999999999999,238468.88814965388,19142.96458254997,0.0,1,10225,0.99853515625,0.9975851120876784,0.9991799135804305,0.00146484375,-230.92566344115502,-170.6741975018961,convergence,10240,899.9999999999999,runs\convergence\ed0214e53dc6c3025a.json,26091731,"26091731,26091721,26091722",3,runs\convergence\ed0214e53dc6c3025a.json;runs\confirm\d91a5f007bc75ac83a.json;runs\confirm\e7bfa340ffaa5890d9.json,supported,uncertain
Cs,2.2069469514370953e-25,1.055e-06,1.061e-06,1.11e-06,280.0,140.0,19.0,0.0,x,min_jerk,510.0,850.0,A,1,200.0,100.0,0.0,0.0,0.0,0.0,0.05,0.2,10240,0.6,1.1249999999999998,1.1249999999999998,0.0,4075.413664867949,49826989.619377166,0.0,950.0,238468.88814965388,19142.96458254997,0.0,1,10229,0.99892578125,0.9980787407185888,0.9994636357609714,0.0010742187500000222,-230.95739243265973,-170.75605635483294,convergence,10240,950.0,runs\convergence\ab7873079d8fb4f543.json,26091731,"26091731,26091722,26091721",3,runs\convergence\ab7873079d8fb4f543.json;runs\confirm\aaefcaeae8b2ddd5b7.json;runs\confirm\30abc50e36e9548e27.json,supported,uncertain
Cs,2.2069469514370953e-25,1.055e-06,1.061e-06,1.11e-06,280.0,140.0,19.0,0.0,x,min_jerk,510.0,1000.0,B,1,200.0,100.0,0.02,50.0,0.0,0.0,0.05,0.2,8192,0.5099999999999999,0.9562499999999998,0.9562499999999998,0.0,2944.4863728670935,30599999.999999993,0.0,1500.0,238468.88814965388,19142.96458254997,0.0,1,8136,0.9931640625,0.9911320347260177,0.9948321949765827,0.0068359375,-93.32881948189925,-41.69227287461573,operations_confirm,8192,1500.0,runs\operations_confirm\255f96094c1c444aaa.json,26091722,"26091722,26091721",2,runs\operations_confirm\255f96094c1c444aaa.json;runs\operations_confirm\e8481c7803f148bdc4.json,supported,failed
