file,protocol,duration_us,rin,seed,stage,mean_relative_energy_uK,positive_energy_before_later_failure,total_endpoint_failures,note
217bd2cdd809645d80.json,B,3000.0,0.0,26091721,pickup,-207.10820385362138,0,291,first positive diagnostic is not a proven irreversible escape time
217bd2cdd809645d80.json,B,3000.0,0.0,26091721,move,-207.01324174193482,71,291,first positive diagnostic is not a proven irreversible escape time
217bd2cdd809645d80.json,B,3000.0,0.0,26091721,dropoff,-90.41188315712903,291,291,first positive diagnostic is not a proven irreversible escape time
217bd2cdd809645d80.json,B,3000.0,0.0,26091721,hold,-90.41188256318011,291,291,first positive diagnostic is not a proven irreversible escape time
2ba581f0452a8be97f.json,A,3000.0,0.0,26091722,move,-223.50869924774872,2,2,first positive diagnostic is not a proven irreversible escape time
2ba581f0452a8be97f.json,A,3000.0,0.0,26091722,hold,-223.508699572228,2,2,first positive diagnostic is not a proven irreversible escape time
3a7cd5bbb598a66bfa.json,B,1600.0,5.75e-09,26091722,pickup,-178.87786979183286,0,3384,first positive diagnostic is not a proven irreversible escape time
3a7cd5bbb598a66bfa.json,B,1600.0,5.75e-09,26091722,move,-167.05003748086074,1992,3384,first positive diagnostic is not a proven irreversible escape time
3a7cd5bbb598a66bfa.json,B,1600.0,5.75e-09,26091722,dropoff,-63.735132093769025,3384,3384,first positive diagnostic is not a proven irreversible escape time
3a7cd5bbb598a66bfa.json,B,1600.0,5.75e-09,26091722,hold,-63.735130806280665,3384,3384,first positive diagnostic is not a proven irreversible escape time
42258c62d37cd15936.json,A,1600.0,5.75e-09,26091722,move,-166.7049478030197,2800,2812,first positive diagnostic is not a proven irreversible escape time
42258c62d37cd15936.json,A,1600.0,5.75e-09,26091722,hold,-166.4027363305038,2812,2812,first positive diagnostic is not a proven irreversible escape time
4a856b20724f1cb3f5.json,A,1600.0,0.0,26091722,move,-203.92008288211912,478,478,first positive diagnostic is not a proven irreversible escape time
4a856b20724f1cb3f5.json,A,1600.0,0.0,26091722,hold,-203.92008436202022,478,478,first positive diagnostic is not a proven irreversible escape time
4fc21170be452de438.json,B,6000.0,5.75e-09,26091721,pickup,-175.89013771278547,0,4090,first positive diagnostic is not a proven irreversible escape time
4fc21170be452de438.json,B,6000.0,5.75e-09,26091721,move,-154.5403029236871,1767,4090,first positive diagnostic is not a proven irreversible escape time
4fc21170be452de438.json,B,6000.0,5.75e-09,26091721,dropoff,-59.30558034450905,4090,4090,first positive diagnostic is not a proven irreversible escape time
4fc21170be452de438.json,B,6000.0,5.75e-09,26091721,hold,-59.30557732815909,4090,4090,first positive diagnostic is not a proven irreversible escape time
58f5819b45170c37d2.json,A,6000.0,0.0,26091721,move,-226.28845547848323,1,1,first positive diagnostic is not a proven irreversible escape time
58f5819b45170c37d2.json,A,6000.0,0.0,26091721,hold,-226.288455363129,1,1,first positive diagnostic is not a proven irreversible escape time
7d9d42421b3b9dd5a8.json,B,1600.0,0.0,26091721,pickup,-195.07332872105397,0,1391,first positive diagnostic is not a proven irreversible escape time
7d9d42421b3b9dd5a8.json,B,1600.0,0.0,26091721,move,-191.96917764027475,1035,1391,first positive diagnostic is not a proven irreversible escape time
7d9d42421b3b9dd5a8.json,B,1600.0,0.0,26091721,dropoff,-80.67422039916646,1391,1391,first positive diagnostic is not a proven irreversible escape time
7d9d42421b3b9dd5a8.json,B,1600.0,0.0,26091721,hold,-80.67422002538518,1391,1391,first positive diagnostic is not a proven irreversible escape time
80f0ca646cc1f79f74.json,A,6000.0,0.0,26091722,move,-225.25657616190955,0,0,first positive diagnostic is not a proven irreversible escape time
80f0ca646cc1f79f74.json,A,6000.0,0.0,26091722,hold,-225.25657682698338,0,0,first positive diagnostic is not a proven irreversible escape time
81d60e84fbb2769aaa.json,A,3000.0,5.75e-09,26091721,move,-161.4831213745951,3574,3689,first positive diagnostic is not a proven irreversible escape time
81d60e84fbb2769aaa.json,A,3000.0,5.75e-09,26091721,hold,-161.12945736059308,3689,3689,first positive diagnostic is not a proven irreversible escape time
83ef51c78fa345d570.json,B,6000.0,0.0,26091722,pickup,-206.6255336303902,0,246,first positive diagnostic is not a proven irreversible escape time
83ef51c78fa345d570.json,B,6000.0,0.0,26091722,move,-206.61712320767793,7,246,first positive diagnostic is not a proven irreversible escape time
83ef51c78fa345d570.json,B,6000.0,0.0,26091722,dropoff,-90.22090981411192,246,246,first positive diagnostic is not a proven irreversible escape time
83ef51c78fa345d570.json,B,6000.0,0.0,26091722,hold,-90.22090994166004,246,246,first positive diagnostic is not a proven irreversible escape time
8c1e09f4bd6f30107b.json,B,3000.0,5.75e-09,26091722,pickup,-177.092709261877,0,3889,first positive diagnostic is not a proven irreversible escape time
8c1e09f4bd6f30107b.json,B,3000.0,5.75e-09,26091722,move,-167.37582582108382,960,3889,first positive diagnostic is not a proven irreversible escape time
8c1e09f4bd6f30107b.json,B,3000.0,5.75e-09,26091722,dropoff,-65.98213037148905,3889,3889,first positive diagnostic is not a proven irreversible escape time
8c1e09f4bd6f30107b.json,B,3000.0,5.75e-09,26091722,hold,-65.98212761271938,3889,3889,first positive diagnostic is not a proven irreversible escape time
94de720bfb89ffa568.json,B,1600.0,0.0,26091722,pickup,-194.2442845275211,0,1433,first positive diagnostic is not a proven irreversible escape time
94de720bfb89ffa568.json,B,1600.0,0.0,26091722,move,-191.0264526936553,1028,1433,first positive diagnostic is not a proven irreversible escape time
94de720bfb89ffa568.json,B,1600.0,0.0,26091722,dropoff,-80.14427314075185,1433,1433,first positive diagnostic is not a proven irreversible escape time
94de720bfb89ffa568.json,B,1600.0,0.0,26091722,hold,-80.1442733707602,1433,1433,first positive diagnostic is not a proven irreversible escape time
94ef63950273b2f5c9.json,B,3000.0,0.0,26091722,pickup,-205.64913741677046,0,298,first positive diagnostic is not a proven irreversible escape time
94ef63950273b2f5c9.json,B,3000.0,0.0,26091722,move,-205.54951338846732,58,298,first positive diagnostic is not a proven irreversible escape time
94ef63950273b2f5c9.json,B,3000.0,0.0,26091722,dropoff,-89.55411161157221,298,298,first positive diagnostic is not a proven irreversible escape time
94ef63950273b2f5c9.json,B,3000.0,0.0,26091722,hold,-89.55411184718012,298,298,first positive diagnostic is not a proven irreversible escape time
9736fcf198fb3dc714.json,A,6000.0,5.75e-09,26091722,move,-151.54360210664285,3997,4079,first positive diagnostic is not a proven irreversible escape time
9736fcf198fb3dc714.json,A,6000.0,5.75e-09,26091722,hold,-151.25446750633265,4079,4079,first positive diagnostic is not a proven irreversible escape time
9efb3bc5a0d7f56362.json,B,1600.0,5.75e-09,26091721,pickup,-180.098993754719,0,3339,first positive diagnostic is not a proven irreversible escape time
9efb3bc5a0d7f56362.json,B,1600.0,5.75e-09,26091721,move,-168.85658361194515,1986,3339,first positive diagnostic is not a proven irreversible escape time
9efb3bc5a0d7f56362.json,B,1600.0,5.75e-09,26091721,dropoff,-64.91820787781295,3339,3339,first positive diagnostic is not a proven irreversible escape time
9efb3bc5a0d7f56362.json,B,1600.0,5.75e-09,26091721,hold,-64.91820717498535,3339,3339,first positive diagnostic is not a proven irreversible escape time
ca5f6aa1d0787e6ec8.json,A,1600.0,5.75e-09,26091721,move,-167.33119301363266,2827,2840,first positive diagnostic is not a proven irreversible escape time
ca5f6aa1d0787e6ec8.json,A,1600.0,5.75e-09,26091721,hold,-167.0446473479913,2840,2840,first positive diagnostic is not a proven irreversible escape time
ce9caec59f91217f9d.json,A,3000.0,5.75e-09,26091722,move,-159.1656429572827,3596,3715,first positive diagnostic is not a proven irreversible escape time
ce9caec59f91217f9d.json,A,3000.0,5.75e-09,26091722,hold,-158.8109257038688,3715,3715,first positive diagnostic is not a proven irreversible escape time
d349b9aac03b33ff63.json,A,1600.0,0.0,26091721,move,-204.80292916320946,463,463,first positive diagnostic is not a proven irreversible escape time
d349b9aac03b33ff63.json,A,1600.0,0.0,26091721,hold,-204.8029332691126,463,463,first positive diagnostic is not a proven irreversible escape time
de4746afa7de33d90a.json,A,6000.0,5.75e-09,26091721,move,-152.65823487831713,3997,4084,first positive diagnostic is not a proven irreversible escape time
de4746afa7de33d90a.json,A,6000.0,5.75e-09,26091721,hold,-152.34361611734522,4084,4084,first positive diagnostic is not a proven irreversible escape time
e042b461394f9bd367.json,A,3000.0,0.0,26091721,move,-224.40992102788826,1,1,first positive diagnostic is not a proven irreversible escape time
e042b461394f9bd367.json,A,3000.0,0.0,26091721,hold,-224.40992147669715,1,1,first positive diagnostic is not a proven irreversible escape time
e0cbcad973490840d8.json,B,6000.0,0.0,26091721,pickup,-208.11487203829668,0,211,first positive diagnostic is not a proven irreversible escape time
e0cbcad973490840d8.json,B,6000.0,0.0,26091721,move,-208.1053409529906,4,211,first positive diagnostic is not a proven irreversible escape time
e0cbcad973490840d8.json,B,6000.0,0.0,26091721,dropoff,-91.07420607212791,211,211,first positive diagnostic is not a proven irreversible escape time
e0cbcad973490840d8.json,B,6000.0,0.0,26091721,hold,-91.07420565966146,211,211,first positive diagnostic is not a proven irreversible escape time
e718a10ed36b40f991.json,B,6000.0,5.75e-09,26091722,pickup,-174.47078679053334,0,4089,first positive diagnostic is not a proven irreversible escape time
