distance_um,duration_us,trajectory,protocol,tau_us,rin,repeat,seed,noise_us,dt_coarse,dt_fine,survival_difference,paired_SE,label_disagreement,energy_KS,median_energy_difference_uK
270.0,500.0,min_jerk,A,0.0,0.0,1,26091771,0.2,0.1,0.05,0.0,0.0,0.0,0.0007369196757553986,0.0001970912030987687
270.0,500.0,min_jerk,A,0.0,0.0,1,26091771,0.2,0.05,0.025,0.0,0.0,0.0,0.0004912797838368954,4.9026694387233356e-05
270.0,500.0,zero_jerk,A,0.0,0.0,1,26091771,0.2,0.1,0.05,0.0,0.0,0.0,0.001230314960629919,0.010932537430182788
270.0,500.0,zero_jerk,A,0.0,0.0,1,26091771,0.2,0.05,0.025,0.0,0.0,0.0,0.0009842519685039353,0.0027328501488395694
270.0,550.0,rb_cubic,A,0.0,0.0,1,26091771,0.2,0.1,0.05,0.0,0.0,0.0,0.001226692836113874,-0.00647150483181424
270.0,550.0,rb_cubic,A,0.0,0.0,1,26091771,0.2,0.05,0.025,0.0,0.0,0.0,0.0007360157016683688,-0.0016126597698602216
270.0,550.0,rb_cubic,A,2.0,0.0,1,26091771,0.2,0.1,0.05,0.0,0.0,0.0,0.0012327416173569805,-0.007581212698882957
270.0,550.0,rb_cubic,A,2.0,0.0,1,26091771,0.2,0.05,0.025,0.0,0.0,0.0,0.0009861932938856066,-0.001894959082245576
270.0,550.0,zero_jerk,A,2.0,0.0,1,26091771,0.2,0.1,0.05,0.0,0.0,0.0,0.0009840098400983877,0.007662388863015519
270.0,550.0,zero_jerk,A,2.0,0.0,1,26091771,0.2,0.05,0.025,0.0,0.0,0.0,0.0007380073800739018,0.0021741047563098186
270.0,600.0,min_jerk,A,2.0,0.0,1,26091771,0.2,0.1,0.05,0.0,0.0,0.0,0.0009811135638949642,-0.0005593313305374269
270.0,600.0,min_jerk,A,2.0,0.0,1,26091771,0.2,0.05,0.025,0.0,0.0,0.0,0.0004905567819475376,-0.000139899263102423
270.0,700.0,rb_cubic,A,5.0,0.0,1,26091771,0.2,0.1,0.05,0.000244140625,0.000244140625,0.000244140625,0.0011567248235171412,0.055507809646635924
270.0,700.0,rb_cubic,A,5.0,0.0,1,26091771,0.2,0.05,0.025,0.0,0.0,0.0,0.0007365578197888745,0.00031287776538948934
270.0,700.0,zero_jerk,A,5.0,0.0,1,26091771,0.2,0.1,0.05,0.0,0.0,0.0,0.0007369196757553986,-0.0007242003399334556
270.0,700.0,zero_jerk,A,5.0,0.0,1,26091771,0.2,0.05,0.025,0.0,0.0,0.0,0.0007369196757553431,-0.00018170349547012865
270.0,850.0,min_jerk,A,5.0,0.0,1,26091771,0.2,0.1,0.05,0.0,0.0,0.0,0.0007351139426611253,0.0006720521166893752
270.0,850.0,min_jerk,A,5.0,0.0,1,26091771,0.2,0.05,0.025,0.0,0.0,0.0,0.0004900759617740835,0.0001680853157793821
510.0,700.0,min_jerk,A,0.0,0.0,1,26091771,0.2,0.1,0.05,0.0,0.0,0.0,0.0007369196757553986,8.409844190414763e-05
510.0,700.0,min_jerk,A,0.0,0.0,1,26091771,0.2,0.05,0.025,0.0,0.0,0.0,0.0004912797838368954,2.2227855255127785e-05
510.0,700.0,zero_jerk,A,0.0,0.0,1,26091771,0.2,0.1,0.05,0.0,0.0,0.0,0.001229105211406123,0.0021365784543968674
