species,mass,wavelength,slm_wavelength,waist,depth_uK,slm_depth_uK,temperature_uK,tau_us,geometry,trajectory,distance_um,duration_us,protocol,repeats,ramp_us,hold_us,disorder,alignment_nm,rin,pointing,dt_us,noise_us,shots,seed,average_m_s,peak_m_s,peak_x_m_s,peak_y_m_s,peak_accel_m_s2,interior_peak_jerk_m_s3,acceleration_join_jump_m_s2,complete_oneway_us,omega_r_rad_s,maximum_static_force_acceleration,tau_over_T,repeat,alive,survival,lower,upper,conditional_loss,median_energy_uK,energy_p95_uK,group,file,previous_alive,elapsed_total_us
Cs,2.2069469514370953e-25,1.055e-06,1.061e-06,1.11e-06,280.0,140.0,19.0,5.0,x,zero_jerk,510.0,1600.0,B,50,200.0,100.0,0.02,50.0,5.75e-09,1e-24,0.025,0.2,2048,26091732,0.31875,0.49804687499999994,0.49804687499999994,0.0,996.09375,1867675.7812500002,996.09375,2100.0,238468.88814965388,19142.96458254997,0.003125,1,2041,0.99658203125,0.9929704344928806,0.9986247290122829,0.00341796875,-91.2009394087244,-35.3413323621801,convergence,runs\convergence\1c4237209d15fc9e4b.json,2048,2100.0
Cs,2.2069469514370953e-25,1.055e-06,1.061e-06,1.11e-06,280.0,140.0,19.0,5.0,x,zero_jerk,510.0,1600.0,B,50,200.0,100.0,0.02,50.0,5.75e-09,1e-24,0.025,0.2,2048,26091732,0.31875,0.49804687499999994,0.49804687499999994,0.0,996.09375,1867675.7812500002,996.09375,2100.0,238468.88814965388,19142.96458254997,0.003125,10,1727,0.84326171875,0.8267827941618661,0.8587513320315923,0.02208380520951303,-77.84215495429609,-19.030592076934113,convergence,runs\convergence\1c4237209d15fc9e4b.json,1766,21000.0
Cs,2.2069469514370953e-25,1.055e-06,1.061e-06,1.11e-06,280.0,140.0,19.0,5.0,x,zero_jerk,510.0,1600.0,B,50,200.0,100.0,0.02,50.0,5.75e-09,1e-24,0.025,0.2,2048,26091732,0.31875,0.49804687499999994,0.49804687499999994,0.0,996.09375,1867675.7812500002,996.09375,2100.0,238468.88814965388,19142.96458254997,0.003125,50,366,0.1787109375,0.1623434707800337,0.1960034525389176,0.031746031746031744,-65.6782228496431,-14.499686977804306,convergence,runs\convergence\1c4237209d15fc9e4b.json,378,105000.0
Cs,2.2069469514370953e-25,1.055e-06,1.061e-06,1.11e-06,280.0,140.0,19.0,5.0,x,zero_jerk,510.0,6000.0,B,50,200.0,100.0,0.02,50.0,5.75e-09,1e-24,0.025,0.2,2048,26091732,0.08499999999999999,0.13281249999999997,0.13281249999999997,0.0,70.83333333333333,35416.666666666664,70.83333333333333,6500.0,238468.88814965388,19142.96458254997,0.0008333333333333334,1,1996,0.974609375,0.9668356518895828,0.9809802648047934,0.025390625,-86.47483802071339,-24.321233841892045,convergence,runs\convergence\1c8fb2f551bdeaba93.json,2048,6500.0
Cs,2.2069469514370953e-25,1.055e-06,1.061e-06,1.11e-06,280.0,140.0,19.0,5.0,x,zero_jerk,510.0,6000.0,B,50,200.0,100.0,0.02,50.0,5.75e-09,1e-24,0.025,0.2,2048,26091732,0.08499999999999999,0.13281249999999997,0.13281249999999997,0.0,70.83333333333333,35416.666666666664,70.83333333333333,6500.0,238468.88814965388,19142.96458254997,0.0008333333333333334,10,667,0.32568359375,0.3054048650115412,0.3464624839952631,0.14814814814814814,-62.453396166155144,-8.482792043789534,convergence,runs\convergence\1c8fb2f551bdeaba93.json,783,65000.0
Cs,2.2069469514370953e-25,1.055e-06,1.061e-06,1.11e-06,280.0,140.0,19.0,5.0,x,zero_jerk,510.0,6000.0,B,50,200.0,100.0,0.02,50.0,5.75e-09,1e-24,0.025,0.2,2048,26091732,0.08499999999999999,0.13281249999999997,0.13281249999999997,0.0,70.83333333333333,35416.666666666664,70.83333333333333,6500.0,238468.88814965388,19142.96458254997,0.0008333333333333334,50,2,0.0009765625,0.00011828813715452327,0.0035231826302861025,0.33333333333333337,-48.140939208533325,-12.405961617392332,convergence,runs\convergence\1c8fb2f551bdeaba93.json,3,325000.0
Cs,2.2069469514370953e-25,1.055e-06,1.061e-06,1.11e-06,280.0,140.0,19.0,5.0,x,zero_jerk,510.0,3000.0,A,50,200.0,100.0,0.02,50.0,5.75e-09,1e-24,0.025,0.05,2048,26091732,0.16999999999999998,0.26562499999999994,0.26562499999999994,0.0,283.3333333333333,283333.3333333333,283.3333333333333,3100.0,238468.88814965388,19142.96458254997,0.0016666666666666668,1,2047,0.99951171875,0.9972825055060337,0.999987637865482,0.00048828125,-226.24657371179092,-150.09622606375456,convergence,runs\convergence\2b0ca2a6f4ceb57475.json,2048,3100.0
Cs,2.2069469514370953e-25,1.055e-06,1.061e-06,1.11e-06,280.0,140.0,19.0,5.0,x,zero_jerk,510.0,3000.0,A,50,200.0,100.0,0.02,50.0,5.75e-09,1e-24,0.025,0.05,2048,26091732,0.16999999999999998,0.26562499999999994,0.26562499999999994,0.0,283.3333333333333,283333.3333333333,283.3333333333333,3100.0,238468.88814965388,19142.96458254997,0.0016666666666666668,10,1763,0.86083984375,0.8450892390964725,0.8755494389748019,0.03397260273972602,-189.98753429160493,-45.7167932188639,convergence,runs\convergence\2b0ca2a6f4ceb57475.json,1825,31000.0
Cs,2.2069469514370953e-25,1.055e-06,1.061e-06,1.11e-06,280.0,140.0,19.0,5.0,x,zero_jerk,510.0,3000.0,A,50,200.0,100.0,0.02,50.0,5.75e-09,1e-24,0.025,0.05,2048,26091732,0.16999999999999998,0.26562499999999994,0.26562499999999994,0.0,283.3333333333333,283333.3333333333,283.3333333333333,3100.0,238468.88814965388,19142.96458254997,0.0016666666666666668,50,199,0.09716796875,0.08467966822317957,0.11082248031334606,0.06572769953051638,-142.1589277737853,-38.81993703081468,convergence,runs\convergence\2b0ca2a6f4ceb57475.json,213,155000.0
Cs,2.2069469514370953e-25,1.055e-06,1.061e-06,1.11e-06,280.0,140.0,19.0,5.0,x,zero_jerk,510.0,3000.0,B,50,200.0,100.0,0.02,50.0,5.75e-09,1e-24,0.025,0.05,2048,26091732,0.16999999999999998,0.26562499999999994,0.26562499999999994,0.0,283.3333333333333,283333.3333333333,283.3333333333333,3500.0,238468.88814965388,19142.96458254997,0.0016666666666666668,1,2030,0.9912109375,0.9861449356834756,0.9947829650566313,0.0087890625,-89.50053312056333,-31.96602561698624,convergence,runs\convergence\2cce66ce1f634fe62b.json,2048,3500.0
