distance_um,trajectory,protocol,tau_us,depth_uK,rin,disorder,repeat,time_short_us,time_long_us,survival_short,survival_long,short_lower,long_upper,interpretation
270.0,min_jerk,A,5.0,280.0,5.75e-09,0.02,10,1600.0,2200.0,0.96875,0.916015625,0.94974712044124,0.93855478271269,screening evidence only; no familywise correction
270.0,min_jerk,A,5.0,280.0,5.75e-09,0.02,10,2200.0,3000.0,0.916015625,0.845703125,0.8885399422485496,0.8758982057732415,screening evidence only; no familywise correction
270.0,min_jerk,A,5.0,280.0,5.75e-09,0.02,10,3000.0,4500.0,0.845703125,0.640625,0.8114522623847752,0.6822466648278953,screening evidence only; no familywise correction
270.0,min_jerk,A,5.0,280.0,5.75e-09,0.02,10,4500.0,6000.0,0.640625,0.482421875,0.5973691689071376,0.5266755750908467,screening evidence only; no familywise correction
270.0,min_jerk,A,5.0,280.0,5.75e-09,0.02,50,1200.0,1600.0,0.490234375,0.37109375,0.4461209451499129,0.4145640551025052,screening evidence only; no familywise correction
270.0,min_jerk,A,5.0,280.0,5.75e-09,0.02,50,1600.0,2200.0,0.37109375,0.203125,0.3291211322601978,0.2406213605215657,screening evidence only; no familywise correction
270.0,min_jerk,A,5.0,280.0,5.75e-09,0.02,50,2200.0,3000.0,0.203125,0.046875,0.1690979707281437,0.0689458424216215,screening evidence only; no familywise correction
270.0,min_jerk,B,5.0,280.0,5.75e-09,0.02,10,1600.0,2200.0,0.857421875,0.76953125,0.8240974859915124,0.805340693220219,screening evidence only; no familywise correction
270.0,min_jerk,B,5.0,280.0,5.75e-09,0.02,10,2200.0,3000.0,0.76953125,0.6796875,0.730576883794228,0.7199419310411029,screening evidence only; no familywise correction
270.0,min_jerk,B,5.0,280.0,5.75e-09,0.02,10,3000.0,4500.0,0.6796875,0.470703125,0.6373432330516898,0.5149774370574719,screening evidence only; no familywise correction
270.0,min_jerk,B,5.0,280.0,5.75e-09,0.02,10,4500.0,6000.0,0.470703125,0.3046875,0.4267688773853343,0.3465783094113043,screening evidence only; no familywise correction
270.0,min_jerk,B,5.0,280.0,5.75e-09,0.02,50,1200.0,1600.0,0.337890625,0.171875,0.2969825063141279,0.2074006409113958,screening evidence only; no familywise correction
270.0,min_jerk,B,5.0,280.0,5.75e-09,0.02,50,1600.0,2200.0,0.171875,0.103515625,0.1401926673026924,0.1332097209057406,screening evidence only; no familywise correction
270.0,min_jerk,B,5.0,280.0,5.75e-09,0.02,50,2200.0,3000.0,0.103515625,0.037109375,0.0785058773285984,0.0573458868137242,screening evidence only; no familywise correction
270.0,rb_cubic,A,5.0,280.0,5.75e-09,0.02,10,1600.0,2200.0,0.96484375,0.91015625,0.9450057113951618,0.9334724239358098,screening evidence only; no familywise correction
270.0,rb_cubic,A,5.0,280.0,5.75e-09,0.02,10,2200.0,3000.0,0.91015625,0.83984375,0.8819801550772143,0.8705494273079442,screening evidence only; no familywise correction
270.0,rb_cubic,A,5.0,280.0,5.75e-09,0.02,10,3000.0,4500.0,0.83984375,0.66015625,0.8051533212768497,0.7011330639808034,screening evidence only; no familywise correction
270.0,rb_cubic,A,5.0,280.0,5.75e-09,0.02,10,4500.0,6000.0,0.66015625,0.453125,0.6173175922609203,0.497385585804354,screening evidence only; no familywise correction
270.0,rb_cubic,A,5.0,280.0,5.75e-09,0.02,50,1600.0,2200.0,0.3203125,0.18359375,0.280058068958897,0.2198999447322525,screening evidence only; no familywise correction
270.0,rb_cubic,A,5.0,280.0,5.75e-09,0.02,50,2200.0,3000.0,0.18359375,0.0703125,0.1509901338457814,0.0960159290992517,screening evidence only; no familywise correction
270.0,rb_cubic,A,5.0,280.0,5.75e-09,0.02,50,3000.0,4500.0,0.0703125,0.015625,0.0497286686540326,0.0305544149505245,screening evidence only; no familywise correction
270.0,rb_cubic,B,5.0,280.0,5.75e-09,0.02,10,1600.0,2200.0,0.84765625,0.751953125,0.8135553250894676,0.788792181518292,screening evidence only; no familywise correction
270.0,rb_cubic,B,5.0,280.0,5.75e-09,0.02,10,2200.0,3000.0,0.751953125,0.658203125,0.7121766731366359,0.699247859469202,screening evidence only; no familywise correction
270.0,rb_cubic,B,5.0,280.0,5.75e-09,0.02,10,3000.0,4500.0,0.658203125,0.470703125,0.6153193276949387,0.5149774370574719,screening evidence only; no familywise correction
270.0,rb_cubic,B,5.0,280.0,5.75e-09,0.02,10,4500.0,6000.0,0.470703125,0.328125,0.4267688773853343,0.3706765001923306,screening evidence only; no familywise correction
270.0,rb_cubic,B,5.0,280.0,5.75e-09,0.02,50,1600.0,2200.0,0.1640625,0.07421875,0.1330248323105438,0.1004500347758948,screening evidence only; no familywise correction
270.0,rb_cubic,B,5.0,280.0,5.75e-09,0.02,50,2200.0,3000.0,0.07421875,0.02734375,0.0530540341745921,0.0454529109874559,screening evidence only; no familywise correction
270.0,zero_jerk,A,5.0,280.0,5.75e-09,0.02,10,2200.0,3000.0,0.923828125,0.830078125,0.8973396588562789,0.8616016495558267,screening evidence only; no familywise correction
270.0,zero_jerk,A,5.0,280.0,5.75e-09,0.02,10,3000.0,4500.0,0.830078125,0.625,0.7946877712012053,0.6670837354437988,screening evidence only; no familywise correction
270.0,zero_jerk,A,5.0,280.0,5.75e-09,0.02,10,4500.0,6000.0,0.625,0.4921875,0.5814640513190341,0.5364059044552911,screening evidence only; no familywise correction
270.0,zero_jerk,A,5.0,280.0,5.75e-09,0.02,50,1600.0,2200.0,0.322265625,0.197265625,0.2819353696738771,0.2344187427354734,screening evidence only; no familywise correction
270.0,zero_jerk,A,5.0,280.0,5.75e-09,0.02,50,2200.0,3000.0,0.197265625,0.0546875,0.1636516602663305,0.0780714816375182,screening evidence only; no familywise correction
270.0,zero_jerk,A,5.0,280.0,5.75e-09,0.02,50,3000.0,4500.0,0.0546875,0.009765625,0.0366433774204702,0.022641620687227,screening evidence only; no familywise correction
270.0,zero_jerk,B,5.0,280.0,5.75e-09,0.02,10,1600.0,2200.0,0.859375,0.783203125,0.8262114949191354,0.8181502566483552,screening evidence only; no familywise correction
270.0,zero_jerk,B,5.0,280.0,5.75e-09,0.02,10,2200.0,3000.0,0.783203125,0.677734375,0.7449491374687549,0.7180646303261229,screening evidence only; no familywise correction
270.0,zero_jerk,B,5.0,280.0,5.75e-09,0.02,10,3000.0,4500.0,0.677734375,0.447265625,0.6353370989196225,0.4915096702135183,screening evidence only; no familywise correction
270.0,zero_jerk,B,5.0,280.0,5.75e-09,0.02,10,4500.0,6000.0,0.447265625,0.349609375,0.4036337629285901,0.3926660762861518,screening evidence only; no familywise correction
270.0,zero_jerk,B,5.0,280.0,5.75e-09,0.02,50,1600.0,2200.0,0.177734375,0.0859375,0.1455847546419863,0.1136502676853807,screening evidence only; no familywise correction
270.0,zero_jerk,B,5.0,280.0,5.75e-09,0.02,50,2200.0,3000.0,0.0859375,0.029296875,0.0631356172729557,0.0478608731358852,screening evidence only; no familywise correction
510.0,min_jerk,A,5.0,280.0,5.75e-09,0.02,10,2200.0,3000.0,0.958984375,0.90625,0.937984637718824,0.9300663118974524,screening evidence only; no familywise correction
510.0,min_jerk,A,5.0,280.0,5.75e-09,0.02,10,3000.0,4500.0,0.90625,0.693359375,0.8776243453824868,0.7330601096882277,screening evidence only; no familywise correction
510.0,min_jerk,A,5.0,280.0,5.75e-09,0.02,10,4500.0,6000.0,0.693359375,0.55078125,0.6514089880172687,0.5944419731460013,screening evidence only; no familywise correction
510.0,min_jerk,A,5.0,280.0,5.75e-09,0.02,50,2200.0,3000.0,0.29296875,0.10546875,0.2538628940581209,0.1353676695604082,screening evidence only; no familywise correction
510.0,min_jerk,A,5.0,280.0,5.75e-09,0.02,50,3000.0,4500.0,0.10546875,0.0234375,0.0802293983165661,0.0405824391409481,screening evidence only; no familywise correction
