protocol,duration_us,rin,seed,repeat,retained,mean_above_actual_bottom_uK,p95_above_actual_bottom_uK,paired_survivor_mean_energy_change_uK,mean_x_um,mean_y_um,mean_z_um,mean_vx_m_s,mean_vy_m_s,mean_vz_m_s,rms_x_um,rms_y_um,rms_z_um
B,3000.0,0.0,26091721,1,4088,50.10412926900504,99.02271955931448,0.083433554199454,0.0006318485818163078,0.0010957104518937704,-0.029270161730636235,-0.00028766256453503596,-0.00010965902624096215,0.000745649307180526,0.23609470638433383,0.24225794740278986,1.3065311553843364
B,3000.0,0.0,26091721,10,4012,49.74935840053664,96.78590588272506,0.9955148885388133,-0.0006487681671159866,-0.0009530671676877414,-0.0068270948715481875,0.00013404714512225407,-0.00012287996343065676,0.000384731817499231,0.23469679670340077,0.24099045496317148,1.3048776976324683
B,3000.0,0.0,26091721,50,3805,49.255204947848775,92.1164549735734,3.217154714154322,0.004471502665753928,-0.0037493296924417953,0.013020094009420205,-6.560289258459733e-05,-3.6171452869418225e-05,-0.00028592567427919555,0.22861057357675535,0.2287126544668135,1.250903180591333
A,3000.0,0.0,26091722,1,4096,54.68484865892973,111.40960027555593,0.14031059893539669,-0.002834517012023604,-0.0002477224639610661,0.061872607865939004,0.0006711562806057913,-0.0006948697059420218,0.0011480285918517835,0.15642548347420776,0.15586120663612213,0.7649130352597064
A,3000.0,0.0,26091722,10,4096,55.445301630325574,112.16464683678376,0.9007635703312411,0.000648275180130745,-0.0027916307031361767,-0.024995231488023323,0.000139791801481108,0.00013279122547495606,0.0007323146946166426,0.15943546709022197,0.155874348350589,0.7767923960037446
A,3000.0,0.0,26091722,50,4094,57.966139004835995,116.45148856284571,3.5030315257781885,0.0015600410922262996,0.0005268013853760582,-0.038087440993764286,-0.0003392747865772441,-0.0003739444894390536,0.0010143908060396925,0.1614573675970766,0.15962085557300232,0.8148593371144365
B,1600.0,5.75e-09,26091722,1,4068,53.68029974912419,105.78790090596503,2.9590684459975787,0.0044283551177867276,-0.0014361515214569413,0.02853143923988062,-0.0004358087639807642,-4.583566274551276e-06,0.0009335667941505311,0.2619667427408067,0.2593786123851648,1.4347557928202204
B,1600.0,5.75e-09,26091722,10,3400,65.59419874876141,122.4670900594186,20.78012230568625,-0.0072772017473417775,-0.004194587110042647,-0.006010891414911063,-0.0011366539714432503,0.0001539051509522898,-0.0006535336345319504,0.3244032150719597,0.3184208650123934,1.9090511952263227
B,1600.0,5.75e-09,26091722,50,712,72.44936225069064,124.74222641625731,38.50612503755102,-0.010706847970615687,-0.003082657442286903,-0.0663289677033327,-0.0009697229561151537,-0.0013735393510202068,-4.497565006381041e-05,0.3356334445917148,0.34597280616772275,2.2859808290860255
A,1600.0,5.75e-09,26091722,1,4096,58.55832427989657,120.96607890290616,4.013786219902232,-0.006944313364904413,0.0004576899261371729,0.09644433081754585,0.00011313935418570383,-0.0010321913245852892,0.0005835942591538597,0.16055080466555913,0.16356487205362816,0.8005463256946758
A,1600.0,5.75e-09,26091722,10,3938,87.87222303855872,195.93773336885002,35.16857461003818,0.0025194633266238846,-0.00179253615798596,0.004575981679254182,0.0017327367525981246,-0.0012553246974646077,-0.001596393259562791,0.22192861828819957,0.2230218280598354,1.1852237224896092
A,1600.0,5.75e-09,26091722,50,1284,127.75838082137508,229.54899796387406,85.183905887926,0.005699672893996198,-0.004211534791152675,0.10916366471381522,0.00017876109917902328,-0.0008942564723666757,-0.0005675514307954379,0.29190352696047556,0.2871957458328278,1.8003553866636934
A,1600.0,0.0,26091722,1,4095,56.22141176179294,113.16548312898682,1.7217953562246215,-0.007857714553265999,0.0038918695882401203,0.1041016834745805,-0.0009027115167963785,1.3263818981397691e-05,0.0005963414704585455,0.15786172059862746,0.15731631274929922,0.7915838257766921
A,1600.0,0.0,26091722,10,4083,65.62971949246908,143.88586890664442,11.399797402274777,0.004757508582124663,0.002072012642996412,-0.049592206970627904,0.0005516645162669435,0.00017097542241821618,-0.0001324974236901862,0.1737224716192616,0.17033318645609416,0.9743519655422794
A,1600.0,0.0,26091722,50,3618,86.30368397781389,185.44040308426818,36.61286588073375,0.0005058234957780576,-0.0001616155040173447,-0.013864625987585581,0.00032502227041013315,0.0006704302640432799,-0.00043606778799376453,0.20494456543482567,0.20377910542868022,1.281832452895951
B,6000.0,5.75e-09,26091721,1,4003,58.754070344457325,119.16587588952547,9.815508047570708,0.00042805772482940784,-0.00593092173547336,-0.057154191545621284,0.00025812667076206147,-0.00016928170211463227,-3.215786798214521e-05,0.3023418275199171,0.2996842484325593,1.4865140485607033
B,6000.0,5.75e-09,26091721,10,1386,74.45835889721268,131.5847006818067,34.797954825012624,-0.017287962408440403,-0.005172367682519466,-0.026712148665295858,0.00026302601810163014,-0.0002165079114831544,-0.00024092883081671096,0.3964462255068985,0.4064890559959439,1.9605109793542552
B,6000.0,5.75e-09,26091721,50,6,61.706184685236366,117.0297079513129,37.72256507573101,0.11698980961299489,0.29252572070071403,1.4966828187509362,-0.012331443061176152,-0.00385430566737986,-0.00534466127524446,0.2001885092011185,0.48879339228377294,2.147601217584566
A,6000.0,0.0,26091721,1,4096,53.683827149220534,108.98453664494252,0.005146215061400318,-0.0006895174050148896,0.0023263266076606406,-0.0008060841453460886,-0.0002632503231023747,0.0002772980917449124,-5.397246555658396e-05,0.154712685365839,0.15799855459193657,0.7776625708945637
A,6000.0,0.0,26091721,10,4096,53.72105212299455,109.95884173897602,0.04237118883542106,0.0012517747751018102,0.0020153499885202774,-0.0012902312271630507,0.00080040773823754,0.0001533484924333247,0.0007448839992950909,0.15242076648724637,0.15278946600084606,0.7469317232829243
A,6000.0,0.0,26091721,50,4095,53.824748233040474,109.79721019904132,0.19847228308298115,-0.002894913107360775,0.004348552993158602,0.024613079988179905,0.0012522832503934203,-0.0004482764893320393,0.00044574624255117664,0.15260515820969434,0.15196872451923654,0.7521755755073417
B,1600.0,0.0,26091721,1,4080,50.92941536209736,100.44765338437838,1.0655622023720088,-0.0006706096719717751,-0.0049405351688930075,0.04563984028333593,-0.000356250835534861,0.00021468475317019728,0.0013861336544922819,0.2429711667921195,0.2433240850170991,1.3923765191727278
B,1600.0,0.0,26091721,10,3899,55.09925509346861,107.55749271123487,7.659638198137396,-0.0032504252531622793,-0.005014674771613858,-0.009357627834916076,-0.00016613680594510384,0.0004991979439790501,-0.00040387274885533836,0.25666682921105627,0.2521313028586534,1.6244191305831575
B,1600.0,0.0,26091721,50,2705,58.7354295280144,111.60524731997891,19.355082409094564,0.0031755402569805177,-0.0025148165878664665,0.01705738005123144,0.0003012041285436648,0.00018569630246584475,0.00032484540702027267,0.2639841849635093,0.2671692549812765,1.8553823044106532
A,6000.0,0.0,26091722,1,4096,54.56192682295824,110.6695772134623,0.017388762963908823,-0.00524096822490802,0.0009837003895810353,0.03074559481998772,6.722156447418453e-05,-0.0010428562515665074,9.680549242816627e-05,0.15684648058154924,0.15553241589989353,0.7478644965824122
A,6000.0,0.0,26091722,10,4096,54.63485677554695,111.14716735992272,0.09031871555261045,-0.0009122977500082384,-0.0004832776408349357,-0.02388204099515762,0.00036839561751457993,0.0005183097487083051,0.0007931817089536382,0.15613761410104357,0.15437662780798583,0.7510935659013963
A,6000.0,0.0,26091722,50,4096,54.75123932328016,111.12671713503877,0.2067012632858256,0.0023759175540145417,0.002926986363410644,-0.009212249391108228,0.0005990996026886833,-0.0003088325130046022,-0.00013060545237000975,0.15537097205084133,0.15543089693324252,0.7637293333927112
A,3000.0,5.75e-09,26091721,1,4095,59.28410778613464,129.22576779559625,5.657831836177143,0.002483155394421674,0.0030257172104072357,0.025658644061770985,0.0003305820447728078,-0.00035346772969652016,0.0009604990541755904,0.16898021665394022,0.16624608668913124,0.772136210622473
A,3000.0,5.75e-09,26091721,10,3594,102.5884823623118,228.33508029937772,52.565373475782046,0.0036794471887222993,-0.0031368817278943227,-0.0021035208448153347,0.0005384327540249232,0.0011648392044522724,-0.001330473628267912,0.2842647753862335,0.28309925037171274,1.0066373836273252
A,3000.0,5.75e-09,26091721,50,407,135.78400563444293,251.10713799210438,94.65554112670044,0.026309643979391447,-0.04187573774257655,-0.05341399817257382,-0.0004270665331756977,0.004128810135808575,7.792960246110904e-05,0.336943279818643,0.38620028029712705,1.792995793067436
B,6000.0,0.0,26091722,1,4088,51.10307864547095,100.0805522490532,0.009192438583071375,-0.00019454361979475538,-8.1004249388749e-05,-0.01612123203014202,-0.0002945624502487461,-0.000320509685353256,-9.264152238943266e-05,0.24588523244892269,0.2504103586836302,1.3611301181591446
B,6000.0,0.0,26091722,10,3997,49.980388574807556,95.76989748122283,0.4284541378677015,0.008157627411985393,-0.0015352219492141682,-0.00888706066564861,-0.00030417994174714925,-0.00018504157081057613,-0.0004825869012688601,0.2398275269065384,0.23618328718820844,1.2779786600556746
B,6000.0,0.0,26091722,50,3850,49.28340847858817,91.15835131632883,1.749100938853697,0.002578615888418515,1.893622429887842e-05,-0.012035549256790512,0.000439960276410664,0.00019524461407131386,-0.0001761553664484055,0.22886669350528127,0.23270635879554,1.21820377544701
B,3000.0,5.75e-09,26091722,1,4057,54.913161983128774,109.83569053495081,4.28804787334319,-0.0052572578821607485,-0.0026456672760966906,-0.0004821994777151067,-0.0009591011141530096,0.0001811152782874045,0.00022746626129752334,0.26799147708836835,0.27408368197115146,1.392162577067522
B,3000.0,5.75e-09,26091722,10,2825,69.3565081796635,128.19355389256748,26.295415836747786,-0.002665593284711044,0.005022733554358128,-0.01930423700207051,-0.0009152676784986538,0.00021315687411137943,-0.0003837027245598882,0.35735516117940785,0.35130813449460896,1.627414546403256
B,3000.0,5.75e-09,26091722,50,207,75.80981827378739,130.46563037860034,40.317008401284305,0.04272866458432141,-0.04892537019813432,0.04388597564877784,0.0031288000662911147,-0.00032297502134192733,0.0026529653443007443,0.3919658196175754,0.3769998678197231,2.260346045731021
B,1600.0,0.0,26091722,1,4079,52.07405134074368,102.97825989808683,1.1567044933133008,-0.003044264734153492,-0.004207908304349493,0.030491687759577564,0.00029180845480475387,1.660043135225518e-05,0.0011125268614584057,0.24860380708547197,0.2508130602102912,1.4054709774341354
B,1600.0,0.0,26091722,10,3870,55.69623580213978,107.13935590631536,7.6218408478765705,-0.005933753949115004,-0.0014577469851394128,-0.0185478876183055,-0.0002655150566810668,-0.0011492745702307806,0.00040274345553051316,0.26019935280974604,0.25617445967532004,1.6175973009114486
B,1600.0,0.0,26091722,50,2663,58.29592747598206,109.91767492975545,18.420668549842976,-0.0012459852349866638,-0.0012082837330617952,-0.02568564504973595,0.00023662306742190065,0.0004001536542807729,0.0013979810195807172,0.25737651918548315,0.2647076037220647,1.7427966927797869
B,3000.0,0.0,26091722,1,4086,51.11181509116349,100.89772777137466,0.062190802529735266,0.005566113362594108,0.0033397406262963853,-0.05111742840087034,0.0006070035837965417,0.00046172664239008967,0.0008049722437822122,0.24177132071826749,0.24690096716446494,1.342435292139004
B,3000.0,0.0,26091722,10,3995,50.34908698823106,97.05698313284203,0.8184626979747295,-0.005288296122929618,0.001967343474278246,0.0189587688166859,0.00013890734484192386,-6.583022655336538e-05,-0.0006698034681882708,0.23484226642363462,0.23907878646081185,1.3109345941974524
B,3000.0,0.0,26091722,50,3798,50.10067283154152,93.02553094206488,3.122154897550436,0.004279836620253635,-0.00228643092875972,-0.017652895535986503,0.0006605836201664744,0.0002788570913427596,0.00028398610864879657,0.2305828136383634,0.23148980620039764,1.2204669743981758
A,6000.0,5.75e-09,26091722,1,4094,68.11538977611038,154.03977906372018,13.614480334156859,0.00012449102642317277,-0.000989362308367575,0.017540403980349267,-0.0003456580147290638,-9.235971819782169e-05,0.00015182644610102966,0.189018461386321,0.19264871972940265,0.7897456735071886
A,6000.0,5.75e-09,26091722,10,2013,120.72164490963527,247.7420828907627,73.2314683295705,0.005236297512304912,0.000637875360970774,0.0206020885849626,0.00176496577696292,0.0017617372908565465,0.00044586793425090664,0.34571571067042567,0.33093724331686153,1.3402187488775748
A,6000.0,5.75e-09,26091722,50,17,148.0868716084477,263.3397799434672,104.90104975135436,-0.013198204233187844,-0.03205087304925223,-0.8534617982332101,-0.0038813597998133102,-0.008499549983802087,-0.0067264005730783925,0.48268498230024715,0.27837479183764785,4.385506941499878
B,1600.0,5.75e-09,26091721,1,4072,52.345943849830036,104.2011572417387,2.623034111439924,-0.003435645053656984,-0.0020445356369558224,0.022100912750607066,0.00015444660645773047,0.00016232589265802695,0.001181067856649976,0.251851263999012,0.2478431758914712,1.3920562299551054
B,1600.0,5.75e-09,26091721,10,3491,64.9091212831868,121.4410658920943,20.23728616192231,-0.001013546610823483,0.005299186952762885,-0.03625002540993562,0.00025267134651035995,-0.0001341239300811512,-2.5886595673281777e-05,0.3180536506501784,0.31000824167738195,1.9466121699959555
B,1600.0,5.75e-09,26091721,50,757,73.4013780421079,125.93229490351649,39.212970809751134,0.009218924272643403,0.0014922783106008316,-0.08703135020202778,-0.000827644928795068,0.0003056363155317527,-0.0024169575556705733,0.35442785116431524,0.32424768825579453,2.392656988613519
A,1600.0,5.75e-09,26091721,1,4095,57.66447083265968,118.48580407512691,4.038194882702189,-0.009812835865515422,0.0006387909177686851,0.09946988058038292,-0.00017771583572364488,0.00030105253365325104,0.00012658404322498049,0.16039898064043218,0.15980505349469937,0.7993002045928617
A,1600.0,5.75e-09,26091721,10,3934,86.73270295463777,196.0502466079688,35.24697644700377,0.006320375448528513,-0.00304759952447536,0.022323870859786633,0.0014499550872615861,-0.0001340951696361521,-0.0011136638805196036,0.22431056355985746,0.21825670220536988,1.1455011220396902
A,1600.0,5.75e-09,26091721,50,1256,125.80783547794962,228.59281797717577,84.54684595935544,-0.007168264685415529,0.0002639648678160735,0.26261018949407444,-0.00015109425178625786,-0.0006646013718040129,5.432881484776418e-06,0.28306339033174593,0.29586981630984655,1.8609739724579957
A,3000.0,5.75e-09,26091722,1,4096,60.11750554797207,130.14641721597442,5.572967487977737,-0.0019938747289732772,0.004507714871574406,0.043281083043050325,0.0002775129952213566,-8.667075878485484e-05,0.0012538772578191415,0.17001835301495155,0.16985747879457191,0.7705703578239403
A,3000.0,5.75e-09,26091722,10,3577,104.21607023959245,228.25711080305783,53.53562108067111,0.004513666412193286,-0.005290645150889662,0.016568533155922358,0.0005016193079919679,-0.00037353062124541043,-0.0017446725897938013,0.2866765108385361,0.2878823911659573,1.0803327053864273
A,3000.0,5.75e-09,26091722,50,381,147.7593316238973,244.92472203667532,103.04153772905019,0.008711876054812696,-0.007987195262576383,0.013078597720511453,-0.0013391345029550193,0.0026186751469815576,-0.002254759045358582,0.3594269888718011,0.3564826956013683,1.7493755014590704
