species,mass,wavelength,slm_wavelength,waist,depth_uK,slm_depth_uK,temperature_uK,tau_us,geometry,trajectory,distance_um,duration_us,protocol,repeats,ramp_us,hold_us,disorder,alignment_nm,rin,pointing,dt_us,noise_us,shots,seed,average_m_s,peak_m_s,peak_x_m_s,peak_y_m_s,peak_accel_m_s2,interior_peak_jerk_m_s3,acceleration_join_jump_m_s2,complete_oneway_us,omega_r_rad_s,maximum_static_force_acceleration,tau_over_T,repeat,alive,survival,lower,upper,conditional_loss,median_energy_uK,energy_p95_uK,group,file,previous_alive,elapsed_total_us
Cs,2.2069469514370957e-25,1.055e-06,1.061e-06,1.11e-06,280.0,140.0,19.0,5.0,x,rb_cubic,510.0,2200.0,A,50,200.0,100.0,0.02,50.0,0.0,0.0,0.05,0.2,2048,26091773,0.2318181818181818,0.3477272727272727,0.3477272727272727,0.0,632.2314049586778,574755.8226897072,632.2314049586778,2299.9999999999995,238468.88814965388,19142.96458254997,0.0022727272727272,50,2023,0.98779296875,0.9820324384085392,0.9920851008330502,0.0004940711462451,-211.91191273602527,-128.58209625870637,repeat_steps,runs\repeat_steps\d0ad871829842606bf.json,2024,114999.99999999996
Cs,2.2069469514370957e-25,1.055e-06,1.061e-06,1.11e-06,280.0,140.0,19.0,5.0,x,rb_cubic,510.0,3000.0,A,50,200.0,100.0,0.02,50.0,0.0,0.0,0.05,0.2,2048,26091773,0.1699999999999999,0.2549999999999999,0.2549999999999999,0.0,339.99999999999994,226666.66666666663,339.99999999999994,3100.0,238468.88814965388,19142.96458254997,0.0016666666666666,10,2048,1.0,0.9982004105354624,1.0,0.0,-230.153153288214,-165.27143357135756,repeat_steps,runs\repeat_steps\46098f50d7a5fd4adb.json,2048,31000.0
Cs,2.2069469514370957e-25,1.055e-06,1.061e-06,1.11e-06,280.0,140.0,19.0,5.0,x,rb_cubic,510.0,3000.0,A,50,200.0,100.0,0.02,50.0,0.0,0.0,0.05,0.2,2048,26091773,0.1699999999999999,0.2549999999999999,0.2549999999999999,0.0,339.99999999999994,226666.66666666663,339.99999999999994,3100.0,238468.88814965388,19142.96458254997,0.0016666666666666,1,2048,1.0,0.9982004105354624,1.0,0.0,-230.897376323838,-166.69945731779197,repeat_steps,runs\repeat_steps\46098f50d7a5fd4adb.json,2048,3100.0
Cs,2.2069469514370957e-25,1.055e-06,1.061e-06,1.11e-06,280.0,140.0,19.0,5.0,x,min_jerk,510.0,1600.0,A,50,200.0,100.0,0.02,50.0,0.0,0.0,0.05,0.2,2048,26091773,0.31875,0.59765625,0.59765625,0.0,1150.1899894012083,7470703.125000001,0.0,1699.9999999999998,238468.88814965388,19142.96458254997,0.003125,50,1975,0.96435546875,0.9553890732053428,0.9719583722522503,0.0010116337885685,-201.7845885573293,-120.7521490056962,repeat_steps,runs\repeat_steps\2ab785b17ebdabe4d8.json,1977,84999.99999999999
Cs,2.2069469514370957e-25,1.055e-06,1.061e-06,1.11e-06,280.0,140.0,19.0,5.0,x,min_jerk,510.0,1600.0,A,50,200.0,100.0,0.02,50.0,0.0,0.0,0.05,0.2,2048,26091773,0.31875,0.59765625,0.59765625,0.0,1150.1899894012083,7470703.125000001,0.0,1699.9999999999998,238468.88814965388,19142.96458254997,0.003125,10,2040,0.99609375,0.9923177128185016,0.9983120961181188,0.0004899559039686,-208.32135748255075,-140.18022353555668,repeat_steps,runs\repeat_steps\2ab785b17ebdabe4d8.json,2041,16999.999999999996
Cs,2.2069469514370957e-25,1.055e-06,1.061e-06,1.11e-06,280.0,140.0,19.0,5.0,x,min_jerk,510.0,1600.0,A,50,200.0,100.0,0.02,50.0,0.0,0.0,0.05,0.2,2048,26091773,0.31875,0.59765625,0.59765625,0.0,1150.1899894012083,7470703.125000001,0.0,1699.9999999999998,238468.88814965388,19142.96458254997,0.003125,1,2048,1.0,0.9982004105354624,1.0,0.0,-223.18422788364444,-161.67818573905015,repeat_steps,runs\repeat_steps\2ab785b17ebdabe4d8.json,2048,1699.9999999999998
Cs,2.2069469514370957e-25,1.055e-06,1.061e-06,1.11e-06,280.0,140.0,19.0,5.0,x,zero_jerk,510.0,6000.0,A,50,200.0,100.0,0.02,50.0,5.75e-09,1.0000000000000001e-24,0.05,0.2,2048,26091731,0.0849999999999999,0.1328124999999999,0.1328124999999999,0.0,70.83333333333333,35416.666666666664,70.83333333333333,6100.0,238468.88814965388,19142.96458254997,0.0008333333333333,50,3,0.00146484375,0.000302187932282,0.0042748711473542,0.25,-105.54750187193063,-13.20288691038937,convergence,runs\convergence\fd749cf6ad200b5f9e.json,4,305000.0
Cs,2.2069469514370957e-25,1.055e-06,1.061e-06,1.11e-06,280.0,140.0,19.0,5.0,x,zero_jerk,510.0,6000.0,A,50,200.0,100.0,0.02,50.0,5.75e-09,1.0000000000000001e-24,0.05,0.2,2048,26091731,0.0849999999999999,0.1328124999999999,0.1328124999999999,0.0,70.83333333333333,35416.666666666664,70.83333333333333,6100.0,238468.88814965388,19142.96458254997,0.0008333333333333,10,1005,0.49072265625,0.4688539262727762,0.512617979651268,0.1114058355437666,-164.46836955802186,-33.60936286257921,convergence,runs\convergence\fd749cf6ad200b5f9e.json,1131,61000.0
Cs,2.2069469514370957e-25,1.055e-06,1.061e-06,1.11e-06,280.0,140.0,19.0,5.0,x,zero_jerk,510.0,6000.0,A,50,200.0,100.0,0.02,50.0,5.75e-09,1.0000000000000001e-24,0.05,0.2,2048,26091731,0.0849999999999999,0.1328124999999999,0.1328124999999999,0.0,70.83333333333333,35416.666666666664,70.83333333333333,6100.0,238468.88814965388,19142.96458254997,0.0008333333333333,1,2044,0.998046875,0.9950068401733276,0.9994675908044266,0.001953125,-221.50520755272655,-122.15136860031498,convergence,runs\convergence\fd749cf6ad200b5f9e.json,2048,6100.0
Cs,2.2069469514370957e-25,1.055e-06,1.061e-06,1.11e-06,280.0,140.0,19.0,5.0,x,zero_jerk,510.0,1600.0,B,50,200.0,100.0,0.02,50.0,0.0,0.0,0.05,0.2,2048,26091731,0.31875,0.4980468749999999,0.4980468749999999,0.0,996.09375,1867675.78125,996.09375,2100.0,238468.88814965388,19142.96458254997,0.003125,50,1333,0.65087890625,0.6297849498480155,0.6715400631856683,0.0125925925925926,-84.70656069058842,-26.666613108074163,convergence,runs\convergence\ee9f97fd02ce4df98f.json,1350,105000.0
