exp_moving_time_us_zero_jerk,exp_survival_zero_jerk,exp_survival_err_zero_jerk,sim_w_lensing_moving_time_us_zero_jerk,sim_w_lensing_survival_zero_jerk,sim_w_lensing_survival_err_zero_jerk,sim_wo_lensing_moving_time_us_zero_jerk,sim_wo_lensing_survival_zero_jerk,sim_wo_lensing_survival_err_zero_jerk,exp_moving_time_us_min_jerk,exp_survival_min_jerk,exp_survival_err_min_jerk,sim_w_lensing_moving_time_us_min_jerk,sim_w_lensing_survival_min_jerk,sim_w_lensing_survival_err_min_jerk,sim_wo_lensing_moving_time_us_min_jerk,sim_wo_lensing_survival_min_jerk,sim_wo_lensing_survival_err_min_jerk
11.0,0.011219147344801795,0.0028804759015377793,40.0,0.0,0.0,75.0,0.0,0.0,11.0,0.010271460014673514,0.0027310283529994026,40.0,0.0,0.0,75.0,0.0,0.0
22.0,0.008823529411764706,0.002535871288439669,60.00000000000001,0.0,0.0,80.0,0.0,0.0,22.0,0.0053435114503816794,0.002014254230139432,60.00000000000001,0.0,0.0,80.0,0.0,0.0
33.0,0.0,0.0,80.00000000000001,0.0,0.0,84.99999999999999,0.0,0.0,33.0,0.0022865853658536584,0.001318650482668093,80.00000000000001,0.0,0.0,84.99999999999999,0.0,0.0
44.0,0.0,0.0,100.00000000000001,0.0,0.0,89.99999999999999,0.0,0.0,44.0,0.0,0.0,100.00000000000001,0.0,0.0,89.99999999999999,0.0,0.0
55.0,0.0,0.0,120.00000000000001,0.0,0.0,94.99999999999999,0.0,0.0,55.0,0.0,0.0,120.00000000000001,0.0,0.0,94.99999999999999,0.0,0.0
66.0,0.0,0.0,140.00000000000003,0.0,0.0,99.99999999999999,0.0,0.0,66.0,0.0,0.0,140.00000000000003,0.0,0.0,99.99999999999999,0.0,0.0
77.0,0.0,0.0,160.00000000000003,0.0,0.0,104.99999999999999,0.0,0.0,77.0,0.0,0.0,160.00000000000003,0.0,0.0,104.99999999999999,0.0,0.0
88.0,0.0010775862068965517,0.0010770054543850103,170.0,0.0,0.0,109.99999999999999,0.0,0.0,88.0,0.0,0.0,170.0,0.0,0.0,109.99999999999999,0.0,0.0
99.0,0.0,0.0,175.00000000000003,0.0,0.0,114.99999999999999,0.0,0.0,99.0,0.0,0.0,175.00000000000003,0.0,0.0,114.99999999999999,0.0,0.0
110.0,0.0,0.0,180.00000000000003,0.0,0.0,119.99999999999999,0.0,0.0,110.0,0.0,0.0,180.00000000000003,0.0,0.0,119.99999999999999,0.0,0.0
121.0,0.0,0.0,185.00000000000006,0.006,0.0034536936748935914,125.0,0.016,0.005611416933360059,121.0,0.0,0.0,185.00000000000006,0.0,0.0,125.0,0.0,0.0
132.0,0.0,0.0,190.00000000000006,0.008,0.003983967871356395,130.0,0.044,0.009172131704244111,132.0,0.0,0.0,190.00000000000006,0.0,0.0,130.0,0.052,0.00992935043192655
143.0,0.0,0.0,195.00000000000009,0.064,0.010945684080951725,134.99999999999997,0.152,0.016055902341506688,143.0,0.0,0.0,195.00000000000009,0.0,0.0,134.99999999999997,0.154,0.01614211882003103
154.0,0.0,0.0,200.00000000000009,0.094,0.013050976974924139,140.0,0.28,0.020079840636817812,154.0,0.0,0.0,200.00000000000009,0.0,0.0,140.0,0.276,0.01999119806314769
165.0,0.0,0.0,205.0000000000001,0.122,0.014636666287102402,145.0,0.396,0.02187162545399861,165.0,0.0,0.0,205.0000000000001,0.0,0.0,145.0,0.454,0.022265848288354075
176.0,0.0,0.0,210.0000000000001,0.238,0.01904499934365974,150.0,0.53,0.022320394261750844,176.0,0.0,0.0,210.0000000000001,0.0,0.0,150.0,0.61,0.02181284025522582
187.0,0.007853403141361256,0.0045163250131320465,215.00000000000014,0.276,0.01999119806314769,154.99999999999997,0.658,0.021214900423994452,187.0,0.0,0.0,215.00000000000014,0.0,0.0,154.99999999999997,0.698,0.02053270561811083
198.0,0.03365384615384615,0.008841725922613954,220.00000000000014,0.324,0.020929596269398033,160.0,0.708,0.0203340109176719,198.0,0.0,0.0,220.00000000000014,0.004,0.002822764602300376,160.0,0.772,0.018762515822778138
209.0,0.07191011235955057,0.012246443932372193,225.00000000000017,0.46,0.022289010745208053,165.0,0.798,0.01795527777562909,209.0,0.0,0.0,225.00000000000017,0.014,0.00525433154644813,165.0,0.836,0.0165592270351004
220.0,0.2743362831858407,0.02098650466674895,230.00000000000017,0.614,0.0217717247823869,169.99999999999997,0.818,0.017255491879398864,220.0,0.006726457399103139,0.003870438779415644,230.00000000000017,0.03,0.00762889244910426,169.99999999999997,0.888,0.014103616557464968
231.0,0.5135135135135135,0.023720281783972997,235.00000000000017,0.72,0.020079840636817812,174.99999999999997,0.848,0.01605590234150669,231.0,0.062360801781737196,0.011411705413821364,235.00000000000017,0.092,0.012925633446759968,174.99999999999997,0.902,0.013296315279053816
242.0,0.727979274611399,0.022649929391033632,240.0000000000002,0.822,0.01710648999648964,179.99999999999997,0.918,0.012269963325128561,242.0,0.2088167053364269,0.019578640813975333,240.0000000000002,0.118,0.014427473791346842,179.99999999999997,0.94,0.010620734437881408
253.0,0.8236658932714617,0.018357142002203515,245.0000000000002,0.896,0.013651666564928987,185.0,0.934,0.01110351295761841,253.0,0.3146853146853147,0.0224209810272756,245.0000000000002,0.178,0.017106489996489636,185.0,0.954,0.009368457717255283
264.0,0.9375,0.011646187382811405,250.00000000000023,0.94,0.010620734437881408,189.99999999999997,0.938,0.010784804124322337,264.0,0.4135514018691589,0.023804432943463325,250.00000000000023,0.238,0.01904499934365974,189.99999999999997,0.964,0.008331146379700699
275.0,0.9642857142857143,0.008767683089838978,255.00000000000023,0.93,0.011410521460476728,194.99999999999997,0.964,0.008331146379700699,275.0,0.5707964601769911,0.02328107691959932,255.00000000000023,0.364,0.02151762068631195,194.99999999999997,0.978,0.006559878047646925
286.0,0.9714285714285714,0.0078102640330228535,260.0000000000002,0.972,0.0073778045514909145,199.99999999999997,0.962,0.008550555537507495,286.0,0.6760869565217391,0.021819087362998358,260.0000000000002,0.376,0.021662132858977667,199.99999999999997,0.986,0.0052543315464481325
297.0,0.9871794871794872,0.005200293234568161,265.0000000000003,0.962,0.008550555537507495,205.0,0.98,0.006260990336999414,297.0,0.8266666666666667,0.017844319911008648,265.0000000000003,0.476,0.02233490541730589,205.0,0.98,0.006260990336999414
308.0,0.9957894736842106,0.0029710171159079285,270.0000000000003,0.992,0.003983967871356396,209.99999999999994,0.966,0.008104813384649892,308.0,0.9145833333333333,0.012757404689877027,270.0000000000003,0.612,0.021792475765731623,209.99999999999994,0.986,0.0052543315464481325
319.0,0.9872340425531915,0.0051783074079493376,275.0000000000003,0.98,0.006260990336999414,214.99999999999997,0.982,0.005945754788082,319.0,0.9741379310344828,0.007368564163568739,275.0000000000003,0.754,0.019260529587734602,214.99999999999997,0.988,0.004869496893930627
330.0,0.9932279909706546,0.003896560074374523,280.0000000000003,0.986,0.0052543315464481325,219.99999999999997,0.99,0.0044497190922574,330.0,0.9603729603729604,0.009418616856552152,280.0000000000003,0.806,0.017684117167673367,219.99999999999997,0.986,0.0052543315464481325
341.0,0.9936575052854123,0.0036502099552644766,285.00000000000034,0.994,0.0034536936748935927,225.0,0.994,0.0034536936748935927,341.0,0.9702127659574468,0.007841509126715097,285.00000000000034,0.894,0.013766916866168691,225.0,0.994,0.0034536936748935927
363.0,0.9978947368421053,0.002103045923832599,290.00000000000034,0.996,0.002822764602300377,229.99999999999994,0.996,0.002822764602300377,363.0,0.9866666666666667,0.005406900026931746,290.00000000000034,0.924,0.01185107590052481,229.99999999999994,0.99,0.0044497190922574
385.0,0.9869281045751634,0.005301584622492834,295.00000000000034,0.99,0.0044497190922574,234.99999999999997,0.992,0.003983967871356396,385.0,0.9847161572052402,0.005732434141634475,295.00000000000034,0.94,0.010620734437881408,234.99999999999997,0.998,0.001997998998998749
,,,300.0,0.992,0.003983967871356396,239.99999999999997,0.998,0.001997998998998749,,,,300.0,0.97,0.007628892449104264,239.99999999999997,0.994,0.0034536936748935927
,,,339.99999999999994,1.0,0.0,245.0,0.994,0.0034536936748935927,,,,339.99999999999994,1.0,0.0,245.0,0.988,0.004869496893930627
,,,379.99999999999994,1.0,0.0,249.99999999999994,0.998,0.001997998998998749,,,,379.99999999999994,0.996,0.002822764602300377,249.99999999999994,0.998,0.001997998998998749
,,,,,,254.99999999999997,0.994,0.0034536936748935927,,,,,,,254.99999999999997,1.0,0.0
,,,,,,260.0,0.998,0.001997998998998749,,,,,,,260.0,0.992,0.003983967871356396
,,,,,,265.0,0.998,0.001997998998998749,,,,,,,265.0,0.998,0.001997998998998749
,,,,,,269.99999999999994,1.0,0.0,,,,,,,269.99999999999994,0.998,0.001997998998998749
,,,,,,274.99999999999994,1.0,0.0,,,,,,,274.99999999999994,0.994,0.0034536936748935927
,,,,,,280.0,0.996,0.002822764602300377,,,,,,,280.0,1.0,0.0
,,,,,,285.0,0.998,0.001997998998998749,,,,,,,285.0,0.9979959919839679,0.00200199898493452
,,,,,,289.99999999999994,0.998,0.001997998998998749,,,,,,,289.99999999999994,1.0,0.0
,,,,,,294.99999999999994,1.0,0.0,,,,,,,294.99999999999994,1.0,0.0
