exp_wait_time_s,sim_wait_time_s,exp_accept_frac_00_parity,exp_accept_frac_00_parity_and_flag,exp_accept_frac_00_parity_flag_erasure,sim_accept_frac_00_parity,sim_accept_frac_00_parity_and_flag,sim_accept_frac_00_parity_flag_erasure,exp_accept_frac_pp_parity,exp_accept_frac_pp_parity_and_flag,exp_accept_frac_pp_parity_flag_erasure,sim_accept_frac_pp_parity,sim_accept_frac_pp_parity_and_flag,sim_accept_frac_pp_parity_flag_erasure
0.0,0.0,0.7768714011516314,0.6732245681381958,0.5350287907869482,0.7869,0.6818,0.55165,0.7792378449408672,0.6964520367936925,0.5650459921156373,0.773,0.6689,0.52965
0.1,0.01,0.6997126436781609,0.5660919540229885,0.40948275862068967,0.7782,0.6704,0.5369,0.7221006564551422,0.611378555798687,0.43413566739606124,0.7681,0.65825,0.52365
0.2,0.02,0.6396313364055299,0.4986175115207373,0.3138248847926267,0.77535,0.6634,0.52075,0.6382699868938401,0.49716033202271737,0.2961992136304063,0.7586,0.64545,0.50295
0.3,0.03,0.5974086071263304,0.4335955576122166,0.25080981027302174,0.7621,0.64555,0.50655,0.5806004618937645,0.4207852193995381,0.2184757505773672,0.75345,0.6377,0.4931
0.4,0.04,0.5769791160757649,0.39825157843613407,0.18309859154929578,0.75415,0.6356,0.4916,0.5508241758241759,0.3791208791208791,0.17307692307692307,0.7454,0.6273,0.4781
0.5,0.05,0.5264227642276422,0.34552845528455284,0.13871951219512196,0.74505,0.62485,0.4776,0.5384949978251413,0.3384080034797738,0.1300565463244889,0.7382,0.6122,0.4599
,0.06,,,,0.74395,0.61765,0.4679,,,,0.73365,0.6132,0.4588
,0.07,,,,0.73485,0.60825,0.45875,,,,0.73015,0.5994,0.44005
,0.08,,,,0.7222,0.5906,0.4388,,,,0.72025,0.5867,0.43145
,0.09,,,,0.7189,0.58615,0.435,,,,0.71175,0.57785,0.41965
,0.1,,,,0.7157,0.57705,0.41625,,,,0.7045,0.57215,0.4098
,0.11,,,,0.7083,0.5676,0.4106,,,,0.70015,0.55925,0.39875
,0.12,,,,0.7019,0.5582,0.3987,,,,0.6954,0.55135,0.3883
,0.13,,,,0.69755,0.54825,0.39095,,,,0.68365,0.5431,0.37805
,0.14,,,,0.6771,0.5388,0.37845,,,,0.68215,0.5353,0.36825
,0.15,,,,0.6792,0.53395,0.3719,,,,0.6734,0.5264,0.35585
,0.16,,,,0.6773,0.5216,0.3543,,,,0.6738,0.5208,0.35325
,0.17,,,,0.6668,0.51825,0.3507,,,,0.6603,0.51,0.33985
,0.18,,,,0.6671,0.5093,0.3443,,,,0.65295,0.50145,0.32845
,0.19,,,,0.65825,0.50245,0.33135,,,,0.6515,0.49545,0.32115
,0.2,,,,0.6528,0.493,0.3218,,,,0.64755,0.4903,0.3176
,0.21,,,,0.6542,0.496,0.3175,,,,0.6467,0.4794,0.30615
,0.22,,,,0.6448,0.4826,0.3071,,,,0.6377,0.47675,0.296
,0.23,,,,0.6343,0.46805,0.2935,,,,0.63365,0.4695,0.29165
,0.24,,,,0.63745,0.47015,0.29495,,,,0.62965,0.46405,0.2865
,0.25,,,,0.6246,0.4563,0.28375,,,,0.62535,0.4597,0.27335
,0.26,,,,0.6272,0.4574,0.2778,,,,0.6139,0.4475,0.26805
,0.27,,,,0.62195,0.4485,0.2718,,,,0.6116,0.44165,0.2583
,0.28,,,,0.61995,0.4453,0.2667,,,,0.61455,0.43845,0.25555
,0.29,,,,0.6178,0.44085,0.25635,,,,0.6008,0.42795,0.24375
,0.3,,,,0.60605,0.429,0.24655,,,,0.5989,0.4272,0.24195
,0.31,,,,0.6082,0.43075,0.24585,,,,0.5927,0.418,0.23445
,0.32,,,,0.5951,0.41715,0.23185,,,,0.5989,0.4207,0.2335
,0.33,,,,0.5967,0.4149,0.23275,,,,0.58785,0.40715,0.22675
,0.34,,,,0.5969,0.41135,0.2249,,,,0.5828,0.40495,0.2137
,0.35,,,,0.5851,0.40535,0.2194,,,,0.5756,0.3928,0.2097
,0.36,,,,0.586,0.39565,0.21505,,,,0.58005,0.39375,0.20795
,0.37,,,,0.58435,0.398,0.2083,,,,0.5794,0.3896,0.19895
,0.38,,,,0.58035,0.3956,0.2051,,,,0.57115,0.38025,0.1927
,0.39,,,,0.57265,0.383,0.2053,,,,0.56965,0.38635,0.19695
,0.4,,,,0.57745,0.3864,0.19665,,,,0.5589,0.3674,0.18165
,0.41,,,,0.57475,0.37415,0.1893,,,,0.5645,0.3768,0.18645
,0.42,,,,0.56345,0.3741,0.18465,,,,0.56055,0.3626,0.1724
,0.43,,,,0.56585,0.37125,0.1793,,,,0.56135,0.36695,0.1739
,0.44,,,,0.55785,0.3549,0.175,,,,0.5478,0.35355,0.1624
,0.45,,,,0.55895,0.362,0.1741,,,,0.54155,0.35005,0.1593
,0.46,,,,0.5523,0.35515,0.1681,,,,0.5453,0.3439,0.15405
,0.47,,,,0.54885,0.3449,0.1597,,,,0.54505,0.3442,0.1568
,0.48,,,,0.5499,0.3482,0.16125,,,,0.5423,0.33825,0.1496
,0.49,,,,0.5478,0.3447,0.15485,,,,0.5361,0.3407,0.148
,0.5,,,,0.54325,0.33545,0.1504,,,,0.537,0.33295,0.14805
