exp_wait_time_s,sim_wait_time_s,exp_success_00_wo_erasure,exp_success_err_00_wo_erasure,exp_success_00_w_erasure,exp_success_err_00_w_erasure,exp_success_pp_wo_erasure,exp_success_err_pp_wo_erasure,exp_success_pp_w_erasure,exp_success_err_pp_w_erasure,sim_success_00_wo_erasure,sim_success_00_w_erasure,sim_success_pp_wo_erasure,sim_success_pp_w_erasure,phys_qubit_time_s,phys_qubit_success,phys_qubit_success_err
0.0,0.0,0.8733205374280231,0.005152002767648982,0.8967130518234165,0.0047139569618561495,0.8751642575558476,0.004891547857352826,0.9080157687253614,0.00427696241063577,0.878875,0.9074875,0.8721,0.902125,0.0,0.9749577494808034,0.0007878493802896145
0.1,0.01,0.8211206896551724,0.005930663843884884,0.8715277777777778,0.005178035099832027,0.8317286652078775,0.005533982795000454,0.8823851203501094,0.0047654303039037045,0.875275,0.90755,0.869125,0.9030625,0.1,0.9465486386474331,0.0011146207420278961
0.2,0.02,0.7850230414746544,0.006235801675898429,0.844815668202765,0.005496168647966049,0.7758846657929227,0.006163061144379423,0.8380297072957623,0.005445145592677647,0.872825,0.9062125,0.863925,0.8980375,0.2,0.912888528423921,0.001386011289703404
0.3,0.03,0.7519666820916242,0.006569191607050174,0.8197593706617307,0.005846920127932207,0.7293302540415705,0.0067520869168269295,0.8001154734411086,0.006077458114749969,0.8658,0.901925,0.8606,0.9004,0.3,0.8830909658510134,0.0015773969078570211
0.4,0.04,0.7112676056338029,0.00706189245964893,0.7787761049052938,0.006468136181048509,0.7042124542124543,0.0069055850403282075,0.7764423076923077,0.00630388221490049,0.861225,0.9018875,0.854225,0.892925,0.4,0.8621076996868289,0.0016707839842926195
0.5,0.05,0.6760670731707317,0.0074592453979462,0.7455538617886179,0.006942404257178892,0.6724662896911701,0.006921158230896285,0.7409743366681165,0.006460832726420206,0.856575,0.8951375,0.8498,0.8920375,0.5,0.8385484733609667,0.0017248326583328502
,0.06,,,,,,,,,0.854175,0.8939375,0.8482,0.8909125,,,
,0.07,,,,,,,,,0.849575,0.893925,0.84375,0.887675,,,
,0.08,,,,,,,,,0.8425,0.890025,0.83785,0.882825,,,
,0.09,,,,,,,,,0.8384,0.8853125,0.833825,0.882025,,,
,0.1,,,,,,,,,0.83555,0.8820625,0.82835,0.8767125,,,
,0.11,,,,,,,,,0.83125,0.8807375,0.824625,0.8733,,,
,0.12,,,,,,,,,0.825725,0.877925,0.82245,0.8724875,,,
,0.13,,,,,,,,,0.823925,0.8771875,0.8145,0.869,,,
,0.14,,,,,,,,,0.8132,0.8706,0.813425,0.8673375,,,
,0.15,,,,,,,,,0.8136,0.8692875,0.806825,0.8635875,,,
,0.16,,,,,,,,,0.811675,0.8676625,0.80675,0.862,,,
,0.17,,,,,,,,,0.8064,0.8639,0.799675,0.8587375,,,
,0.18,,,,,,,,,0.8051,0.8612625,0.793725,0.8513875,,,
,0.19,,,,,,,,,0.7991,0.8572,0.7931,0.853425,,,
,0.2,,,,,,,,,0.79485,0.8545875,0.789625,0.8510875,,,
,0.21,,,,,,,,,0.794375,0.8532375,0.787525,0.8467875,,,
,0.22,,,,,,,,,0.78805,0.850925,0.780175,0.8417875,,,
,0.23,,,,,,,,,0.782975,0.8466,0.77875,0.8393125,,,
,0.24,,,,,,,,,0.782525,0.8445,0.77625,0.8378875,,,
,0.25,,,,,,,,,0.775975,0.8404625,0.7716,0.835875,,,
,0.26,,,,,,,,,0.7757,0.8422,0.76345,0.8296,,,
,0.27,,,,,,,,,0.772325,0.838625,0.76135,0.827175,,,
,0.28,,,,,,,,,0.768275,0.8338125,0.7609,0.82525,,,
,0.29,,,,,,,,,0.7642,0.830325,0.754625,0.820925,,,
,0.3,,,,,,,,,0.7577,0.8262,0.7503,0.8158125,,,
,0.31,,,,,,,,,0.758375,0.827425,0.74705,0.8145375,,,
,0.32,,,,,,,,,0.7522,0.820325,0.7476,0.8128875,,,
,0.33,,,,,,,,,0.751,0.8191375,0.741575,0.809825,,,
,0.34,,,,,,,,,0.747775,0.8156625,0.7352,0.805925,,,
,0.35,,,,,,,,,0.743125,0.81275,0.730775,0.7972875,,,
,0.36,,,,,,,,,0.741275,0.810525,0.733325,0.8005,,,
,0.37,,,,,,,,,0.739125,0.8075125,0.7311,0.798725,,,
,0.38,,,,,,,,,0.7358,0.8078375,0.725475,0.7940875,,,
,0.39,,,,,,,,,0.731475,0.803975,0.723775,0.79225,,,
,0.4,,,,,,,,,0.730975,0.8019375,0.71505,0.7826,,,
,0.41,,,,,,,,,0.729425,0.7975125,0.718175,0.787375,,,
,0.42,,,,,,,,,0.7232,0.794775,0.712775,0.781,,,
,0.43,,,,,,,,,0.72135,0.7929625,0.710125,0.779025,,,
,0.44,,,,,,,,,0.7176,0.789725,0.7058,0.7751,,,
,0.45,,,,,,,,,0.7166,0.789525,0.700575,0.7669,,,
,0.46,,,,,,,,,0.71135,0.78255,0.698825,0.7653625,,,
,0.47,,,,,,,,,0.7097,0.7821875,0.697225,0.765925,,,
,0.48,,,,,,,,,0.7091,0.78165,0.6942,0.7602625,,,
,0.49,,,,,,,,,0.706525,0.776925,0.690075,0.7573875,,,
,0.5,,,,,,,,,0.701375,0.774075,0.687875,0.7548125,,,
