waveform,n,conditional_loss,at_risk
manual_200us,1,0.0064697265625,8192
manual_200us,2,0.030347708563705614,8139
manual_200us,3,0.015965534718702483,7892
manual_200us,4,0.03631212979654906,7766
manual_200us,5,0.018305718866916086,7484
manual_200us,6,0.03566081393766163,7347
manual_200us,7,0.022300635144671843,7085
manual_200us,8,0.044608055435253355,6927
manual_200us,9,0.02357207615593835,6618
manual_200us,10,0.04193748065614361,6462
manual_200us,11,0.027297690195445,6191
manual_200us,12,0.04616406509465294,6022
manual_200us,13,0.02524373259052925,5744
manual_200us,14,0.0446508305054474,5599
manual_200us,15,0.025612263974574688,5349
manual_200us,16,0.044896392939370686,5212
manual_200us,17,0.026717557251908396,4978
manual_200us,18,0.04437564499484004,4845
manual_200us,19,0.02311015118790497,4630
manual_200us,20,0.04532390006632766,4523
manual_200us,21,0.02732746641963872,4318
manual_200us,22,0.04690476190476191,4200
manual_200us,23,0.028978266300274794,4003
manual_200us,24,0.04605093902752765,3887
manual_200us,25,0.02319309600862999,3708
manual_200us,26,0.04583103257868581,3622
manual_200us,27,0.025173611111111112,3456
manual_200us,28,0.0448204214900564,3369
manual_200us,29,0.018023617153511497,3218
manual_200us,30,0.04588607594936709,3160
manual_200us,31,0.017578772802653398,3015
manual_200us,32,0.04456448345712356,2962
manual_200us,33,0.025795053003533568,2830
manual_200us,34,0.044976423648893725,2757
manual_200us,35,0.022028104823395366,2633
manual_200us,36,0.04155339805825243,2575
manual_200us,37,0.017423014586709886,2468
manual_200us,38,0.046597938144329894,2425
manual_200us,39,0.019896193771626297,2312
manual_200us,40,0.03574580759046778,2266
manual_200us,41,0.017848970251716247,2185
manual_200us,42,0.03774464119291705,2146
manual_200us,43,0.015012106537530266,2065
manual_200us,44,0.04228121927236971,2034
manual_200us,45,0.018480492813141684,1948
manual_200us,46,0.05073221757322176,1912
manual_200us,47,0.01928374655647383,1815
manual_200us,48,0.03314606741573034,1780
manual_200us,49,0.023242300987797792,1721
manual_200us,50,0.03509815585960738,1681
manual_200us,51,0.016646115906288533,1622
manual_200us,52,0.03510971786833856,1595
manual_200us,53,0.018843404808317088,1539
manual_200us,54,0.03443708609271523,1510
manual_200us,55,0.013031550068587106,1458
manual_200us,56,0.043085476025017375,1439
manual_200us,57,0.026143790849673203,1377
manual_200us,58,0.03281133482475764,1341
manual_200us,59,0.01079414032382421,1297
manual_200us,60,0.030397505845674203,1283
manual_400us,1,0.0035400390625,8192
manual_400us,2,0.007227734901384295,8163
manual_400us,3,0.004935834155972359,8104
manual_400us,4,0.008308531746031746,8064
manual_400us,5,0.004251594347880455,7997
manual_400us,6,0.006781363807610197,7963
manual_400us,7,0.004551776457200657,7909
manual_400us,8,0.008383081417502857,7873
manual_400us,9,0.005892148072242859,7807
manual_400us,10,0.0060559206287849505,7761
manual_400us,11,0.006352087114337568,7714
manual_400us,12,0.007697325505544684,7665
manual_400us,13,0.005653431501446227,7606
manual_400us,14,0.009916699722332408,7563
manual_400us,15,0.008012820512820512,7488
manual_400us,16,0.011173936456650511,7428
manual_400us,17,0.006671204901293397,7345
manual_400us,18,0.010827850877192983,7296
manual_400us,19,0.007205209921019814,7217
manual_400us,20,0.00837404047452896,7165
manual_400us,21,0.009711470795214637,7105
manual_400us,22,0.012649232518476407,7036
manual_400us,23,0.010076291924571757,6947
manual_400us,24,0.012505452959139159,6877
manual_400us,25,0.010160506552790457,6791
manual_400us,26,0.013537637607854805,6722
manual_400us,27,0.009651636253958679,6631
manual_400us,28,0.0126389523374448,6567
manual_400us,29,0.010641579272054287,6484
manual_400us,30,0.010756040530007794,6415
manual_400us,31,0.011188150015757958,6346
manual_400us,32,0.01609561752988048,6275
manual_400us,33,0.009394233884029803,6174
manual_400us,34,0.013080444735120994,6116
manual_400us,35,0.011928429423459244,6036
manual_400us,36,0.01358148893360161,5964
manual_400us,37,0.010368859425463199,5883
manual_400us,38,0.01391274476125043,5822
manual_400us,39,0.01132206932590141,5741
manual_400us,40,0.013389711064129669,5676
manual_400us,41,0.009821428571428571,5600
manual_400us,42,0.015329125338142471,5545
manual_400us,43,0.012087912087912088,5460
manual_400us,44,0.01260659992584353,5394
manual_400us,45,0.01182876455125798,5326
manual_400us,46,0.018050541516245487,5263
manual_400us,47,0.009094427244582043,5168
manual_400us,48,0.012497559070494045,5121
manual_400us,49,0.009689539252521258,5057
manual_400us,50,0.01637380191693291,5008
manual_400us,51,0.012586276898091758,4926
manual_400us,52,0.017064144736842105,4864
manual_400us,53,0.013386320853377955,4781
manual_400us,54,0.013355946576213695,4717
manual_400us,55,0.010313708637730984,4654
manual_400us,56,0.015631784628745114,4606
manual_400us,57,0.013012792236435818,4534
manual_400us,58,0.019441340782122906,4475
manual_400us,59,0.011394712853236098,4388
manual_400us,60,0.017980636237897647,4338
manual_600us,1,0.0042724609375,8192
manual_600us,2,0.006865269094029668,8157
manual_600us,3,0.002839155659795087,8101
manual_600us,4,0.007056202030205496,8078
manual_600us,5,0.004612891160703154,8021
manual_600us,6,0.006638276553106212,7984
manual_600us,7,0.004917412684402976,7931
manual_600us,8,0.008362899138367968,7892
manual_600us,9,0.006388959877331971,7826
manual_600us,10,0.007973251028806584,7776
manual_600us,11,0.005185377236193933,7714
manual_600us,12,0.007297367735209799,7674
manual_600us,13,0.005775794171698608,7618
manual_600us,14,0.006997623448640085,7574
manual_600us,15,0.007711740460045207,7521
manual_600us,16,0.009513600428781991,7463
manual_600us,17,0.007846320346320346,7392
manual_600us,18,0.009953640578129261,7334
manual_600us,19,0.006472937611899187,7261
manual_600us,20,0.013307457721097865,7214
manual_600us,21,0.007726889575723518,7118
manual_600us,22,0.009202888291094436,7063
manual_600us,23,0.008859674192626465,6998
manual_600us,24,0.010092272202998846,6936
manual_600us,25,0.010486454995630643,6866
manual_600us,26,0.013394171327642037,6794
manual_600us,27,0.008652842011039833,6703
manual_600us,28,0.012791572610985704,6645
manual_600us,29,0.010365853658536586,6560
manual_600us,30,0.010320394331484904,6492
manual_600us,31,0.010116731517509728,6425
manual_600us,32,0.014937106918238994,6360
manual_600us,33,0.010853950518754988,6265
manual_600us,34,0.016136840406648378,6197
manual_600us,35,0.013121207151057898,6097
manual_600us,36,0.012963270732923384,6017
