case,waveform,shots,temperature,rin,rmse_pp,early_bias_pp,late_bias_pp,s2,s10,s30,s60
baseline_current,manual_200us,1024,15.0,1e-08,19.46865735528788,-16.038164201074604,-23.29918158280575,0.9638671875,0.5791015625,0.109375,0.0146484375
baseline_current,manual_400us,1024,15.0,1e-08,6.544302120987533,3.0228909407378084,9.265951472664707,0.99609375,0.9697265625,0.7705078125,0.5048828125
baseline_current,manual_600us,1024,15.0,1e-08,15.183357401296366,2.518354915943734,22.80073285291269,0.9990234375,0.9892578125,0.9501953125,0.884765625
baseline_current,ml_400us,1024,15.0,1e-08,12.774339792945492,1.9602170419256788,18.493196043781335,0.9970703125,0.9931640625,0.98046875,0.9482421875
coefficients_only,manual_200us,256,15.0,1e-08,20.675170435909216,-16.672929826074604,-24.08043158280575,0.98046875,0.57421875,0.1015625,0.0078125
coefficients_only,manual_400us,256,15.0,1e-08,4.429997101986373,1.8021878157378084,-5.382486027335292,0.99609375,0.98046875,0.68359375,0.3046875
coefficients_only,manual_600us,256,15.0,1e-08,6.178552586887668,1.8835892909437342,9.080029727912692,1.0,0.9921875,0.90625,0.62109375
coefficients_only,ml_400us,256,15.0,1e-08,9.329973277804271,2.0090451669256786,13.830110106281335,1.0,0.99609375,0.9765625,0.8515625
waveform_only,manual_200us,256,15.0,1e-08,4.251367023420275,-3.1312631594079376,-4.93980658280575,0.99609375,0.74609375,0.29296875,0.1015625
waveform_only,manual_400us,256,15.0,1e-08,20.234081164777642,5.773541982404475,30.262045222664707,0.99609375,0.98828125,0.9140625,0.76171875
waveform_only,manual_600us,256,15.0,1e-08,18.148423367547494,3.1205684576104007,27.24409222791269,1.0,0.99609375,0.9765625,0.9453125
waveform_only,ml_400us,256,15.0,1e-08,12.59202862717203,2.1392535002590125,18.419953856281335,1.0,0.9921875,0.98828125,0.9375
corrected_both,manual_200us,256,15.0,1e-08,8.630596564254969,-4.368242326074604,-14.705431582805751,0.99609375,0.75,0.1953125,0.04296875
corrected_both,manual_400us,256,15.0,1e-08,14.658268884289818,4.992291982404475,21.765951472664707,0.99609375,0.984375,0.8828125,0.62109375
corrected_both,manual_600us,256,15.0,1e-08,11.892954538723094,3.2507767909437346,18.06440472791269,1.0,0.99609375,0.9609375,0.76171875
corrected_both,ml_400us,256,15.0,1e-08,9.329973277804271,2.0090451669256786,13.830110106281335,1.0,0.99609375,0.9765625,0.8515625
lensing_off,manual_200us,256,15.0,1e-08,6.393935425445328,4.876549340592062,7.56019341719425,0.99609375,0.8515625,0.41796875,0.12890625
lensing_off,manual_400us,256,15.0,1e-08,19.54393655678631,6.229271149071142,29.187826472664707,0.99609375,0.9921875,0.9453125,0.71875
lensing_off,manual_600us,256,15.0,1e-08,12.4568155133978,2.9903601242770677,18.84565472791269,1.0,0.9921875,0.94140625,0.79296875
lensing_off,ml_400us,256,15.0,1e-08,9.29878657869784,1.6835243335923455,13.830110106281335,1.0,0.9921875,0.96875,0.84765625
jitter_off,manual_200us,256,15.0,1e-08,6.044088971117674,-3.1312631594079376,-11.189806582805751,0.99609375,0.76171875,0.23046875,0.046875
jitter_off,manual_400us,256,15.0,1e-08,13.401447887302032,4.796979482404475,19.715170222664707,0.99609375,0.9765625,0.85546875,0.59765625
jitter_off,manual_600us,256,15.0,1e-08,11.943252989289439,2.5997351242770677,18.35737347791269,1.0,0.98828125,0.96875,0.7734375
jitter_off,ml_400us,256,15.0,1e-08,9.567329561679838,2.1392535002590125,13.732453856281335,1.0,0.9921875,0.9609375,0.875
diffusion_T15,manual_200us,256,15.0,1e-08,9.972262365116432,-7.037513159407938,-14.705431582805751,0.98828125,0.734375,0.1953125,0.0390625
diffusion_T15,manual_400us,256,15.0,1e-08,2.4874875493114663,1.4115628157378082,-3.0387360273352924,0.99609375,0.94921875,0.68359375,0.37109375
diffusion_T15,manual_600us,256,15.0,1e-08,17.895853983214998,-3.9106815423895993,-26.95512652208731,0.9921875,0.9296875,0.6328125,0.2421875
diffusion_T15,ml_400us,256,15.0,1e-08,14.253191355037064,-4.371163166407655,-20.642546143718665,0.99609375,0.95703125,0.7578125,0.40625
local_mean_T15,manual_200us,256,15.0,1e-08,9.381819914631508,-6.58178399274127,-13.533556582805751,0.9921875,0.71875,0.20703125,0.03125
local_mean_T15,manual_400us,256,15.0,1e-08,6.671230566641037,4.211041982404475,1.2581389726647074,0.99609375,0.9765625,0.8125,0.3125
local_mean_T15,manual_600us,256,15.0,1e-08,10.47081175415961,1.167443457610401,-13.673876522087308,1.0,0.984375,0.81640625,0.32421875
local_mean_T15,ml_400us,256,15.0,1e-08,4.262992506556123,1.6835243335923455,-3.1620773937186653,1.0,0.9921875,0.9296875,0.5546875
aod_T4.3_R0,manual_200us,256,4.3,0,28.093695880483843,19.134361840592064,47.40394341719425,1.0,0.9921875,0.81640625,0.60546875
aod_T4.3_R0,manual_400us,256,4.3,0,30.1541272803566,7.466250315737809,45.10579522266471,1.0,1.0,1.0,0.9921875
aod_T4.3_R0,manual_600us,256,4.3,0,20.64573332333078,3.8367142909437346,30.85737347791269,1.0,1.0,1.0,1.0
aod_T4.3_R0,ml_400us,256,4.3,0,15.205903939072,2.7902951669256786,22.033235106281335,1.0,1.0,1.0,1.0
aod_T4.3_R1e-09,manual_200us,256,4.3,1e-09,27.219627530314895,18.743736840592064,45.06019341719425,1.0,0.98046875,0.79296875,0.59375
aod_T4.3_R1e-09,manual_400us,256,4.3,1e-09,30.34780827442289,7.466250315737809,45.39876397266471,1.0,1.0,1.0,0.99609375
aod_T4.3_R1e-09,manual_600us,256,4.3,1e-09,20.64573332333078,3.8367142909437346,30.85737347791269,1.0,1.0,1.0,1.0
aod_T4.3_R1e-09,ml_400us,256,4.3,1e-09,15.205903939072,2.7902951669256786,22.033235106281335,1.0,1.0,1.0,1.0
aod_T4.3_R3e-09,manual_200us,256,4.3,3e-09,27.935007967383445,19.524986840592064,44.66956841719425,1.0,0.98828125,0.7890625,0.55859375
aod_T4.3_R3e-09,manual_400us,256,4.3,3e-09,29.697187367568517,7.466250315737809,44.42220147266471,1.0,1.0,0.99609375,0.9765625
aod_T4.3_R3e-09,manual_600us,256,4.3,3e-09,19.889523637518323,3.8367142909437346,29.88081097791269,1.0,1.0,1.0,0.97265625
aod_T4.3_R3e-09,ml_400us,256,4.3,3e-09,14.948824496175847,2.7902951669256786,21.740266356281335,1.0,1.0,1.0,0.98828125
aod_T4.3_R6e-09,manual_200us,256,4.3,6e-09,26.850344858287396,19.069257673925396,42.32581841719425,1.0,0.984375,0.765625,0.43359375
aod_T4.3_R6e-09,manual_400us,256,4.3,6e-09,27.613713067797825,7.401146149071142,41.39485772266471,1.0,1.0,0.9921875,0.921875
aod_T4.3_R6e-09,manual_600us,256,4.3,6e-09,16.56659253343745,3.771610124277067,24.99799847791269,1.0,1.0,0.98828125,0.89453125
aod_T4.3_R6e-09,ml_400us,256,4.3,6e-09,14.075495995221294,2.7902951669256786,20.568391356281335,1.0,1.0,1.0,0.96484375
aod_T4.3_R1e-08,manual_200us,256,4.3,1e-08,27.437878530531144,19.199466007258728,44.27894341719425,1.0,0.98828125,0.78515625,0.3359375
aod_T4.3_R1e-08,manual_400us,256,4.3,1e-08,22.574581015100595,7.336041982404475,33.58235772266471,1.0,1.0,0.96875,0.78515625
aod_T4.3_R1e-08,manual_600us,256,4.3,1e-08,8.061743615740253,3.5111934576104007,11.521435977912692,1.0,1.0,0.93359375,0.65625
aod_T4.3_R1e-08,ml_400us,256,4.3,1e-08,7.475714650689602,2.7902951669256786,10.802766356281335,1.0,1.0,0.96484375,0.7734375
aod_T7_R0,manual_200us,256,7,0,24.03920113095028,16.985924340592064,39.20081841719425,1.0,0.97265625,0.734375,0.48828125
aod_T7_R0,manual_400us,256,7,0,29.676577271499255,7.336041982404475,44.42220147266471,1.0,1.0,0.99609375,0.984375
aod_T7_R0,manual_600us,256,7,0,20.64573332333078,3.8367142909437346,30.85737347791269,1.0,1.0,1.0,1.0
aod_T7_R0,ml_400us,256,7,0,15.205903939072,2.7902951669256786,22.033235106281335,1.0,1.0,1.0,1.0
aod_T7_R1e-09,manual_200us,256,7,1e-09,24.12095393789766,17.441653507258728,37.63831841719425,1.0,0.9765625,0.71875,0.48046875
aod_T7_R1e-09,manual_400us,256,7,1e-09,29.447804093822516,7.466250315737809,44.03157647266471,1.0,1.0,0.99609375,0.9765625
aod_T7_R1e-09,manual_600us,256,7,1e-09,20.412359256158837,3.8367142909437346,30.46674847791269,1.0,1.0,0.99609375,0.99609375
aod_T7_R1e-09,ml_400us,256,7,1e-09,15.119687279522493,2.7902951669256786,21.935578856281335,1.0,1.0,1.0,0.99609375
aod_T7_R3e-09,manual_200us,256,7,3e-09,22.20014757080617,16.399986840592064,33.73206841719425,1.0,0.98046875,0.6796875,0.42578125
aod_T7_R3e-09,manual_400us,256,7,3e-09,28.33915801718387,7.140729482404475,42.56673272266471,1.0,0.99609375,0.9921875,0.9453125
aod_T7_R3e-09,manual_600us,256,7,3e-09,18.62577134296392,3.771610124277067,27.92768597791269,1.0,1.0,0.9921875,0.94921875
aod_T7_R3e-09,ml_400us,256,7,3e-09,14.275896680590872,2.7902951669256786,20.666047606281335,1.0,1.0,0.9921875,0.9765625
aod_T7_R6e-09,manual_200us,256,7,6e-09,18.943720996733283,14.381757673925396,27.48206841719425,1.0,0.96875,0.6171875,0.3203125
