group,waveform,shots,rmse_pp,max_abs_pp,early_bias_pp,late_bias_pp,early_rmse_pp,late_rmse_pp,fit_rmse_pp,fit_max_pp,S2,S10,S30,S60
Baseline,manual_200us,4096,19.11096546688128,26.54964410319598,-15.521399878157938,-23.05504095780575,18.371481948789544,23.05504095780575,20.18966695181749,23.768199574126914,0.973876953125,0.601318359375,0.11181640625,0.013427734375
Corrected formulas / controls,manual_200us,4096,5.720446875269441,9.456408145305751,-3.627682430241271,-9.456408145305751,4.824260429655762,9.456408145305751,5.380335332520454,8.884206707427072,0.98681640625,0.7607421875,0.247802734375,0.055908203125
Joint model,manual_200us,8192,2.7644039167802488,4.469769687236436,-2.3296681073246046,2.5675176359442498,2.7958706543426124,2.5675176359442498,2.598004334684121,3.7291273863828964,0.96337890625,0.7557373046875,0.3680419921875,0.15185546875
Baseline,manual_400us,4096,6.431758929100652,9.31978855206741,3.157168284487808,8.948568660164707,3.9389255986155822,8.952435701976375,8.077915395118602,10.342248127444552,0.99609375,0.9677734375,0.780517578125,0.5009765625
Corrected formulas / controls,manual_400us,4096,14.169093410118231,22.723108864567408,5.073672190737808,20.783285457039707,6.694266652340734,20.849177709029146,18.051623742320334,23.74948650305998,0.99560546875,0.98046875,0.886474609375,0.601318359375
Joint model,manual_400us,8192,6.541819646916277,10.867429293614617,0.9802477115711417,9.986166316414707,2.0691301777769624,10.028288048967706,8.434575449616414,11.769384710777247,0.9892578125,0.941650390625,0.774658203125,0.52001953125
Baseline,manual_600us,4096,15.543673182505325,32.008811345754175,2.396284603443734,23.36835980603769,2.998906422842385,24.30070534803239,18.634141651730456,32.02466604635894,0.998046875,0.986328125,0.955322265625,0.893310546875
Corrected formulas / controls,manual_600us,4096,11.664551648499613,20.088821443355155,2.567183040943734,17.85078168103769,3.184931635698514,18.026056934759126,14.691244181658236,20.88967863815494,0.99853515625,0.988525390625,0.951416015625,0.761962890625
Joint model,manual_600us,8192,3.4371272972789857,4.648903497995827,-2.4214237298895993,-3.9845454673998084,2.973771253579542,4.0335638015688815,3.702656297198026,4.6330487973910595,0.9888916015625,0.941650390625,0.7843017578125,0.5267333984375
Baseline,ml_400us,4096,13.05713123209507,29.145221961257796,1.9968381356756788,18.889924559406335,2.5050184216067866,20.415901011013386,15.015529407915974,27.957748559837302,0.99609375,0.991943359375,0.98046875,0.954833984375
Corrected formulas / controls,ml_400us,4096,9.004196554597735,18.891315711257796,1.6550412606756788,13.207551512531335,2.052220878609018,14.01326061923763,10.63229104917165,17.703842309837302,0.99609375,0.989501953125,0.961669921875,0.852294921875
Joint model,ml_400us,8192,3.1924935297215318,5.4620364204679195,-2.1148968903659875,-3.9616379405936653,2.4349931067156425,4.072622029928086,3.6418298013619608,4.376785135884454,0.987060546875,0.9559326171875,0.8441162109375,0.634765625
