group,waveform,n,experiment,mc,residual_pp,paper_error_lower,paper_error_upper
Baseline,manual_200us,2,0.986698952753318,0.973876953125,-1.2821999628317982,0.9844528658688981,0.988931001594712
Baseline,manual_200us,4,0.9582719156223644,0.9111328125,-4.713910312236436,0.9544395298758214,0.962174491584047
Baseline,manual_200us,8,0.8483540387160096,0.708251953125,-14.010208559100956,0.8414613595894411,0.8552467178425764
Baseline,manual_200us,12,0.7171966027088477,0.51220703125,-20.498957145884766,0.7084509019026335,0.7259282654720347
Baseline,manual_200us,16,0.6235277606069769,0.36279296875,-26.07347918569769,0.614073138627867,0.6329964206291139
Baseline,manual_200us,20,0.5264827691569598,0.260986328125,-26.54964410319598,0.5168737287045466,0.536091809609373
Baseline,manual_200us,30,0.3423668158280575,0.11181640625,-23.05504095780575,0.3332280498170692,0.3515055818390458
Corrected formulas / controls,manual_200us,2,0.986698952753318,0.98681640625,0.011745349668201843,0.9844528658688981,0.988931001594712
Corrected formulas / controls,manual_200us,4,0.9582719156223644,0.94775390625,-1.0518009372364356,0.9544395298758214,0.962174491584047
Corrected formulas / controls,manual_200us,8,0.8483540387160096,0.829345703125,-1.9008335591009562,0.8414613595894411,0.8552467178425764
Corrected formulas / controls,manual_200us,12,0.7171966027088477,0.687255859375,-2.9940743333847664,0.7084509019026335,0.7259282654720347
Corrected formulas / controls,manual_200us,16,0.6235277606069769,0.550048828125,-7.34789324819769,0.614073138627867,0.6329964206291139
Corrected formulas / controls,manual_200us,20,0.5264827691569598,0.441650390625,-8.48323785319598,0.5168737287045466,0.536091809609373
Corrected formulas / controls,manual_200us,30,0.3423668158280575,0.247802734375,-9.456408145305751,0.3332280498170692,0.3515055818390458
Joint model,manual_200us,2,0.986698952753318,0.96337890625,-2.332004650331798,0.9844528658688981,0.988931001594712
Joint model,manual_200us,4,0.9582719156223644,0.91357421875,-4.469769687236436,0.9544395298758214,0.962174491584047
Joint model,manual_200us,8,0.8483540387160096,0.807861328125,-4.049271059100956,0.8414613595894411,0.8552467178425764
Joint model,manual_200us,12,0.7171966027088477,0.701171875,-1.6024727708847664,0.7084509019026335,0.7259282654720347
Joint model,manual_200us,16,0.6235277606069769,0.607666015625,-1.58617449819769,0.614073138627867,0.6329964206291139
Joint model,manual_200us,20,0.5264827691569598,0.527099609375,0.06168402180402044,0.5168737287045466,0.536091809609373
Joint model,manual_200us,30,0.3423668158280575,0.3680419921875,2.5675176359442498,0.3332280498170692,0.3515055818390458
Baseline,manual_400us,2,0.991654381942072,0.99609375,0.4439368057927995,0.9898855885205907,0.9934231753635532
Baseline,manual_400us,4,0.9838071158896264,0.991455078125,0.7647962235373562,0.9813504583597915,0.9862778114624902
Baseline,manual_400us,8,0.9594511112366847,0.976318359375,1.6867248138315305,0.9556187254901417,0.9632413828541457
Baseline,manual_400us,12,0.9185933870047645,0.957275390625,3.868200362023555,0.9131957594606401,0.9239769765058615
Baseline,manual_400us,16,0.8745771030916252,0.931396484375,5.681938128337483,0.868161717427997,0.8809784507122247
Baseline,manual_400us,20,0.8239418818909587,0.888916015625,6.497413373404126,0.8164596049572299,0.8314662729537676
Baseline,manual_400us,30,0.6898224188049664,0.780517578125,9.069515932003359,0.680795957138199,0.6988488804717339
Baseline,manual_400us,40,0.5833157863543259,0.676513671875,9.31978855206741,0.5738120312246191,0.592763389311922
Baseline,manual_400us,50,0.49264406643885383,0.580078125,8.743405856114617,0.48294377870676075,0.5023443541709469
Baseline,manual_400us,60,0.41436091949526555,0.5009765625,8.661564300473445,0.4046957268707416,0.424026112119791
Corrected formulas / controls,manual_400us,2,0.991654381942072,0.99560546875,0.3951086807927995,0.9898855885205907,0.9934231753635532
Corrected formulas / controls,manual_400us,4,0.9838071158896264,0.990966796875,0.7159680985373562,0.9813504583597915,0.9862778114624902
Corrected formulas / controls,manual_400us,8,0.9594511112366847,0.984619140625,2.5168029388315305,0.9556187254901417,0.9632413828541457
Corrected formulas / controls,manual_400us,12,0.9185933870047645,0.9755859375,5.699255049523555,0.9131957594606401,0.9239769765058615
Corrected formulas / controls,manual_400us,16,0.8745771030916252,0.962158203125,8.758110003337482,0.868161717427997,0.8809784507122247
Corrected formulas / controls,manual_400us,20,0.8239418818909587,0.947509765625,12.356788373404125,0.8164596049572299,0.8314662729537676
Corrected formulas / controls,manual_400us,30,0.6898224188049664,0.886474609375,19.66521905700336,0.680795957138199,0.6988488804717339
Corrected formulas / controls,manual_400us,40,0.5833157863543259,0.810546875,22.723108864567408,0.5738120312246191,0.592763389311922
