absorb_at_checkpoints,alignment_nm,curve_rmse_pp,dt_us,id,jitter_nm,joint_rmse_pp,manual,ml_endpoints,ml_vector,model,no_aod_disorder,noise_us,pointing,recoil,rin,seed,shots,slm_pointing,slm_rin,temperature,vs,waist_um
,50.0,"[18.949282600261146, 29.216868690536423, 20.396166179808255, 15.205903939072]",0.025,aod_T10_R0,10.0,21.56341714909332,paper_cubic,,True,diffusion,,0.05,1e-24,,0,26091611,256,0,0,10,0,
,50.0,"[11.106779870797887, 15.365717085289981, 2.7309105691302222, 1.8330425582219094]",0.025,aod_T10_R1e-08,10.0,9.621379035777219,paper_cubic,,True,diffusion,,0.05,1e-24,,1e-08,26091611,256,0,0,10,0,
,50.0,"[16.596049237545476, 28.743950227824445, 19.63797624499192, 14.811632272027978]",0.025,aod_T10_R1e-09,10.0,20.655980287530113,paper_cubic,,True,diffusion,,0.05,1e-24,,1e-09,26091611,256,0,0,10,0,
,50.0,"[13.489318986475629, 26.249909690342626, 17.426602228661455, 13.04979646804659]",0.025,aod_T10_R3e-09,10.0,18.33714221575615,paper_cubic,,True,diffusion,,0.05,1e-24,,3e-09,26091611,256,0,0,10,0,
,50.0,"[13.050499748697982, 21.57920899288419, 10.365398493972796, 10.691853165695427]",0.025,aod_T10_R6e-09,10.0,14.643556727320254,paper_cubic,,True,diffusion,,0.05,1e-24,,6e-09,26091611,256,0,0,10,0,
,50.0,"[7.4467189310605075, 25.37560419427444, 19.043029347954466, 13.584633493020876]",0.025,aod_T15_R0,10.0,17.653286839491486,paper_cubic,,True,diffusion,,0.05,1e-24,,0,26091611,256,0,0,15,0,
,50.0,"[3.918036826970766, 5.249638953285672, 9.134885510008017, 6.020402617980001]",0.025,aod_T15_R1e-08,10.0,6.375756870381906,paper_cubic,,True,diffusion,,0.05,1e-24,,1e-08,26091611,256,0,0,15,0,
,50.0,"[8.389296256894841, 24.11148901606732, 17.825832472044986, 12.46435524387723]",0.025,aod_T15_R1e-09,10.0,16.769500955789262,paper_cubic,,True,diffusion,,0.05,1e-24,,1e-09,26091611,256,0,0,15,0,
,50.0,"[4.817764519805934, 19.216883405911513, 11.348084397051444, 8.51558391325742]",0.025,aod_T15_R3e-09,10.0,12.18394077947514,paper_cubic,,True,diffusion,,0.05,1e-24,,3e-09,26091611,256,0,0,15,0,
,50.0,"[3.7733387670099026, 14.679729777993971, 4.325012541878161, 4.166649788053359]",0.025,aod_T15_R6e-09,10.0,8.151675529442263,paper_cubic,,True,diffusion,,0.05,1e-24,,6e-09,26091611,256,0,0,15,0,
,50.0,"[6.38209704776444, 18.484860610616934, 13.895678760848423, 8.848963766492576]",0.025,aod_T21_R0,10.0,12.784905968430248,paper_cubic,,True,diffusion,,0.05,1e-24,,0,26091611,256,0,0,21,0,
,50.0,"[8.833972921742149, 4.267742248863619, 12.153485981722355, 12.12908336818238]",0.025,aod_T21_R1e-08,10.0,9.887802920075941,paper_cubic,,True,diffusion,,0.05,1e-24,,1e-08,26091611,256,0,0,21,0,
,50.0,"[5.810985338115978, 16.63792409658829, 12.596806481092862, 7.337565869121525]",0.025,aod_T21_R1e-09,10.0,11.43577145680859,paper_cubic,,True,diffusion,,0.05,1e-24,,1e-09,26091611,256,0,0,21,0,
,50.0,"[8.093940758423653, 13.420678954674194, 6.686390422040163, 4.945419797660811]",0.025,aod_T21_R3e-09,10.0,8.871182199351342,paper_cubic,,True,diffusion,,0.05,1e-24,,3e-09,26091611,256,0,0,21,0,
,50.0,"[7.517368964118283, 7.223782088529916, 4.954846600320653, 4.176204592482151]",0.025,aod_T21_R6e-09,10.0,6.137692022173981,paper_cubic,,True,diffusion,,0.05,1e-24,,6e-09,26091611,256,0,0,21,0,
,50.0,"[14.710388579923903, 13.735532071707057, 10.935590958158967, 6.687066501376776]",0.025,aod_T28_R0,10.0,11.93067874707106,paper_cubic,,True,diffusion,,0.05,1e-24,,0,26091611,256,0,0,28,0,
,50.0,"[19.880834259671744, 11.109871215612092, 18.3257887681854, 21.58749168609636]",0.025,aod_T28_R1e-08,10.0,18.169556547708133,paper_cubic,,True,diffusion,,0.05,1e-24,,1e-08,26091611,256,0,0,28,0,
,50.0,"[16.322433975178345, 11.385314014235403, 8.212089942248731, 5.417239038418121]",0.025,aod_T28_R1e-09,10.0,11.099911329552882,paper_cubic,,True,diffusion,,0.05,1e-24,,1e-09,26091611,256,0,0,28,0,
,50.0,"[16.93589465270303, 6.157616055551498, 6.795576105105998, 6.638769780327573]",0.025,aod_T28_R3e-09,10.0,10.185699312903347,paper_cubic,,True,diffusion,,0.05,1e-24,,3e-09,26091611,256,0,0,28,0,
