kind,waveform,reference,comparison,max_delta_pp,worst_n,delta_at_worst_pp,paired_se_at_worst_pp,final_delta_pp,final_label_disagreement,rmse_pp,early_bias_pp,late_bias_pp
sensitivity,manual_200us,sensitivity_reference,sensitivity_jitter_off,4.98046875,31,4.98046875,1.6008548870934738,2.05078125,0.1572265625,2.850285818063954,-1.8291798260746044,4.43519341719425
sensitivity,manual_400us,sensitivity_reference,sensitivity_jitter_off,2.24609375,27,2.24609375,1.2606591232720923,0.09765625,0.3369140625,7.0599549324061925,0.8256253157378083,10.828451472664707
sensitivity,manual_600us,sensitivity_reference,sensitivity_jitter_off,2.5390625,35,2.5390625,1.5975117080943808,-0.5859375,0.349609375,3.143968608803453,-2.999223209056266,-2.4678218345873084
sensitivity,ml_400us,sensitivity_reference,sensitivity_jitter_off,5.46875,55,5.46875,1.660787854775673,5.2734375,0.306640625,3.2071769826522774,-2.5156944164076545,-2.5761398937186653
sensitivity,manual_200us,sensitivity_reference,sensitivity_alignment_off,3.90625,32,3.90625,1.5523481916285073,1.953125,0.1640625,2.8407823108214463,-2.5778777427412707,2.9703496671942498
sensitivity,manual_400us,sensitivity_reference,sensitivity_alignment_off,2.734375,35,-2.734375,1.5362667528885305,-1.66015625,0.3232421875,5.7556708907514675,0.27223989907114166,8.753256160164707
sensitivity,manual_600us,sensitivity_reference,sensitivity_alignment_off,2.1484375,37,2.1484375,1.6158929227336076,-1.171875,0.341796875,3.289011364090597,-2.8201867507229323,-3.1758296470873084
sensitivity,ml_400us,sensitivity_reference,sensitivity_alignment_off,3.80859375,60,3.80859375,1.7354894117191009,3.80859375,0.3095703125,3.0372330924417765,-2.3529339997409875,-3.0155930187186653
sensitivity,manual_200us,sensitivity_reference,sensitivity_aod_disorder_off,2.83203125,27,2.83203125,1.6470545183779768,0.1953125,0.169921875,2.7425003282399,-2.6104298260746046,2.2867559171942498
sensitivity,manual_400us,sensitivity_reference,sensitivity_aod_disorder_off,1.66015625,36,-1.66015625,1.5470514812557175,-0.48828125,0.3427734375,6.283547742042995,0.2885159407378083,9.705404597664707
sensitivity,manual_600us,sensitivity_reference,sensitivity_aod_disorder_off,2.734375,60,-2.734375,1.86723090813132,-2.734375,0.357421875,3.9010776821029545,-3.161983625722933,-4.103564022087308
sensitivity,ml_400us,sensitivity_reference,sensitivity_aod_disorder_off,1.953125,38,1.953125,1.4009855673266762,0.29296875,0.3271484375,4.338723748786215,-3.2969444164076545,-5.115202393718665
sensitivity,manual_200us,sensitivity_reference,sensitivity_pointing_off,3.22265625,28,3.22265625,1.4750921941113997,-0.5859375,0.138671875,2.4951288993296346,-2.2523569094079376,2.4820684171942498
sensitivity,manual_400us,sensitivity_reference,sensitivity_pointing_off,1.66015625,25,1.66015625,1.2074161947225106,-0.1953125,0.31640625,6.843786281609979,0.40244823240447497,10.559896785164707
sensitivity,manual_600us,sensitivity_reference,sensitivity_pointing_off,3.125,37,3.125,1.5905053774873654,-0.87890625,0.3427734375,2.5817969963771703,-2.4295617507229323,-2.0283687095873084
