group,waveform,n,shots,survivors,survival,wilson95_low,wilson95_high,published_fit
Baseline,manual_200us,0,4096,4096,1.0,0.9990630225926348,0.9999999999999999,
Baseline,manual_200us,1,4096,4076,0.9951171875,0.9924697076331114,0.9968368401295172,
Baseline,manual_200us,2,4096,3989,0.973876953125,0.9685304473439507,0.978335434908151,
Baseline,manual_200us,3,4096,3917,0.956298828125,0.9495990962030896,0.9621434766609898,
Baseline,manual_200us,4,4096,3732,0.9111328125,0.9020289161772014,0.9194662645093207,
Baseline,manual_200us,5,4096,3593,0.877197265625,0.8667910696215887,0.8868966109963902,0.9187593345693027
Baseline,manual_200us,6,4096,3333,0.813720703125,0.8015056463812547,0.8253478614466436,0.8929767098063712
Baseline,manual_200us,7,4096,3200,0.78125,0.7683295631481669,0.7936433870601901,0.8642373344458064
Baseline,manual_200us,8,4096,2901,0.708251953125,0.6941411234838311,0.7219725280159333,0.8328411829022916
Baseline,manual_200us,9,4096,2746,0.67041015625,0.6558608931079,0.6846400784593163,0.8012605638317051
Baseline,manual_200us,10,4096,2463,0.601318359375,0.5862356010713923,0.6162112516512364,0.7693604041134326
Baseline,manual_200us,11,4096,2352,0.57421875,0.5590135580755022,0.5892848593405919,0.7374602443951601
Baseline,manual_200us,12,4096,2098,0.51220703125,0.49689510785408114,0.5274960792209343,0.7055600846768876
Baseline,manual_200us,13,4096,1977,0.482666015625,0.4673864052937862,0.4979781090596918,0.6753278628489832
Baseline,manual_200us,14,4096,1773,0.432861328125,0.41775766742031417,0.44809080366710063,0.6463358077077718
Baseline,manual_200us,15,4096,1691,0.412841796875,0.3978525224531523,0.42799440183123705,0.618302110838253
Baseline,manual_200us,16,4096,1486,0.36279296875,0.3482034595103228,0.3776395977665031,0.5919667015897039
Baseline,manual_200us,17,4096,1432,0.349609375,0.335153292326745,0.3643472829090641,0.5667510264602029
Baseline,manual_200us,18,4096,1286,0.31396484375,0.2999318742904031,0.32834643468636077,0.5428363749048011
Baseline,manual_200us,19,4096,1214,0.29638671875,0.28259768596143436,0.31055731362730715,0.5202484205209351
Baseline,manual_200us,20,4096,1069,0.260986328125,0.24776530565824756,0.27465525141294905,0.49866832386626914
Baseline,manual_200us,21,4096,1021,0.249267578125,0.23625883771279363,0.26274617976638803,0.4784582840442959
