time_s,time_us,position_m,displacement_from_center_m,position_um,velocity_m_per_s,acceleration_m_per_s2,kinetic_energy_J,potential_energy_J,total_energy_J,energy_error_J,energy_error_over_depth,abs_energy_error_over_depth
0.0,0.0,1.1699999999999999e-07,1.1699999999999999e-07,0.11699999999999999,0.0,-3773.5675880001218,0.0,-2.4359585725841372e-27,-2.4359585725841372e-27,0.0,0.0,0.0
5e-08,0.049999999999999996,1.1699528304051499e-07,1.1699528304051499e-07,0.116995283040515,-0.00018867472815699507,-3773.421538279681,3.928161772473673e-33,-2.435962500821928e-27,-2.4359585726601555e-27,-7.601826687440469e-38,-3.058878142509819e-11,3.058878142509819e-11
1e-07,0.09999999999999999,1.1698113252718429e-07,1.1698113252718429e-07,0.11698113252718428,-0.00037733485151565844,-3772.9833960668534,1.571143084009065e-32,-2.4359742843190297e-27,-2.4359585728881895e-27,-3.040522610180205e-37,-1.2234675343826645e-10,1.2234675343826645e-10
1.5e-07,0.15,1.1695754955536342e-07,1.1695754955536342e-07,0.11695754955536343,-0.0005659657659725777,-3772.253182209915,3.534615877560919e-32,-2.4359939194269566e-27,-2.435958573268181e-27,-6.840438677809349e-37,-2.7525053144529007e-10,2.7525053144529007e-10
2e-07,0.19999999999999998,1.1692453595058704e-07,1.1692453595058704e-07,0.11692453595058705,-0.0007545528688144576,-3771.2309314652803,6.282626594084467e-32,-2.4360214000659717e-27,-2.435958573800031e-27,-1.2158937182864457e-36,-4.892601306770487e-10,4.892601306770487e-10
2.5e-07,0.25,1.1688209426848199e-07,1.1688209426848199e-07,0.11688209426848199,-0.0009430815594138752,-3769.9166925114223,9.814324309743987e-32,-2.436056717726698e-27,-2.4359585744836005e-27,-1.8994633418255022e-36,-7.643198322855983e-10,7.643198322855983e-10
3e-07,0.3,1.1683022779464565e-07,1.1683022779464565e-07,0.11683022779464565,-0.0011315372399258697,-3768.3105279683587,1.412861536618285e-31,-2.4360998614723743e-27,-2.4359585753187124e-27,-2.734575165856705e-36,-1.1003581833441718e-09,1.1003581833441718e-09
3.5e-07,0.35,1.167689405444894e-07,1.167689405444894e-07,0.1167689405444894,-0.001319905315985645,-3766.412514422655,1.9224163660427686e-31,-2.4361508179417538e-27,-2.4359585763051494e-27,-3.7210121572739e-36,-1.497287852497831e-09,1.497287852497831e-09
4e-07,0.39999999999999997,1.1669823726304709e-07,1.1669823726304709e-07,0.1166982372630471,-0.0015081711974076607,-3764.2227424579683,2.509939099918533e-31,-2.436209571352646e-27,-2.435958577442654e-27,-4.858516746208956e-36,-1.9550051969154265e-09,1.9550051969154265e-09
4.5e-07,0.44999999999999996,1.1661812342474863e-07,1.1661812342474863e-07,0.11661812342474863,-0.0016963202988863866,-3761.741316691068,3.175247751751418e-31,-2.436276103506106e-27,-2.435958578730931e-27,-6.146793695891021e-36,-2.4733914170843732e-09,2.4733914170843732e-09
5e-07,0.5,1.1652860523315845e-07,1.1652860523315845e-07,0.11652860523315846,-0.0018843380406989964,-3758.968355813327,3.918136216184781e-31,-2.4363503937912617e-27,-2.4359585801696434e-27,-7.585506156590048e-36,-3.0523109689678343e-09,3.0523109689678343e-09
5.5e-07,0.55,1.1642968962067873e-07,1.1642968962067873e-07,0.11642968962067873,-0.0020722098494102706,-3755.903992637639,4.738374323734514e-31,-2.43643241919079e-27,-2.4359585817584164e-27,-9.17427925294086e-36,-3.6916130074981887e-09,3.6916130074981887e-09
6e-07,0.6,1.1632138424821742e-07,1.1632138424821742e-07,0.11632138424821742,-0.00225992115857998,-3752.548374150738,5.63570790195374e-31,-2.436522154287031e-27,-2.435958583496836e-27,-1.0912698649013526e-35,-4.3911308091796465e-09,4.3911308091796465e-09
6.499999999999999e-07,0.6499999999999999,1.1620369750482073e-07,1.1620369750482073e-07,0.11620369750482074,-0.00244745740947302,-3748.90166157085,6.609858843023849e-31,-2.4366195712687492e-27,-2.4359585853844467e-27,-1.2800309472116137e-35,-5.150681339040205e-09,5.150681339040205e-09
7e-07,0.7,1.1607663850727011e-07,1.1607663850727011e-07,0.11607663850727011,-0.0026348040517725577,-3744.964030410669,7.660525177768046e-31,-2.436724639938533e-27,-2.4359585874207564e-27,-1.4836619182654066e-35,-5.9700664054264276e-09,5.9700664054264276e-09
7.5e-07,0.75,1.1594021709964347e-07,1.1594021709964347e-07,0.11594021709964347,-0.0028219465442964635,-3740.73567054556,8.787381156083226e-31,-2.436837327720839e-27,-2.435958589605231e-27,-1.7021093628073487e-35,-6.849071072160624e-09,6.849071072160624e-09
8e-07,0.7999999999999999,1.1579444385284047e-07,1.1579444385284047e-07,0.11579444385284048,-0.003008870355717277,-3736.2167862869846,9.990077333785483e-31,-2.436957599670676e-27,-2.4359585919372975e-27,-1.935316027145304e-35,-7.787464957684973e-09,7.787464957684973e-09
8.499999999999999e-07,0.8499999999999999,1.1563933006407176e-07,1.1563933006407176e-07,0.11563933006407176,-0.0031955609652859775,-3731.4075964610383,1.126824066586406e-30,-2.437085418482932e-27,-2.4359585944163457e-27,-2.1832208550236238e-35,-8.785002379410874e-09,8.785002379410874e-09
9e-07,0.8999999999999999,1.1547488775631189e-07,1.1547488775631189e-07,0.11547488775631189,-0.003382003863559805,-3726.3083344920706,1.2621474606138116e-30,-2.4372207445023365e-27,-2.4359585970417228e-27,-2.445758557144258e-35,-9.841420621526777e-09,9.841420621526777e-09
9.5e-07,0.95,1.1530112967771579e-07,1.1530112967771579e-07,0.11530112967771579,-0.0035681845531343897,-3720.9192484913115,1.4049359213310062e-30,-2.4373635357340707e-27,-2.4359585998127398e-27,-2.7228602568850887e-35,-1.0956442533286434e-08,1.0956442533286434e-08
1e-06,1.0,1.1511806930099845e-07,1.1511806930099845e-07,0.11511806930099845,-0.003754088549380433,-3715.2406013504174,1.5551451263408711e-30,-2.437513747855006e-27,-2.4359586027286653e-27,-3.014452808708355e-35,-1.21297737863713e-08,1.21297737863713e-08
1.05e-06,1.0499999999999998,1.1492572082277774e-07,1.1492572082277774e-07,0.11492572082277774,-0.0039397013811851905,-3709.2726708398754,1.7127284368614897e-30,-2.4376713342255925e-27,-2.435958605788731e-27,-3.3204593721325064e-35,-1.3361105184480095e-08,1.3361105184480095e-08
1.1e-06,1.1,1.1472409916287994e-07,1.1472409916287994e-07,0.11472409916287994,-0.004125008591698992,-3703.015749712181,1.8776369102461605e-30,-2.4378362459023744e-27,-2.4359586089921284e-27,-3.6407991247462756e-35,-1.4650111508534012e-08,1.4650111508534012e-08
1.15e-06,1.15,1.1451321996360784e-07,1.1451321996360784e-07,0.11451321996360785,-0.004309995739087039,-3696.470145809692,2.049819313139989e-30,-2.4380084316511497e-27,-2.4359586123380098e-27,-3.975387262208679e-35,-1.5996451516676735e-08,1.5996451516676735e-08
1.2e-06,1.2,1.1429309958897124e-07,1.1429309958897124e-07,0.11429309958897124,-0.004494648397286708,-3689.6361821770925,2.229222135272146e-30,-2.4381878379607606e-27,-2.4359586158254883e-27,-4.3241351058687395e-35,-1.7399768377322466e-08,1.7399768377322466e-08
1.2499999999999999e-06,1.25,1.1406375512387918e-07,1.1406375512387918e-07,0.11406375512387919,-0.004678952156770594,-3682.5141971783414,2.4157896038827593e-30,-2.438374409057521e-27,-2.4359586194536382e-27,-4.686950102765485e-35,-1.8859689669155934e-08,1.8859689669155934e-08
1.2999999999999998e-06,1.2999999999999998,1.1382520437329418e-07,1.1382520437329418e-07,0.11382520437329419,-0.004862892625315504,-3675.1045446180424,2.6094636987833937e-30,-2.4385680869202774e-27,-2.435958623221494e-27,-5.063735682134987e-35,-2.0375826803735003e-08,2.0375826803735003e-08
1.35e-06,1.35,1.1357746586134764e-07,1.1357746586134764e-07,0.11357746586134763,-0.005046455428777632,-3667.407593867102,2.8101841680499293e-30,-2.438768811296102e-27,-2.4359586271280523e-27,-5.454391506523045e-35,-2.1947776035936098e-08,2.1947776035936098e-08
1.4e-06,1.4,1.1332055883041642e-07,1.1332055883041642e-07,0.11332055883041642,-0.005229626211874124,-3659.423729992593,3.017888544346617e-30,-2.438976519716616e-27,-2.4359586311722694e-27,-5.8588132206725e-35,-2.357511745350878e-08,2.357511745350878e-08
1.4499999999999999e-06,1.45,1.1305450324016022e-07,1.1305450324016022e-07,0.11305450324016021,-0.005412390638971231,-3651.1533538916983,3.232512161879969e-30,-2.439191147514944e-27,-2.435958635353064e-27,-6.276892666762684e-35,-2.5257415843171836e-08,2.5257415843171836e-08
1.5e-06,1.5,1.1277931976651929e-07,1.1277931976651929e-07,0.1127793197665193,-0.005594734394879264,-3642.596882429634,3.453988173981067e-30,-2.4394126278432963e-27,-2.4359586396693153e-27,-6.70851781266293e-35,-2.6994220401914567e-08,2.6994220401914567e-08
1.55e-06,1.55,1.1249502980067228e-07,1.1249502980067228e-07,0.11249502980067227,-0.005776643185654541,-3633.754748581417,3.682247571314766e-30,-2.4396408916911777e-27,-2.435958644119863e-27,-7.153572572566377e-35,-2.8785064015250064e-08,2.8785064015250064e-08
1.6e-06,1.5999999999999999,1.1220165544795383e-07,1.1220165544795383e-07,0.11220165544795382,-0.005958102739408511,-3624.627401577382,3.9172192007141844e-30,-2.4398758679042234e-27,-2.4359586487035092e-27,-7.611937201595613e-35,-3.062946484505802e-08,3.062946484505802e-08
1.6499999999999999e-06,1.65,1.1189921952673144e-07,1.1189921952673144e-07,0.11189921952673143,-0.006139098807124253,-3615.2153070522872,4.158829784638744e-30,-2.4401174832036564e-27,-2.4359586534190176e-27,-8.08348804468999e-35,-3.2526925319139327e-08,3.2526925319139327e-08
1.6999999999999998e-06,1.6999999999999997,1.115877455672414e-07,1.115877455672414e-07,0.11158774556724141,-0.006319617163480508,-3605.51894719792,4.407003941253944e-30,-2.440365662206366e-27,-2.4359586582651122e-27,-8.568097500732386e-35,-3.447693198686667e-08,3.447693198686667e-08
1.75e-06,1.75,1.1126725781038339e-07,1.1126725781038339e-07,0.11126725781038338,-0.0064996436076834325,-3595.5388209190373,4.6616642051309004e-30,-2.4406203274456105e-27,-2.4359586632404796e-27,-9.065634237788647e-35,-3.647895638528067e-08,3.647895638528067e-08
1.8e-06,1.7999999999999998,1.1093778120647307e-07,1.1093778120647307e-07,0.11093778120647306,-0.006679163964306222,-3585.27544399252,4.9227310485636136e-30,-2.4408813993923313e-27,-2.4359586683437677e-27,-9.575963049614624e-35,-3.853245446169247e-08,3.853245446169247e-08
