x_m,x_um,slm_potential_J,slm_potential_uK,slm_force_N,aod_potential_J,aod_potential_uK,aod_force_N
-4.680000000000e-06,-4.680000000000e+00,-3.147258150214e-41,-2.279549798837e-12,4.303942769524e-34,-4.895734900334e-41,-3.545966353746e-12,6.695022085926e-34
-4.677660000000e-06,-4.677660000000e+00,-3.249573137122e-41,-2.353656242189e-12,4.441638769987e-34,-5.054891546634e-41,-3.661243043405e-12,6.909215864424e-34
-4.675320000000e-06,-4.675320000000e+00,-3.355160624026e-41,-2.430132947640e-12,4.583665590977e-34,-5.219138748485e-41,-3.780206807440e-12,7.130146474853e-34
-4.672980000000e-06,-4.672980000000e+00,-3.464123509706e-41,-2.509054444472e-12,4.730157024877e-34,-5.388636570653e-41,-3.902973580289e-12,7.358022038697e-34
-4.670640000000e-06,-4.670640000000e+00,-3.576567870901e-41,-2.590497563755e-12,4.881250919876e-34,-5.563550021402e-41,-4.029662876953e-12,7.593056986474e-34
-4.668300000000e-06,-4.668300000000e+00,-3.692603058626e-41,-2.674541508106e-12,5.037089300484e-34,-5.744049202306e-41,-4.160397901499e-12,7.835472245197e-34
-4.665960000000e-06,-4.665960000000e+00,-3.812341797334e-41,-2.761267923516e-12,5.197818491545e-34,-5.930309462520e-41,-4.295305658802e-12,8.085495431292e-34
-4.663620000000e-06,-4.663620000000e+00,-3.935900287038e-41,-2.850760973309e-12,5.363589245857e-34,-6.122511557614e-41,-4.434517069592e-12,8.343361049112e-34
-4.661280000000e-06,-4.661280000000e+00,-4.063398308447e-41,-2.943107414301e-12,5.534556875506e-34,-6.320841813140e-41,-4.578167088913e-12,8.609310695231e-34
-4.658940000000e-06,-4.658940000000e+00,-4.194959331233e-41,-3.038396675211e-12,5.710881386999e-34,-6.525492293030e-41,-4.726394828106e-12,8.883593268665e-34
-4.656600000000e-06,-4.656600000000e+00,-4.330710625495e-41,-3.136720937396e-12,5.892727620332e-34,-6.736660972993e-41,-4.879343680394e-12,9.166465187184e-34
-4.654260000000e-06,-4.654260000000e+00,-4.470783376532e-41,-3.238175217983e-12,6.080265392084e-34,-6.954551919051e-41,-5.037161450195e-12,9.458190609909e-34
-4.651920000000e-06,-4.651920000000e+00,-4.615312803008e-41,-3.342857455449e-12,6.273669642653e-34,-7.179375471346e-41,-5.200000486254e-12,9.759041666350e-34
-4.649580000000e-06,-4.649580000000e+00,-4.764438278614e-41,-3.450868597749e-12,6.473120587765e-34,-7.411348433400e-41,-5.368017818721e-12,1.006929869208e-33
-4.647240000000e-06,-4.647240000000e+00,-4.918303457326e-41,-3.562312693035e-12,6.678803874358e-34,-7.650694266951e-41,-5.541375300276e-12,1.038925047122e-33
-4.644900000000e-06,-4.644900000000e+00,-5.077056402362e-41,-3.677296983058e-12,6.890910740983e-34,-7.897643292563e-41,-5.720239751423e-12,1.071919448597e-33
-4.642560000000e-06,-4.642560000000e+00,-5.240849718950e-41,-3.795931999335e-12,7.109638182835e-34,-8.152432896144e-41,-5.904783110077e-12,1.105943717330e-33
-4.640220000000e-06,-4.640220000000e+00,-5.409840691008e-41,-3.918331662144e-12,7.335189121551e-34,-8.415307741568e-41,-6.095182585558e-12,1.141029418908e-33
-4.637880000000e-06,-4.637880000000e+00,-5.584191421859e-41,-4.044613382445e-12,7.567772579914e-34,-8.686519989558e-41,-6.291620817136e-12,1.177209067987e-33
-4.635540000000e-06,-4.635540000000e+00,-5.764068979089e-41,-4.174898166796e-12,7.807603861590e-34,-8.966329523027e-41,-6.494286037238e-12,1.214516156247e-33
-4.633200000000e-06,-4.633200000000e+00,-5.949645543674e-41,-4.309310725372e-12,8.054904736052e-34,-9.255004179049e-41,-6.703372239468e-12,1.252985181164e-33
-4.630860000000e-06,-4.630860000000e+00,-6.141098563498e-41,-4.447979583151e-12,8.309903628828e-34,-9.552819987663e-41,-6.919079351568e-12,1.292651675596e-33
-4.628520000000e-06,-4.628520000000e+00,-6.338610911376e-41,-4.591037194374e-12,8.572835817232e-34,-9.860061417696e-41,-7.141613413471e-12,1.333552238236e-33
-4.626180000000e-06,-4.626180000000e+00,-6.542371047740e-41,-4.738620060377e-12,8.843943631714e-34,-1.017702162982e-40,-7.371186760587e-12,1.375724564933e-33
-4.623840000000e-06,-4.623840000000e+00,-6.752573188088e-41,-4.890868850873e-12,9.123476663017e-34,-1.050400273703e-40,-7.608018212468e-12,1.419207480914e-33
-4.621500000000e-06,-4.621500000000e+00,-6.969417475361e-41,-5.047928528801e-12,9.411691975273e-34,-1.084131607278e-40,-7.852333267024e-12,1.464040973931e-33
-4.619160000000e-06,-4.619160000000e+00,-7.193110157367e-41,-5.209948478843e-12,9.708854325225e-34,-1.118928246701e-40,-8.104364300423e-12,1.510266228368e-33
-4.616820000000e-06,-4.616820000000e+00,-7.423863769420e-41,-5.377082639701e-12,1.001523638774e-33,-1.154823253021e-40,-8.364350772868e-12,1.557925660315e-33
-4.614480000000e-06,-4.614480000000e+00,-7.661897322325e-41,-5.549489640252e-12,1.033111898778e-33,-1.191850694584e-40,-8.632539440392e-12,1.607062953654e-33
-4.612140000000e-06,-4.612140000000e+00,-7.907436495863e-41,-5.727332939700e-12,1.065679133904e-33,-1.230045677134e-40,-8.909184572866e-12,1.657723097184e-33
-4.609800000000e-06,-4.609800000000e+00,-8.160713837954e-41,-5.910780971814e-12,1.099255128942e-33,-1.269444374793e-40,-9.194548178378e-12,1.709952422798e-33
