time_s,time_us,position_m,displacement_from_center_m,position_um,velocity_m_per_s,acceleration_m_per_s2,kinetic_energy_J,potential_energy_J,total_energy_J,energy_error_J,energy_error_over_depth,abs_energy_error_over_depth
0.0,0.0,1.1699999999999999e-07,1.1699999999999999e-07,0.11699999999999999,0.0,-5869.994025777966,0.0,-3.789268890686435e-27,-3.789268890686435e-27,0.0,0.0,0.0
5e-08,0.049999999999999996,1.1699266250746776e-07,1.1699266250746776e-07,0.11699266250746776,-0.00029349086617015056,-5869.640621028056,9.504977190139717e-33,-3.789278395949759e-27,-3.789268890972569e-27,-2.861342947598199e-37,-7.401650930618756e-11,7.401650930618756e-11
1e-07,0.09999999999999999,1.1697065091338297e-07,1.1697065091338297e-07,0.11697065091338296,-0.0005869463925192015,-5868.580432933982,3.8015330845257923e-32,-3.7893069071617004e-27,-3.789268891830855e-27,-1.144420232274641e-36,-2.960357857258851e-10,2.960357857258851e-10
1.5e-07,0.15,1.1693396786821584e-07,1.1693396786821584e-07,0.11693396786821585,-0.000880331241842027,-5866.81353997904,8.551732910582607e-32,-3.789354410590053e-27,-3.789268893260947e-27,-2.5745119945042432e-36,-6.659683739066202e-10,6.659683739066202e-10
2e-07,0.19999999999999998,1.1688261778919877e-07,1.1688261778919877e-07,0.11688261778919877,-0.0011736100821670803,-5864.340073023089,1.5198809182706212e-31,-3.7894208833540924e-27,-3.7892688952622656e-27,-4.575830587343943e-36,-1.1836645010902077e-09,1.1836645010902077e-09
2.5e-07,0.25,1.1681660685999914e-07,1.1681660685999914e-07,0.11681660685999913,-0.0014667475893772584,-5861.160215384031,2.373956000100568e-31,-3.789506293434011e-27,-3.789268897834001e-27,-7.147565993019035e-36,-1.8489146338888024e-09,1.8489146338888024e-09
3e-07,0.3,1.1673594303026105e-07,1.1673594303026105e-07,0.11673594303026104,-0.001759708449835653,-5857.27420295175,3.416987090043012e-31,-3.789610599684116e-27,-3.7892689009751115e-27,-1.0288676452619975e-35,-2.6614492926928816e-09,2.6614492926928816e-09
3.5e-07,0.35,1.1664063601501557e-07,1.1664063601501557e-07,0.11664063601501558,-0.002052457363017805,-5852.682324334338,4.648471654805568e-31,-3.789733751849807e-27,-3.789268904684326e-27,-1.3997891335961642e-35,-3.6209397940393155e-09,3.6209397940393155e-09
4e-07,0.39999999999999997,1.1653069729395928e-07,1.1653069729395928e-07,0.11653069729395928,-0.002344959044152075,-5847.384921036458,6.067816281726875e-31,-3.789875690588315e-27,-3.7892689089601426e-27,-1.8273707554259261e-35,-4.726997322651279e-09,4.726997322651279e-09
4.5e-07,0.44999999999999996,1.1640614011060037e-07,1.1640614011060037e-07,0.11640614011060037,-0.002637178226869726,-5841.382387669592,7.674336923867448e-31,-3.790036347493209e-27,-3.7892689138008224e-27,-2.311438740773397e-35,-5.9791723746621985e-09,5.9791723746621985e-09
5e-07,0.5,1.1626697947127229e-07,1.1626697947127229e-07,0.11626697947127229,-0.0029290796658663146,-5834.675172193939,9.467259182752534e-31,-3.790215645122679e-27,-3.7892689192044036e-27,-2.85179686301202e-35,-7.376957355904e-09,7.376957355904e-09
5.5e-07,0.55,1.1611323214401373e-07,1.1611323214401373e-07,0.11611323214401373,-0.0032206281395759533,-5827.263776191617,1.1445718628742746e-30,-3.790413497031561e-27,-3.789268925168687e-27,-3.448225219176386e-35,-8.919783426842807e-09,8.919783426842807e-09
6e-07,0.6,1.1594491665731469e-07,1.1594491665731469e-07,0.11594491665731468,-0.003511788452860015,-5819.148755170854,1.3608761159004577e-30,-3.790629807807146e-27,-3.789268931691246e-27,-4.100481090920009e-35,-1.0607022729683156e-08,1.0607022729683156e-08
6.499999999999999e-07,0.6499999999999999,1.1576205329872772e-07,1.1576205329872772e-07,0.11576205329872773,-0.003802525439711806,-5810.330718900784,1.5955343393048663e-30,-3.790864473108726e-27,-3.7892689387694216e-27,-4.8082986575293996e-35,-1.243798764599992e-08,1.243798764599992e-08
