slm_depth_uK,shots,captured,capture_fraction,wilson_lo,wilson_hi,mean_capture_margin,median_capture_margin,mean_excitation_change_uK,median_excitation_change_uK,mean_final_excitation_uK,__label__,aod_depth_uK
50,117,117,1.0,0.9682107543372667,1.0,0.9457513472239434,0.9672687544598674,-1.8810202971174375,-1.1250930765161744,2.7124326388028224,"slm=50,aod=140",140
80,117,117,1.0,0.9682107543372667,1.0,0.9573074638078608,0.9657093025641683,-1.1431182711278738,-0.9093449695361835,3.4154028953711513,"slm=80,aod=140",140
110,117,117,1.0,0.9682107543372667,1.0,0.9331653416192105,0.9554091335823975,0.6845930864675155,0.585639178174223,7.351812421886852,"slm=110,aod=140",140
140,117,117,1.0,0.9682107543372667,1.0,0.8615519284172896,0.8770238378516348,13.805570954382189,14.424808648621081,19.38273002157948,"slm=140,aod=140",140
180,117,117,1.0,0.9682107543372667,1.0,0.6887600111287352,0.6935494515546704,51.68299571208943,52.61521876971961,56.02319799682765,"slm=180,aod=140",140
230,117,117,1.0,0.9682107543372667,1.0,0.5159139599695626,0.5275787429497426,106.50737982067731,106.85199430184406,111.33978920700059,"slm=230,aod=140",140
50,117,117,1.0,0.9682107543372667,1.0,0.9495778289689427,0.9693793834742624,-2.7169171500044347,-1.6159012550231193,2.5211085515528624,"slm=50,aod=210",210
80,117,117,1.0,0.9682107543372667,1.0,0.9666203448576265,0.9780466236091422,-1.649616293321597,-1.0586686745303044,2.670372411389882,"slm=80,aod=210",210
110,117,117,1.0,0.9682107543372667,1.0,0.9655947614212216,0.9752168996735817,-1.4649072415085949,-1.0624911693863448,3.7845762436656503,"slm=110,aod=210",210
140,117,117,1.0,0.9682107543372667,1.0,0.9712585035688692,0.9811113016087998,-0.9289559515702448,-0.5362288426244363,4.023809500358307,"slm=140,aod=210",210
180,117,117,1.0,0.9682107543372667,1.0,0.9562302468583143,0.9691588174331547,2.6296862779747756,2.4150474951983782,7.878555565503439,"slm=180,aod=210",210
230,117,117,1.0,0.9682107543372667,1.0,0.8330632765989283,0.8431529852229204,32.703604749845006,32.45899360812627,38.39544638224649,"slm=230,aod=210",210
50,117,117,1.0,0.9682107543372667,1.0,0.9604239259317905,0.9745028603695609,-2.755943095946772,-1.7659249169528366,1.9788037034104793,"slm=50,aod=280",280
80,117,117,1.0,0.9682107543372667,1.0,0.9660529244660035,0.9773022798976871,-2.3985698454524873,-1.5556856726885624,2.7157660427197183,"slm=80,aod=280",280
110,117,117,1.0,0.9682107543372667,1.0,0.9751505974819044,0.9846960846045083,-1.664406493474538,-1.0381186745419448,2.7334342769905478,"slm=110,aod=280",280
140,117,117,1.0,0.9682107543372667,1.0,0.9746559060677115,0.9819125514222916,-1.4836065673603365,-1.1042466001851914,3.5481731505203955,"slm=140,aod=280",280
180,117,117,1.0,0.9682107543372667,1.0,0.9768253569928914,0.984287507014271,-0.9939567973636194,-0.623328562511909,4.171435741279535,"slm=180,aod=280",280
230,117,117,1.0,0.9682107543372667,1.0,0.9776744430034161,0.9854788899753537,0.11756734877190889,0.1297050812355697,5.1348781092143,"slm=230,aod=280",280
50,117,117,1.0,0.9682107543372667,1.0,0.9600763832535765,0.9681991874070303,-3.580905548398821,-2.8618121208553746,1.9961808373211745,"slm=50,aod=380",380
80,117,117,1.0,0.9682107543372667,1.0,0.9734465770322833,0.9843680880281207,-2.532377529165385,-1.4352937424951135,2.1242738374173293,"slm=80,aod=380",380
