transfer_duration_us,shots,captured,capture_fraction,wilson_lo,wilson_hi,mean_capture_margin,median_capture_margin,mean_excitation_change_uK,median_excitation_change_uK,mean_final_excitation_uK,__label__,ideal_captured,ideal_excitation_change_uK
100,198,198,1.0,0.9809679396733518,1.0,0.9468850285220827,0.9642218437854413,2.0302605592053538,2.736912567059065,7.436096006908417,T=100us,True,2.827676015379378
200,198,198,1.0,0.9809679396733518,1.0,0.9740545878379505,0.982563779202755,-0.9235717443039337,-0.2665277794567727,3.6323577026869316,T=200us,True,0.456906624218862
300,198,198,1.0,0.9809679396733518,1.0,0.9687295798993336,0.9757490397331836,-1.765878436501717,-1.1063837336738804,4.37785881409331,T=300us,True,0.05237889692431219
400,198,198,1.0,0.9809679396733518,1.0,0.973216095457802,0.9793964917565561,-1.5989843244999218,-1.126927708388461,3.7497466359077167,T=400us,True,0.0049452718521188835
500,198,198,1.0,0.9809679396733518,1.0,0.9765914407864781,0.9826967665442499,-1.3365986340299252,-0.9816593471686843,3.277198289893055,T=500us,True,0.00038443525636990846
600,198,198,1.0,0.9809679396733518,1.0,0.9740982530017246,0.9841972067573106,-1.522534777177393,-0.9543501922639572,3.6262445797585827,T=600us,True,4.782760961702604e-05
800,198,198,1.0,0.9809679396733518,1.0,0.9736402897423504,0.9831261360843363,-1.538166356409713,-0.9803924780085123,3.6903594360709424,T=800us,True,0.00018488014854510634
1000,198,198,1.0,0.9809679396733518,1.0,0.9767138800626014,0.9847936784246554,-1.3588513655155234,-0.8860353506742209,3.26005679123578,T=1000us,True,0.0002500312410708135
1400,198,198,1.0,0.9809679396733518,1.0,0.9737826828088362,0.9810701390710259,-1.5328911964483807,-1.0979689312101621,3.670424406762926,T=1400us,True,7.72222014296506e-05
2000,198,198,1.0,0.9809679396733518,1.0,0.9753973422717236,0.9817459026142809,-1.439059182043506,-1.0714650559232168,3.444372081958703,T=2000us,True,5.0982656314298806e-06
