initial_excitation_uK,shots,captured,capture_fraction,wilson_lo,wilson_hi,mean_capture_margin,median_capture_margin,mean_excitation_change_uK,median_excitation_change_uK,mean_final_excitation_uK,__label__
2,198,198,1.0,0.9809679396733518,1.0,0.9899247372428016,0.9899868836836222,-0.5894632139922185,-0.5981637157071065,1.4105367860077818,E=2uK
5,198,198,1.0,0.9809679396733518,1.0,0.9747652593547764,0.9748718202378883,-1.4671363096687156,-1.4820548333043568,3.532863690331285,E=5uK
10,198,198,1.0,0.9809679396733518,1.0,0.9494323968184506,0.9497011756228722,-2.9205355545830893,-2.9581645872021003,7.079464445416911,E=10uK
20,198,198,1.0,0.9809679396733518,1.0,0.8999125492168654,0.900615731253309,-5.987756890361141,-6.086202375463265,14.012243109638858,E=20uK
35,198,198,1.0,0.9809679396733518,1.0,0.8251826808268371,0.8252481612671677,-10.5255753157572,-10.534742577403485,24.474424684242802,E=35uK
50,198,198,1.0,0.9809679396733518,1.0,0.7514247769529124,0.7505229669380336,-15.199468773407734,-15.0732153713247,34.80053122659226,E=50uK
70,198,198,1.0,0.9809679396733518,1.0,0.6532819847719417,0.6533335358626956,-21.459477868071833,-21.466695020777394,48.540522131928164,E=70uK
90,198,198,1.0,0.9809679396733518,1.0,0.5581272851975895,0.5570342666184126,-28.137819927662523,-27.984797326577766,61.86218007233749,E=90uK
110,198,198,1.0,0.9809679396733518,1.0,0.4666073067914268,0.4649833225877397,-35.32502295079978,-35.097665162283576,74.67497704920022,E=110uK
130,198,198,1.0,0.9809679396733518,1.0,0.3717771615072394,0.3610731219018638,-42.048802611013535,-40.55023706626096,87.95119738898644,E=130uK
150,198,198,1.0,0.9809679396733518,1.0,0.2799555752251123,0.2837336807852685,-49.193780531515735,-49.7227153099376,100.80621946848424,E=150uK
180,198,198,1.0,0.9809679396733518,1.0,0.08583012588705953,0.05645785563138643,-52.01621762418835,-47.90409978839412,127.98378237581166,E=180uK
220,198,3,0.015151515151515152,0.005166028935205846,0.04359233259366512,0.0004763199621375578,0.0005731235486085357,-75.12324768635149,-75.46521225929155,144.87675231364852,E=220uK
