shots,captured,capture_fraction,wilson_lo,wilson_hi,mean_capture_margin,median_capture_margin,mean_excitation_change_uK,median_excitation_change_uK,mean_final_excitation_uK,__label__,seed,wilson_halfwidth
50,50,1.0,0.9286524008666414,1.0,0.974846664672041,0.9769261567910243,-1.469128105635159,-1.2675518613539511,3.5214669459142374,"N=50,seed=11",11,0.03567379956667932
50,50,1.0,0.9286524008666414,1.0,0.9745102341842987,0.9857104447003833,-1.444469624215441,-0.8629899153115588,3.568567214198177,"N=50,seed=22",22,0.03567379956667932
50,50,1.0,0.9286524008666414,1.0,0.9779062346767339,0.9837877629442319,-1.261560937931462,-0.9184714363338957,3.0931271452572577,"N=50,seed=33",33,0.03567379956667932
50,50,1.0,0.9286524008666414,1.0,0.9780675548653944,0.9827780473868815,-1.2908590164385445,-0.928547268579558,3.0705423188447645,"N=50,seed=44",44,0.03567379956667932
100,100,1.0,0.9630065017930143,1.0,0.9734510871552733,0.9776390867512585,-1.5649246422479195,-1.27450481854454,3.7168477982617194,"N=100,seed=11",11,0.01849674910349286
100,100,1.0,0.9630065017930143,1.0,0.9739102626610616,0.980622307518862,-1.4984772540697344,-1.0615159683902577,3.6525632274513544,"N=100,seed=22",22,0.01849674910349286
100,100,1.0,0.9630065017930143,1.0,0.97326530151472,0.9808827207663021,-1.5355815686119347,-1.111043408807678,3.742857787939206,"N=100,seed=33",33,0.01849674910349286
100,100,1.0,0.9630065017930143,1.0,0.9745045990977502,0.9812714768940591,-1.489259793408084,-1.139237135361759,3.5693561263149722,"N=100,seed=44",44,0.01849674910349286
200,200,1.0,0.9811546736227335,1.0,0.9759297061634098,0.9801031694422089,-1.42035183341574,-1.1127478758779425,3.3698411371226284,"N=200,seed=11",11,0.009422663188633273
200,200,1.0,0.9811546736227335,1.0,0.9753892417339622,0.9833630935638102,-1.424319482507882,-0.9920839853666843,3.4455061572452816,"N=200,seed=22",22,0.009422663188633273
200,200,1.0,0.9811546736227335,1.0,0.9756333794543057,0.9835315986843424,-1.4068703587986529,-0.9238178927027594,3.4113268763971916,"N=200,seed=33",33,0.009422663188633273
200,200,1.0,0.9811546736227335,1.0,0.9732176619414844,0.9801471913843558,-1.5681031631138602,-1.1612476123499254,3.749527328192191,"N=200,seed=44",44,0.009422663188633273
400,400,1.0,0.9904877056657034,0.9999999999999999,0.9761080598949003,0.9814361537355756,-1.4039162707135884,-1.0716241328881113,3.34487161471395,"N=400,seed=11",11,0.004756147167148228
400,400,1.0,0.9904877056657034,0.9999999999999999,0.9750417945729021,0.9818677730080763,-1.464640746778526,-1.0317568871479554,3.4941487597937106,"N=400,seed=22",22,0.004756147167148228
400,400,1.0,0.9904877056657034,0.9999999999999999,0.9757648587258254,0.9823544201260308,-1.4094593276061567,-1.0301403893413092,3.392919778384432,"N=400,seed=33",33,0.004756147167148228
400,400,1.0,0.9904877056657034,0.9999999999999999,0.9749134749570338,0.9827595790378287,-1.4702444854770789,-0.9766059962230544,3.5121135060152606,"N=400,seed=44",44,0.004756147167148228
800,800,1.0,0.995221123794324,1.0,0.9747688557144565,0.9813458522232741,-1.4787592504158216,-1.095781156423202,3.532360199976077,"N=800,seed=11",11,0.002389438102837982
800,800,1.0,0.995221123794324,1.0,0.9746616489419678,0.9822605816873542,-1.4738495755699272,-1.0091666340626346,3.5473691481245146,"N=800,seed=22",22,0.002389438102837982
800,800,1.0,0.995221123794324,1.0,0.9759682043880599,0.9832230930953048,-1.4079446856732443,-0.9869926790757815,3.3644513856715923,"N=800,seed=33",33,0.002389438102837982
800,800,1.0,0.995221123794324,1.0,0.9754428010702634,0.9826269603225072,-1.4492517139593029,-1.0347852619122802,3.438007850163128,"N=800,seed=44",44,0.002389438102837982
