value,shots,captured,capture_fraction,wilson_lo,wilson_hi,mean_excitation_change_uK,mean_capture_margin
50,200,5,0.025,0.010724719651761264,0.05717834040664198,258.4008363009878,0.04378204357443195
75,200,200,1.0,0.9811546736227335,1.0,43.27527584957331,0.6562077538140098
100,200,200,1.0,0.9811546736227335,1.0,2.293480929158471,0.9441274423511327
150,200,200,1.0,0.9811546736227335,1.0,8.338862341112396,0.9053302854935416
200,200,200,1.0,0.9811546736227335,1.0,-1.1033666980290875,0.9683917826916232
300,200,200,1.0,0.9811546736227335,1.0,-1.4963690927863922,0.9720300707814923
450,200,200,1.0,0.9811546736227335,1.0,-1.476492697811868,0.9743142344581528
600,200,200,1.0,0.9811546736227335,1.0,-1.3464008698836227,0.9771825688738061
900,200,200,1.0,0.9811546736227335,1.0,-1.3949476406024712,0.9761173992532483
1400,200,200,1.0,0.9811546736227335,1.0,-1.4803747285538305,0.9747765983950604
2000,200,200,1.0,0.9811546736227335,1.0,-1.4033719266504594,0.976048330399694
