temperature_uK,shots,captured,capture_fraction,wilson_lo,wilson_hi,mean_capture_margin,median_capture_margin,mean_excitation_change_uK,median_excitation_change_uK
5,999,999,1.0,0.9961694255987266,0.9999999999999998,0.9757127672528769,0.9837070694445065,-1.4164924510326369,-0.9393351138610854
10,999,999,1.0,0.9961694255987266,0.9999999999999998,0.9539840780406281,0.9670770964350602,-2.7191219364556343,-1.93374710297125
20,999,999,1.0,0.9961694255987266,0.9999999999999998,0.9015465614259166,0.9346520434764646,-5.954000384978254,-3.8516530686196284
30,999,996,0.996996996996997,0.991208232247139,0.998978193798442,0.859140805740352,0.894419856778815,-8.801649181318636,-6.2687814266070365
40,999,995,0.995995995995996,0.989750240217885,0.9984418526433143,0.8114338671500748,0.8521309914228916,-11.929706957600786,-8.932237207046505
50,999,985,0.985985985985986,0.9766147199390599,0.991634041078321,0.7789883530574137,0.8410687567858371,-14.743789004993605,-9.7448674443964
60,999,977,0.977977977977978,0.9668814345875468,0.9854126609547796,0.7405597619312653,0.7951651907144252,-17.51642413106248,-12.849133954851546
70,999,965,0.965965965965966,0.9528180026068591,0.9755440947228851,0.7303862656189641,0.7849228692958683,-19.179679509634557,-13.654597099245773
80,999,946,0.9469469469469469,0.9312572873218439,0.9592124795046455,0.7079105558439028,0.7652049993799954,-21.739563466797968,-15.562581660531926
95,999,941,0.9419419419419419,0.9256768258630124,0.9548212750415679,0.6736625386162753,0.7192040622214316,-24.12401671777485,-18.55817145818204
110,999,922,0.9229229229229229,0.904716232922515,0.9378895374788102,0.6566697931340402,0.7199345522229101,-26.234191023797898,-19.639340799676294
125,999,885,0.8858858858858859,0.864673848984128,0.9041415935950695,0.6361195049050379,0.688096767150982,-29.604693141144143,-23.062609482889382
140,999,874,0.8748748748748749,0.8529110894031791,0.8939666881478183,0.6295518545413239,0.6703287328842471,-31.06645406635252,-24.590261283808495
160,999,860,0.8608608608608609,0.8380138221841507,0.880943290785501,0.6082136767588614,0.6483814978028115,-32.679252985892276,-27.374322529590646
200,999,795,0.7957957957957958,0.7696873250852736,0.8196381308995588,0.5766581124211799,0.612435698895674,-38.62398152104725,-33.68948255126443
250,999,768,0.7687687687687688,0.7416241829234097,0.7938542770831131,0.5645493060373119,0.587611730738997,-41.18111315453774,-34.713439686154004
