slm_depth_uK,shots,captured,capture_fraction,wilson_lo,wilson_hi,mean_capture_margin,median_capture_margin,mean_excitation_change_uK,median_excitation_change_uK,mean_final_excitation_uK,__label__,ideal_excitation_change_uK
30,198,198,1.0,0.9809679396733518,1.0,0.9421680484153746,0.9663547308736007,-3.6708769001643007,-2.144806737077076,1.7349585475387608,slm=30uK,0.0010724229059772823
50,198,198,1.0,0.9809679396733518,1.0,0.9616039660493509,0.9714920560797278,-2.6361277494584128,-1.9540777261838387,1.919801697532452,slm=50uK,0.0007373251252257387
70,198,198,1.0,0.9809679396733518,1.0,0.9564813178120197,0.9671469590653851,-3.097429497436402,-2.2901290322367767,3.0463077531586245,slm=70uK,0.0004309281370072168
90,198,198,1.0,0.9809679396733518,1.0,0.9664123277273275,0.9743232836482576,-2.3258404558671177,-1.7682245958401719,3.0228905045405203,slm=90uK,0.00024385675539281991
110,198,198,1.0,0.9809679396733518,1.0,0.9737374453825494,0.9808767887450761,-1.7249159160034064,-1.2658316736924944,2.8888810079195744,slm=110uK,0.00014458645722701736
140,198,198,1.0,0.9809679396733518,1.0,0.9740982530017246,0.9841972067573106,-1.522534777177393,-0.9543501922639572,3.6262445797585827,slm=140uK,4.782760961702604e-05
170,198,198,1.0,0.9809679396733518,1.0,0.9758020608588446,0.9836333932682222,-1.1148761384842338,-0.5869723909254849,4.113649653996422,slm=170uK,0.008676728325132756
210,198,198,1.0,0.9809679396733518,1.0,0.9793760820212286,0.9867342912233557,-0.2878853812093091,0.046383032406694016,4.331022775541994,slm=210uK,0.2613897128831383
260,198,198,1.0,0.9809679396733518,1.0,0.955412864360204,0.9626423951225249,6.389339663135627,6.810656075772315,11.592655266346934,slm=260uK,5.63747687567498
320,198,198,1.0,0.9809679396733518,1.0,0.8128663209918854,0.8211468366388499,54.99934601859445,54.32434607450567,59.88277728259667,slm=320uK,51.77569774850208
