waveform,case,temperature_uK,Tref_uK,S60,rmse_vs_current_fit,max_abs_dev_vs_current_fit
manual_200us,archived_T15_prefix_init,15,15,0.0149,0.20114,0.23327
manual_200us,archived_percurve_scanT,5,5,0.0554,0.04456,0.06785
manual_200us,new_unified_T15,15,15,0.0161,0.19352,0.22570
manual_400us,archived_T15_prefix_init,15,15,0.4949,0.06987,0.09760
manual_400us,archived_percurve_scanT,15,15,0.4949,0.06987,0.09760
manual_400us,new_unified_T15,15,15,0.4954,0.06959,0.09448
manual_600us,archived_T15_prefix_init,15,15,0.8796,0.17671,0.30657
manual_600us,archived_percurve_scanT,25,25,0.6284,0.04881,0.07983
manual_600us,new_unified_T15,15,15,0.8882,0.18184,0.31512
ml_400us,archived_T15_prefix_init,15,15,0.9333,0.13821,0.25809
ml_400us,archived_percurve_scanT,25,25,0.7471,0.04613,0.07181
ml_400us,new_unified_T15,15,15,0.9424,0.14198,0.26713
