waveform,n,survivors,survival,wilson95_low,wilson95_high
manual_200us,0,4096,1.000000,0.999063,1.000000
manual_200us,1,4075,0.994873,0.992175,0.996644
manual_200us,2,3970,0.969238,0.963495,0.974102
manual_200us,3,3901,0.952393,0.945437,0.958500
manual_200us,4,3725,0.909424,0.900247,0.917834
manual_200us,5,3588,0.875977,0.865529,0.885720
manual_200us,6,3331,0.813232,0.801006,0.824872
manual_200us,7,3168,0.773438,0.760365,0.785997
manual_200us,8,2902,0.708496,0.694388,0.722213
manual_200us,9,2752,0.671875,0.657341,0.686087
manual_200us,10,2477,0.604736,0.589672,0.619604
manual_200us,11,2362,0.576660,0.561464,0.591713
manual_200us,12,2122,0.518066,0.502754,0.533345
manual_200us,13,2022,0.493652,0.478354,0.508962
manual_200us,14,1772,0.432617,0.417515,0.447846
manual_200us,15,1684,0.411133,0.396154,0.426278
manual_200us,16,1530,0.373535,0.358846,0.388462
manual_200us,17,1451,0.354248,0.339744,0.369026
manual_200us,18,1299,0.317139,0.303064,0.331556
manual_200us,19,1240,0.302734,0.288854,0.316984
manual_200us,20,1131,0.276123,0.262646,0.290020
manual_200us,21,1084,0.264648,0.251364,0.278374
manual_200us,22,977,0.238525,0.225723,0.251818
manual_200us,23,929,0.226807,0.214242,0.239884
manual_200us,24,823,0.200928,0.188939,0.213476
manual_200us,25,780,0.190430,0.178698,0.202742
manual_200us,26,702,0.171387,0.160155,0.183234
manual_200us,27,660,0.161133,0.150192,0.172709
manual_200us,28,591,0.144287,0.133859,0.155381
manual_200us,29,565,0.137939,0.127718,0.148840
manual_200us,30,506,0.123535,0.113809,0.133966
manual_200us,31,480,0.117188,0.107694,0.127398
manual_200us,32,426,0.104004,0.095023,0.113727
manual_200us,33,409,0.099854,0.091044,0.109413
manual_200us,34,365,0.089111,0.080767,0.098226
manual_200us,35,346,0.084473,0.076341,0.093383
manual_200us,36,312,0.076172,0.068439,0.084699
manual_200us,37,305,0.074463,0.066816,0.082907
manual_200us,38,274,0.066895,0.059642,0.074959
manual_200us,39,268,0.065430,0.058257,0.073417
manual_200us,40,243,0.059326,0.052496,0.066982
manual_200us,41,237,0.057861,0.051117,0.065434
manual_200us,42,221,0.053955,0.047445,0.061301
manual_200us,43,214,0.052246,0.045841,0.059490
manual_200us,44,195,0.047607,0.041500,0.054563
manual_200us,45,185,0.045166,0.039221,0.051963
manual_200us,46,171,0.041748,0.036040,0.048315
manual_200us,47,167,0.040771,0.035133,0.047271
manual_200us,48,148,0.036133,0.030838,0.042296
manual_200us,49,145,0.035400,0.030163,0.041509
manual_200us,50,135,0.032959,0.027914,0.038879
manual_200us,51,133,0.032471,0.027466,0.038352
manual_200us,52,120,0.029297,0.024557,0.034919
manual_200us,53,117,0.028564,0.023888,0.034124
manual_200us,54,102,0.024902,0.020557,0.030138
manual_200us,55,96,0.023438,0.019232,0.028536
manual_200us,56,89,0.021729,0.017691,0.026662
manual_200us,57,86,0.020996,0.017033,0.025856
manual_200us,58,79,0.019287,0.015504,0.023971
manual_200us,59,76,0.018555,0.014851,0.023161
manual_200us,60,66,0.016113,0.012686,0.020447
manual_400us,0,4096,1.000000,0.999063,1.000000
manual_400us,1,4092,0.999023,0.997492,0.999620
manual_400us,2,4084,0.997070,0.994886,0.998323
manual_400us,3,4080,0.996094,0.993664,0.997594
manual_400us,4,4064,0.992188,0.988992,0.994460
manual_400us,5,4053,0.989502,0.985890,0.992197
manual_400us,6,4029,0.983643,0.979280,0.987099
manual_400us,7,4008,0.978516,0.973606,0.982528
manual_400us,8,3992,0.974609,0.969329,0.979000
manual_400us,9,3973,0.969971,0.964288,0.974773
manual_400us,10,3949,0.964111,0.957966,0.969387
manual_400us,11,3929,0.959229,0.952729,0.964867
manual_400us,12,3883,0.947998,0.940769,0.954388
manual_400us,13,3859,0.942139,0.934566,0.948883
manual_400us,14,3810,0.930176,0.921961,0.937584
manual_400us,15,3791,0.925537,0.917093,0.933184
manual_400us,16,3735,0.911865,0.902793,0.920166
manual_400us,17,3702,0.903809,0.894397,0.912464
manual_400us,18,3653,0.891846,0.881965,0.900992
manual_400us,19,3621,0.884033,0.873866,0.893481
manual_400us,20,3567,0.870850,0.860231,0.880774
manual_400us,21,3530,0.861816,0.850909,0.872046
manual_400us,22,3477,0.848877,0.837582,0.859519
manual_400us,23,3443,0.840576,0.829047,0.851467
manual_400us,24,3376,0.824219,0.812260,0.835570
manual_400us,25,3340,0.815430,0.803255,0.827013
manual_400us,26,3283,0.801514,0.789019,0.813444
manual_400us,27,3232,0.789062,0.776301,0.801283
manual_400us,28,3185,0.777588,0.764595,0.790060
manual_400us,29,3150,0.769043,0.755888,0.781694
manual_400us,30,3109,0.759033,0.745697,0.771884
manual_400us,31,3070,0.749512,0.736013,0.762543
manual_400us,32,3024,0.738281,0.724601,0.751515
manual_400us,33,2997,0.731689,0.717908,0.745037
manual_400us,34,2946,0.719238,0.705276,0.732790
manual_400us,35,2919,0.712646,0.698594,0.726301
manual_400us,36,2867,0.699951,0.685735,0.713793
manual_400us,37,2830,0.690918,0.676593,0.704886
manual_400us,38,2790,0.681152,0.666716,0.695249
manual_400us,39,2765,0.675049,0.660547,0.689222
manual_400us,40,2717,0.663330,0.648711,0.677643
manual_400us,41,2691,0.656982,0.642303,0.671367
manual_400us,42,2650,0.646973,0.632205,0.661464
manual_400us,43,2621,0.639893,0.625067,0.654456
manual_400us,44,2576,0.628906,0.613997,0.643574
manual_400us,45,2542,0.620605,0.605639,0.635346
manual_400us,46,2493,0.608643,0.593601,0.623481
manual_400us,47,2469,0.602783,0.587708,0.617665
manual_400us,48,2419,0.590576,0.575439,0.605543
manual_400us,49,2403,0.586670,0.571515,0.601662
manual_400us,50,2357,0.575439,0.560239,0.590499
manual_400us,51,2336,0.570312,0.555094,0.585400
manual_400us,52,2293,0.559814,0.544563,0.574954
manual_400us,53,2279,0.556396,0.541136,0.571551
manual_400us,54,2227,0.543701,0.528414,0.558907
manual_400us,55,2201,0.537354,0.522056,0.552581
manual_400us,56,2160,0.527344,0.512036,0.542600
manual_400us,57,2134,0.520996,0.505685,0.536268
manual_400us,58,2094,0.511230,0.495919,0.526521
manual_400us,59,2068,0.504883,0.489574,0.520183
manual_400us,60,2029,0.495361,0.480061,0.510670
manual_600us,0,4096,1.000000,0.999063,1.000000
manual_600us,1,4094,0.999512,0.998221,0.999866
manual_600us,2,4087,0.997803,0.995829,0.998844
manual_600us,3,4085,0.997314,0.995197,0.998500
manual_600us,4,4075,0.994873,0.992175,0.996644
manual_600us,5,4072,0.994141,0.991296,0.996059
manual_600us,6,4062,0.991699,0.988423,0.994054
manual_600us,7,4056,0.990234,0.986730,0.992820
manual_600us,8,4048,0.988281,0.984498,0.991150
manual_600us,9,4043,0.987061,0.983115,0.990094
manual_600us,10,4036,0.985352,0.981191,0.988602
manual_600us,11,4033,0.984619,0.980371,0.987959
manual_600us,12,4023,0.982178,0.977651,0.985801
manual_600us,13,4017,0.980713,0.976029,0.984496
manual_600us,14,4011,0.979248,0.974412,0.983186
manual_600us,15,4002,0.977051,0.971998,0.981209
manual_600us,16,3994,0.975098,0.969862,0.979443
manual_600us,17,3982,0.972168,0.966671,0.976780
manual_600us,18,3974,0.970215,0.964552,0.974996
manual_600us,19,3971,0.969482,0.963759,0.974326
manual_600us,20,3963,0.967529,0.961648,0.972534
manual_600us,21,3957,0.966064,0.960068,0.971187
manual_600us,22,3949,0.964111,0.957966,0.969387
manual_600us,23,3944,0.962891,0.956654,0.968259
manual_600us,24,3935,0.960693,0.954298,0.966226
manual_600us,25,3932,0.959961,0.953513,0.965547
manual_600us,26,3923,0.957764,0.951163,0.963506
manual_600us,27,3921,0.957275,0.950642,0.963052
manual_600us,28,3914,0.955566,0.948818,0.961461
manual_600us,29,3906,0.953613,0.946736,0.959640
manual_600us,30,3898,0.951660,0.944658,0.957816
manual_600us,31,3890,0.949707,0.942583,0.955989
manual_600us,32,3878,0.946777,0.939475,0.953243
manual_600us,33,3871,0.945068,0.937664,0.951638
manual_600us,34,3861,0.942627,0.935082,0.949343
manual_600us,35,3849,0.939697,0.931987,0.946584
manual_600us,36,3843,0.938232,0.930442,0.945202
manual_600us,37,3839,0.937256,0.929412,0.944280
manual_600us,38,3828,0.934570,0.926583,0.941743
manual_600us,39,3824,0.933594,0.925555,0.940820
manual_600us,40,3815,0.931396,0.923244,0.938740
manual_600us,41,3805,0.928955,0.920679,0.936427
manual_600us,42,3798,0.927246,0.918885,0.934806
manual_600us,43,3786,0.924316,0.915813,0.932025
manual_600us,44,3776,0.921875,0.913255,0.929704
manual_600us,45,3766,0.919434,0.910700,0.927381
manual_600us,46,3757,0.917236,0.908402,0.925288
manual_600us,47,3749,0.915283,0.906362,0.923427
manual_600us,48,3739,0.912842,0.903812,0.921098
manual_600us,49,3731,0.910889,0.901774,0.919233
manual_600us,50,3725,0.909424,0.900247,0.917834
manual_600us,51,3719,0.907959,0.898720,0.916434
manual_600us,52,3708,0.905273,0.895922,0.913866
manual_600us,53,3699,0.903076,0.893635,0.911762
manual_600us,54,3693,0.901611,0.892110,0.910360
manual_600us,55,3683,0.899170,0.889572,0.908020
manual_600us,56,3671,0.896240,0.886527,0.905211
manual_600us,57,3662,0.894043,0.884245,0.903102
manual_600us,58,3654,0.892090,0.882218,0.901227
manual_600us,59,3647,0.890381,0.880445,0.899585
manual_600us,60,3638,0.888184,0.878167,0.897473
ml_400us,0,4096,1.000000,0.999063,1.000000
ml_400us,1,4094,0.999512,0.998221,0.999866
ml_400us,2,4084,0.997070,0.994886,0.998323
ml_400us,3,4082,0.996582,0.994271,0.997963
ml_400us,4,4079,0.995850,0.993363,0.997407
ml_400us,5,4078,0.995605,0.993064,0.997218
ml_400us,6,4070,0.993652,0.990715,0.995664
ml_400us,7,4068,0.993164,0.990138,0.995266
ml_400us,8,4062,0.991699,0.988423,0.994054
ml_400us,9,4059,0.990967,0.987574,0.993439
ml_400us,10,4056,0.990234,0.986730,0.992820
ml_400us,11,4053,0.989502,0.985890,0.992197
ml_400us,12,4051,0.989014,0.985332,0.991779
ml_400us,13,4048,0.988281,0.984498,0.991150
ml_400us,14,4046,0.987793,0.983944,0.990728
ml_400us,15,4043,0.987061,0.983115,0.990094
ml_400us,16,4040,0.986328,0.982289,0.989456
ml_400us,17,4038,0.985840,0.981739,0.989030
ml_400us,18,4032,0.984375,0.980098,0.987744
ml_400us,19,4029,0.983643,0.979280,0.987099
ml_400us,20,4024,0.982422,0.977922,0.986018
ml_400us,21,4020,0.981445,0.976839,0.985149
ml_400us,22,4016,0.980469,0.975759,0.984278
ml_400us,23,4013,0.979736,0.974950,0.983623
ml_400us,24,4008,0.978516,0.973606,0.982528
ml_400us,25,4001,0.976807,0.971731,0.980989
ml_400us,26,3997,0.975830,0.970662,0.980106
ml_400us,27,3992,0.974609,0.969329,0.979000
ml_400us,28,3987,0.973389,0.967999,0.977892
ml_400us,29,3981,0.971924,0.966406,0.976557
ml_400us,30,3976,0.970703,0.965081,0.975443
ml_400us,31,3976,0.970703,0.965081,0.975443
ml_400us,32,3970,0.969238,0.963495,0.974102
ml_400us,33,3966,0.968262,0.962439,0.973207
ml_400us,34,3964,0.967773,0.961912,0.972759
ml_400us,35,3963,0.967529,0.961648,0.972534
ml_400us,36,3963,0.967529,0.961648,0.972534
ml_400us,37,3961,0.967041,0.961121,0.972086
ml_400us,38,3955,0.965576,0.959542,0.970738
ml_400us,39,3951,0.964600,0.958491,0.969837
ml_400us,40,3946,0.963379,0.957179,0.968711
ml_400us,41,3944,0.962891,0.956654,0.968259
ml_400us,42,3941,0.962158,0.955868,0.967582
ml_400us,43,3939,0.961670,0.955345,0.967130
ml_400us,44,3932,0.959961,0.953513,0.965547
ml_400us,45,3928,0.958984,0.952468,0.964640
ml_400us,46,3924,0.958008,0.951424,0.963733
ml_400us,47,3922,0.957520,0.950902,0.963279
ml_400us,48,3919,0.956787,0.950120,0.962598
ml_400us,49,3912,0.955078,0.948297,0.961006
ml_400us,50,3908,0.954102,0.947256,0.960096
ml_400us,51,3903,0.952881,0.945957,0.958956
ml_400us,52,3899,0.951904,0.944918,0.958044
ml_400us,53,3894,0.950684,0.943620,0.956903
ml_400us,54,3886,0.948730,0.941546,0.955074
ml_400us,55,3877,0.946533,0.939216,0.953014
ml_400us,56,3874,0.945801,0.938440,0.952326
ml_400us,57,3872,0.945312,0.937923,0.951868
ml_400us,58,3868,0.944336,0.936889,0.950950
ml_400us,59,3865,0.943604,0.936114,0.950261
ml_400us,60,3860,0.942383,0.934824,0.949113
