scan,condition,waveform,shots,captured,capture_fraction,wilson_low,wilson_high,mean_capture_margin,label_flips_vs_reference,final_energy_max_abs_diff_uK
temperature,3.0,sequential_600us,500,500,1.0,0.9923756595384479,1.0,0.9852933220913903,,
temperature,3.0,sequential_400us,500,500,1.0,0.9923756595384479,1.0,0.9851484530979641,,
temperature,3.0,overlapped_optimized_400us,500,500,1.0,0.9923756595384479,1.0,0.9853201084700453,,
temperature,5.0,sequential_600us,500,500,1.0,0.9923756595384479,1.0,0.9768794151857885,,
temperature,5.0,sequential_400us,500,500,1.0,0.9923756595384479,1.0,0.9767301013713207,,
temperature,5.0,overlapped_optimized_400us,500,500,1.0,0.9923756595384479,1.0,0.9768831220302454,,
temperature,7.0,sequential_600us,500,500,1.0,0.9923756595384479,1.0,0.9686916184250037,,
temperature,7.0,sequential_400us,500,500,1.0,0.9923756595384479,1.0,0.9684681008345509,,
temperature,7.0,overlapped_optimized_400us,500,500,1.0,0.9923756595384479,1.0,0.9687816652125033,,
temperature,10.0,sequential_600us,500,500,1.0,0.9923756595384479,1.0,0.9492012107672463,,
temperature,10.0,sequential_400us,500,500,1.0,0.9923756595384479,1.0,0.9485083744546645,,
temperature,10.0,overlapped_optimized_400us,500,500,1.0,0.9923756595384479,1.0,0.9493303046389681,,
alignment,-0.1,sequential_600us,500,500,1.0,0.9923756595384479,1.0,0.9754575912111875,,
alignment,-0.1,sequential_400us,500,500,1.0,0.9923756595384479,1.0,0.9750206629072706,,
alignment,-0.1,overlapped_optimized_400us,500,500,1.0,0.9923756595384479,1.0,0.9754805098021812,,
alignment,-0.05,sequential_600us,500,500,1.0,0.9923756595384479,1.0,0.972200039789093,,
alignment,-0.05,sequential_400us,500,500,1.0,0.9923756595384479,1.0,0.9720158719000842,,
alignment,-0.05,overlapped_optimized_400us,500,500,1.0,0.9923756595384479,1.0,0.9722260561244275,,
alignment,0.0,sequential_600us,500,500,1.0,0.9923756595384479,1.0,0.9724482551215414,,
alignment,0.0,sequential_400us,500,500,1.0,0.9923756595384479,1.0,0.9723299500318544,,
alignment,0.0,overlapped_optimized_400us,500,500,1.0,0.9923756595384479,1.0,0.9724825299739196,,
alignment,0.05,sequential_600us,500,500,1.0,0.9923756595384479,1.0,0.9738078968437085,,
alignment,0.05,sequential_400us,500,500,1.0,0.9923756595384479,1.0,0.9736819775348247,,
alignment,0.05,overlapped_optimized_400us,500,500,1.0,0.9923756595384479,1.0,0.9738182752850573,,
alignment,0.1,sequential_600us,500,500,1.0,0.9923756595384479,1.0,0.9746337213259243,,
alignment,0.1,sequential_400us,500,500,1.0,0.9923756595384479,1.0,0.974559720257884,,
alignment,0.1,overlapped_optimized_400us,500,500,1.0,0.9923756595384479,1.0,0.9746057132969163,,
timestep,0.09999999999999999,sequential_600us,200,200,1.0,,,,0.0,0.0011705089499685073
timestep,0.049999999999999996,sequential_600us,200,200,1.0,,,,0.0,0.00023423220518736798
timestep,0.024999999999999998,sequential_600us,200,200,1.0,,,,0.0,0.0
timestep,0.09999999999999999,sequential_400us,200,200,1.0,,,,0.0,0.0017629448854847851
timestep,0.049999999999999996,sequential_400us,200,200,1.0,,,,0.0,0.0003526451162514377
timestep,0.024999999999999998,sequential_400us,200,200,1.0,,,,0.0,0.0
timestep,0.09999999999999999,overlapped_optimized_400us,200,200,1.0,,,,0.0,0.0010216450175022374
timestep,0.049999999999999996,overlapped_optimized_400us,200,200,1.0,,,,0.0,0.00020424290885046048
timestep,0.024999999999999998,overlapped_optimized_400us,200,200,1.0,,,,0.0,0.0
