candidate_id,origin,status,reasons,survival_at_objective,survived_count,mean_final_excitation_alive,objective_total
ml_0000,manual_anchor,ok,,0.984375,63,0.06185225629086514,0.9808381810987662
ml_0001,lhs_increments,ok,,0.0625,4,0.019382869927106916,0.06059813378344693
ml_0002,lhs_increments,ok,,0.0,0,,-0.05082877055772612
ml_0003,lhs_increments,invalid,ML 样条出现负深度（物理非法）,,,,
ml_0004,lhs_increments,ok,,0.0,0,,-0.05047191640351231
ml_0005,lhs_increments,ok,,0.203125,13,0.10013079159943228,0.19712457702055708
ml_0006,lhs_increments,ok,,0.0,0,,-0.05048524654039159
ml_0007,lhs_increments,ok,,0.0,0,,-0.051441531278793466
ml_0008,lhs_increments,ok,,0.0,0,,-0.050531901473244274
ml_0009,lhs_increments,ok,,0.03125,2,0.16182836821897906,0.022522370590698317
ml_0010,lhs_increments,ok,,0.0,0,,-0.0505741108121159
ml_0011,lhs_increments,ok,,0.0625,4,0.3186593828560885,0.04607411423034025
ml_0012,lhs_increments,invalid,ML 样条出现负深度（物理非法）,,,,
ml_0013,lhs_increments,ok,,0.0,0,,-0.05076806465188746
ml_0014,lhs_increments,ok,,0.0,0,,-0.05068455994778055
ml_0015,lhs_increments,ok,,0.0,0,,-0.05062818329238718
ml_0016,lhs_increments,ok,,0.0,0,,-0.05092715661175567
ml_0017,lhs_increments,ok,,0.0,0,,-0.05033726848755816
ml_0018,lhs_increments,ok,,0.6875,44,0.12706260691559595,0.6805401942265062
ml_0019,lhs_increments,ok,,0.625,40,0.11450720621043349,0.6185702689647568
ml_0020,lhs_increments,ok,,0.0,0,,-0.050469012296178895
ml_0021,lhs_increments,ok,,0.0,0,,-0.05103992670165691
ml_0022,lhs_increments,ok,,0.0,0,,-0.05072376575350717
ml_0023,lhs_increments,ok,,0.0,0,,-0.05062953338452822
ml_0024,lhs_increments,ok,,0.0,0,,-0.0503880559092274
ml_0025,lhs_increments,ok,,0.0,0,,-0.05110079204771631
ml_0026,lhs_increments,ok,,0.0,0,,-0.050678402951941336
ml_0027,lhs_increments,ok,,0.0,0,,-0.050782100355961604
ml_0028,lhs_increments,ok,,0.0,0,,-0.05095993891388837
