n,survival_manual_200us,survival_manual_400us,survival_manual_600us
0,1.0,1.0,1.0
1,1.0,1.0,1.0
2,1.0,1.0,1.0
3,1.0,1.0,1.0
4,1.0,1.0,1.0
5,0.99609375,1.0,1.0
6,0.9921875,1.0,1.0
7,0.984375,1.0,1.0
8,0.984375,1.0,1.0
9,0.97265625,1.0,1.0
10,0.953125,1.0,1.0
11,0.9140625,1.0,1.0
12,0.89453125,1.0,1.0
13,0.875,1.0,1.0
14,0.859375,1.0,1.0
15,0.83203125,1.0,1.0
16,0.83203125,1.0,1.0
17,0.82421875,1.0,1.0
18,0.81640625,1.0,1.0
19,0.8046875,1.0,1.0
20,0.7890625,1.0,1.0
21,0.765625,1.0,1.0
22,0.76171875,1.0,1.0
23,0.75,1.0,1.0
24,0.73828125,1.0,1.0
25,0.71875,1.0,1.0
26,0.7109375,1.0,1.0
27,0.69921875,1.0,1.0
28,0.69921875,1.0,1.0
29,0.6953125,1.0,1.0
30,0.69140625,1.0,1.0
31,0.68359375,1.0,1.0
32,0.67578125,1.0,1.0
33,0.6640625,1.0,1.0
34,0.65234375,1.0,1.0
35,0.6484375,1.0,1.0
36,0.6484375,1.0,1.0
37,0.640625,1.0,1.0
38,0.6328125,1.0,1.0
39,0.62890625,1.0,1.0
40,0.625,1.0,1.0
41,0.625,1.0,1.0
42,0.62109375,1.0,1.0
43,0.59765625,1.0,1.0
44,0.5859375,1.0,1.0
45,0.578125,1.0,1.0
46,0.57421875,1.0,1.0
47,0.5703125,1.0,1.0
48,0.5703125,1.0,1.0
49,0.56640625,1.0,1.0
50,0.56640625,1.0,1.0
51,0.55859375,1.0,1.0
52,0.55859375,1.0,1.0
53,0.55859375,1.0,1.0
54,0.55859375,1.0,1.0
55,0.5546875,1.0,1.0
56,0.5546875,1.0,1.0
57,0.54296875,1.0,1.0
58,0.5390625,1.0,1.0
59,0.53515625,1.0,1.0
60,0.53515625,1.0,1.0
