n,survival_conservative|manual_200us,survival_conservative|manual_400us,survival_conservative|manual_600us,survival_conservative|ml_400us,survival_heating|manual_200us,survival_heating|manual_400us,survival_heating|manual_600us,survival_heating|ml_400us,survival_disorder|manual_200us,survival_disorder|manual_400us,survival_disorder|manual_600us,survival_disorder|ml_400us,survival_full|manual_200us,survival_full|manual_400us,survival_full|manual_600us,survival_full|ml_400us
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99609375,1.0,1.0,1.0,0.99609375,1.0,1.0,1.0
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99609375,1.0,1.0,1.0,0.99609375,1.0,1.0,1.0
4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.984375,1.0,1.0,1.0,0.98828125,1.0,1.0,1.0
5,0.99609375,1.0,1.0,1.0,0.99609375,1.0,1.0,1.0,0.96484375,1.0,1.0,1.0,0.9609375,1.0,1.0,1.0
6,0.9921875,1.0,1.0,1.0,0.9921875,1.0,1.0,1.0,0.94921875,1.0,1.0,1.0,0.94921875,1.0,1.0,1.0
7,0.984375,1.0,1.0,1.0,0.984375,1.0,1.0,1.0,0.90234375,1.0,1.0,1.0,0.9140625,1.0,1.0,1.0
8,0.984375,1.0,1.0,1.0,0.9765625,1.0,1.0,1.0,0.88671875,1.0,1.0,1.0,0.8984375,1.0,1.0,1.0
9,0.97265625,1.0,1.0,1.0,0.96875,1.0,1.0,1.0,0.87109375,1.0,1.0,1.0,0.859375,1.0,1.0,1.0
10,0.953125,1.0,1.0,1.0,0.953125,1.0,1.0,1.0,0.8359375,1.0,1.0,1.0,0.82421875,1.0,1.0,1.0
11,0.9140625,1.0,1.0,1.0,0.93359375,1.0,1.0,1.0,0.80859375,1.0,1.0,1.0,0.77734375,1.0,1.0,1.0
12,0.89453125,1.0,1.0,1.0,0.90625,1.0,1.0,1.0,0.796875,1.0,1.0,1.0,0.74609375,1.0,1.0,1.0
13,0.875,1.0,1.0,1.0,0.875,1.0,1.0,1.0,0.78515625,1.0,1.0,1.0,0.7109375,1.0,1.0,1.0
14,0.859375,1.0,1.0,1.0,0.8671875,1.0,1.0,1.0,0.765625,1.0,1.0,1.0,0.69140625,1.0,1.0,1.0
15,0.83203125,1.0,1.0,1.0,0.84765625,1.0,1.0,1.0,0.73828125,1.0,1.0,1.0,0.67578125,0.99609375,1.0,1.0
16,0.83203125,1.0,1.0,1.0,0.8359375,1.0,1.0,1.0,0.7109375,1.0,1.0,1.0,0.65625,0.99609375,1.0,1.0
17,0.82421875,1.0,1.0,1.0,0.82421875,1.0,1.0,1.0,0.6875,1.0,1.0,1.0,0.64453125,0.99609375,1.0,1.0
18,0.81640625,1.0,1.0,1.0,0.8125,1.0,1.0,1.0,0.6640625,1.0,1.0,1.0,0.63671875,0.99609375,1.0,1.0
19,0.8046875,1.0,1.0,1.0,0.79296875,1.0,1.0,1.0,0.640625,1.0,1.0,1.0,0.61328125,0.99609375,1.0,1.0
