n,survival_conservative|manual_200us,survival_conservative|manual_400us,survival_conservative|manual_600us,survival_conservative|ml_400us,survival_heating|manual_200us,survival_heating|manual_400us,survival_heating|manual_600us,survival_heating|ml_400us,survival_disorder|manual_200us,survival_disorder|manual_400us,survival_disorder|manual_600us,survival_disorder|ml_400us,survival_full|manual_200us,survival_full|manual_400us,survival_full|manual_600us,survival_full|ml_400us
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.96484375,0.99609375,0.99609375,1.0,0.96875,0.99609375,0.99609375,1.0
4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9375,0.99609375,0.99609375,1.0,0.94140625,0.99609375,0.99609375,1.0
5,0.99609375,1.0,1.0,1.0,0.99609375,1.0,1.0,1.0,0.90234375,0.9765625,0.984375,0.9921875,0.8984375,0.9765625,0.98828125,0.9765625
6,0.9921875,1.0,1.0,1.0,0.9921875,1.0,1.0,1.0,0.8671875,0.95703125,0.96875,0.9765625,0.87109375,0.96484375,0.97265625,0.953125
7,0.984375,1.0,1.0,1.0,0.984375,1.0,1.0,1.0,0.82421875,0.9375,0.9609375,0.95703125,0.8359375,0.94921875,0.953125,0.9296875
8,0.984375,1.0,1.0,1.0,0.9765625,1.0,1.0,1.0,0.7734375,0.92578125,0.953125,0.92578125,0.77734375,0.92578125,0.94921875,0.91796875
9,0.97265625,1.0,1.0,1.0,0.96875,1.0,1.0,1.0,0.75,0.90625,0.94140625,0.88671875,0.7109375,0.90234375,0.921875,0.890625
10,0.953125,1.0,1.0,1.0,0.953125,1.0,1.0,1.0,0.7109375,0.89453125,0.9296875,0.84765625,0.6484375,0.86328125,0.9140625,0.8671875
11,0.9140625,1.0,1.0,1.0,0.93359375,1.0,1.0,1.0,0.6484375,0.87109375,0.89453125,0.8203125,0.6015625,0.83203125,0.890625,0.82421875
12,0.89453125,1.0,1.0,1.0,0.90625,1.0,1.0,1.0,0.6015625,0.8359375,0.8671875,0.796875,0.5625,0.8046875,0.85546875,0.80078125
13,0.875,1.0,1.0,1.0,0.875,1.0,1.0,1.0,0.55078125,0.8203125,0.8359375,0.78515625,0.53515625,0.74609375,0.83203125,0.7578125
14,0.859375,1.0,1.0,1.0,0.8671875,1.0,1.0,1.0,0.5,0.76953125,0.8046875,0.7578125,0.48828125,0.72265625,0.8125,0.734375
15,0.83203125,1.0,1.0,1.0,0.84765625,1.0,1.0,1.0,0.47265625,0.7421875,0.76953125,0.73046875,0.44921875,0.69921875,0.78125,0.7109375
16,0.83203125,1.0,1.0,1.0,0.8359375,1.0,1.0,1.0,0.4453125,0.69140625,0.72265625,0.6953125,0.390625,0.67578125,0.74609375,0.6796875
17,0.82421875,1.0,1.0,1.0,0.82421875,1.0,1.0,1.0,0.3984375,0.65234375,0.6875,0.6484375,0.37109375,0.640625,0.6953125,0.6484375
