n,survival_conservative|manual_200us,survival_conservative|manual_400us,survival_conservative|manual_600us,survival_conservative|ml_400us,survival_heating|manual_200us,survival_heating|manual_400us,survival_heating|manual_600us,survival_heating|ml_400us,survival_disorder|manual_200us,survival_disorder|manual_400us,survival_disorder|manual_600us,survival_disorder|ml_400us,survival_full|manual_200us,survival_full|manual_400us,survival_full|manual_600us,survival_full|ml_400us
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,0.99609375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,0.99609375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.98828125,1.0,1.0,1.0,0.9921875,1.0,1.0,1.0
5,0.96875,1.0,1.0,1.0,0.98046875,1.0,1.0,1.0,0.94921875,1.0,1.0,1.0,0.9453125,1.0,1.0,1.0
6,0.9609375,1.0,1.0,1.0,0.9609375,1.0,1.0,1.0,0.92578125,1.0,1.0,1.0,0.9296875,1.0,1.0,1.0
7,0.94921875,1.0,1.0,1.0,0.94921875,1.0,1.0,1.0,0.9140625,1.0,1.0,1.0,0.88671875,0.99609375,1.0,1.0
8,0.9375,1.0,1.0,1.0,0.94140625,1.0,1.0,1.0,0.8828125,1.0,1.0,1.0,0.87109375,0.99609375,1.0,1.0
9,0.90625,1.0,1.0,1.0,0.90625,1.0,1.0,1.0,0.87109375,0.99609375,1.0,1.0,0.83984375,0.99609375,1.0,1.0
10,0.88671875,1.0,1.0,1.0,0.875,1.0,1.0,1.0,0.84765625,0.99609375,1.0,1.0,0.81640625,0.99609375,1.0,1.0
11,0.86328125,1.0,1.0,1.0,0.85546875,1.0,1.0,1.0,0.8046875,0.99609375,1.0,1.0,0.8125,0.99609375,1.0,1.0
12,0.85546875,1.0,1.0,1.0,0.828125,1.0,1.0,1.0,0.78515625,0.99609375,1.0,1.0,0.79296875,0.99609375,1.0,1.0
13,0.82421875,1.0,1.0,1.0,0.80859375,1.0,1.0,1.0,0.74609375,0.99609375,1.0,1.0,0.75,0.99609375,1.0,0.99609375
14,0.80859375,1.0,1.0,1.0,0.78515625,1.0,1.0,1.0,0.7265625,0.99609375,1.0,1.0,0.7265625,0.99609375,1.0,0.99609375
15,0.78125,1.0,1.0,1.0,0.77734375,1.0,1.0,1.0,0.6875,0.99609375,1.0,1.0,0.69921875,0.9921875,1.0,0.99609375
16,0.7734375,1.0,1.0,1.0,0.76953125,1.0,1.0,1.0,0.66796875,0.99609375,1.0,1.0,0.6875,0.9921875,1.0,0.99609375
17,0.75390625,1.0,1.0,1.0,0.74609375,1.0,1.0,1.0,0.65234375,0.9921875,1.0,1.0,0.6640625,0.9921875,1.0,0.99609375
18,0.75,1.0,1.0,1.0,0.74609375,1.0,1.0,1.0,0.640625,0.9921875,1.0,1.0,0.64453125,0.9921875,1.0,0.99609375
