candidate_id,origin,status,reasons,survival_at_objective,survived_count,mean_final_excitation_alive,objective_total
ml_0000,manual_anchor,ok,,0.66796875,171,0.33025323575989757,0.6510118821253145
ml_0001,lhs_increments,ok,,0.1875,48,0.039863311513213234,0.18457411170414162
ml_0002,lhs_increments,ok,,0.0,0,,-0.05082877055772612
ml_0003,lhs_increments,invalid,ML 样条出现负深度（物理非法）,,,,
ml_0004,lhs_increments,ok,,0.0078125,2,0.4152724311653958,-0.013423037961782102
ml_0005,lhs_increments,ok,,0.2109375,54,0.005787664159323249,0.2096542333925625
ml_0006,lhs_increments,ok,,0.00390625,1,0.09700993173779315,-0.001429493127281244
ml_0007,lhs_increments,ok,,0.0078125,2,0.2635294716600106,-0.006805504861793995
ml_0008,lhs_increments,ok,,0.0,0,,-0.050531901473244274
ml_0009,lhs_increments,ok,,0.13671875,35,0.12409174388868363,0.1298779518072131
ml_0010,lhs_increments,ok,,0.00390625,1,0.537196682364325,-0.023527694930332153
ml_0011,lhs_increments,ok,,0.07421875,19,0.10396813626229273,0.06852742656003004
ml_0012,lhs_increments,invalid,ML 样条出现负深度（物理非法）,,,,
ml_0013,lhs_increments,ok,,0.0546875,14,0.030410243121679552,0.05239892319202856
ml_0014,lhs_increments,ok,,0.1171875,30,0.051839544168371623,0.11391096284380087
ml_0015,lhs_increments,ok,,0.0,0,,-0.05062818329238718
ml_0016,lhs_increments,ok,,0.0,0,,-0.05092715661175567
ml_0017,lhs_increments,ok,,0.0703125,18,0.11907727706073329,0.06402136765940519
ml_0018,lhs_increments,ok,,0.34765625,89,0.04671786777501752,0.34471368118353507
ml_0019,lhs_increments,ok,,0.23828125,61,0.06813584832924825,0.234170086858816
ml_0020,lhs_increments,ok,,0.07421875,19,0.0003690160417852388,0.07373128690173185
ml_0021,lhs_increments,ok,,0.0,0,,-0.05103992670165691
ml_0022,lhs_increments,ok,,0.0,0,,-0.05072376575350717
ml_0023,lhs_increments,ok,,0.0,0,,-0.05062953338452822
ml_0024,lhs_increments,ok,,0.0,0,,-0.0503880559092274
ml_0025,lhs_increments,ok,,0.0,0,,-0.05110079204771631
ml_0026,lhs_increments,ok,,0.01953125,5,0.06475003673900774,0.015615345211108281
ml_0027,lhs_increments,ok,,0.0,0,,-0.050782100355961604
ml_0028,lhs_increments,ok,,0.01171875,3,0.3575266128034696,-0.007117519554061848
ml_0029,lhs_increments,ok,,0.02734375,7,0.18925804954757347,0.017323352029860153
ml_0030,lhs_increments,invalid,ML 样条出现负深度（物理非法）,,,,
ml_0031,lhs_increments,invalid,ML 样条出现负深度（物理非法）,,,,
ml_0032,lhs_increments,ok,,0.00390625,1,0.41718752997311137,-0.01755486946252113
ml_0033,lhs_increments,ok,,0.02734375,7,0.31474684541206926,0.010909468902294234
ml_0034,lhs_increments,ok,,0.02734375,7,0.06335709632659949,0.023761551064536247
ml_0035,lhs_increments,invalid,ML 样条出现负深度（物理非法）,,,,
ml_0036,lhs_increments,invalid,ML 样条出现负深度（物理非法）,,,,
ml_0037,lhs_increments,ok,,0.234375,60,0.11858423200240369,0.22801291877767343
ml_0038,lhs_increments,ok,,0.0703125,18,0.11320857546626027,0.06404829203828967
ml_0039,lhs_increments,ok,,0.015625,4,0.03523286547660884,0.01321518638631943
ml_0040,lhs_increments,invalid,ML 样条出现负深度（物理非法）,,,,
ml_0041,lhs_increments,ok,,0.0,0,,-0.050547307140390976
ml_0042,lhs_increments,ok,,0.01171875,3,0.05435844804623691,0.00828719008764457
ml_0043,lhs_increments,invalid,ML 样条出现负深度（物理非法）,,,,
ml_0044,lhs_increments,ok,,0.10546875,27,0.06836835546863608,0.10151716242774228
ml_0045,lhs_increments,ok,,0.06640625,17,0.32118349627484244,0.05003937398639095
ml_0046,lhs_increments,ok,,0.0,0,,-0.0506911314421833
ml_0047,lhs_increments,ok,,0.0859375,22,0.22576136277547934,0.073812395791367
ml_0048,lhs_increments,ok,,0.0234375,6,0.15967781086953717,0.014823511921357809
ml_0049,lhs_increments,ok,,0.24609375,63,0.11338900399458436,0.24008564357203419
ml_0050,lhs_increments,ok,,0.15234375,39,0.07321505297868762,0.14804773768207774
ml_0051,lhs_increments,ok,,0.09765625,25,0.013614180779013028,0.09653993431579724
ml_0052,lhs_increments,ok,,0.0,0,,-0.05036750232379673
ml_0053,lhs_increments,ok,,0.0078125,2,0.11843864841780327,0.0014020907043582119
ml_0054,lhs_increments,ok,,0.24609375,63,0.030767016216761808,0.2441883684977825
ml_0055,lhs_increments,invalid,ML 样条出现负深度（物理非法）,,,,
ml_0056,lhs_increments,ok,,0.03125,8,0.057105853203604715,0.02682192743211817
ml_0057,lhs_increments,ok,,0.0234375,6,0.28329141040989486,0.00875808497285225
ml_0058,lhs_increments,ok,,0.00390625,1,0.2808011703757798,-0.010799876560597839
ml_0059,lhs_increments,ok,,0.25,64,0.14819245756211508,0.24236548338437708
ml_0060,lhs_increments,ok,,0.140625,36,0.0001067506664241824,0.1401610557134542
ml_0061,lhs_increments,ok,,0.0,0,,-0.05063983452529437
ml_0062,lhs_increments,ok,,0.015625,4,0.024883349664189647,0.013546353426130057
ml_0063,lhs_increments,ok,,0.01171875,3,0.542741370277542,-0.016009110653393506
ml_refine_0_0,refine_of_ml_0000,invalid,ML 样条中心过冲超过容差; ML 样条深度过冲超过容差; ML 样条出现负深度（物理非法）,,,,
ml_refine_0_1,refine_of_ml_0000,invalid,ML 样条中心过冲超过容差; ML 样条深度过冲超过容差,,,,
ml_refine_0_2,refine_of_ml_0000,invalid,ML 样条中心过冲超过容差; ML 样条深度过冲超过容差; ML 样条出现负深度（物理非法）,,,,
ml_refine_0_3,refine_of_ml_0000,invalid,ML 样条中心过冲超过容差; ML 样条深度过冲超过容差; ML 样条出现负深度（物理非法）,,,,
ml_refine_1_0,refine_of_ml_0018,invalid,ML 样条中心过冲超过容差,,,,
ml_refine_1_1,refine_of_ml_0018,invalid,ML 样条出现负深度（物理非法）,,,,
ml_refine_1_2,refine_of_ml_0018,ok,,0.0,0,,-0.051466694844958576
ml_refine_1_3,refine_of_ml_0018,ok,,0.0,0,,-0.05181459762572074
ml_refine_2_0,refine_of_ml_0059,ok,,0.0,0,,-0.05130124180968756
ml_refine_2_1,refine_of_ml_0059,invalid,ML 样条出现负深度（物理非法）,,,,
ml_refine_2_2,refine_of_ml_0059,invalid,ML 样条出现负深度（物理非法）,,,,
ml_refine_2_3,refine_of_ml_0059,invalid,ML 样条深度过冲超过容差,,,,
