axis1_vmax_m_s,axis2_vmax_m_s,barrier_uK,distance_um,duration_us,geometry,min_depth_uK,n_minima_at_peak,path_vmax_m_s,profile,severity,split_fraction,v1_over_vs,v2_over_vs,zs1_peak_over_zr,zs2_peak_over_zr
1.35,0.0,0.0,270.0,400.0,straight,-280.0,1,1.35,adiabatic_sine,0.0,0.0,0.0,0.0,0.0,0.0
1.35,0.0,2.7644804336764284,270.0,400.0,straight,-111.82759487786292,2,1.35,adiabatic_sine,0.5,0.2935323383084577,0.5,0.0,2.5038535202671195,0.0
1.35,0.0,12.693381640377105,270.0,400.0,straight,-74.55174165286219,2,1.35,adiabatic_sine,0.75,0.472636815920398,0.75,0.0,3.755780280400679,0.0
1.35,0.0,17.395536021318645,270.0,400.0,straight,-55.913740939502524,2,1.35,adiabatic_sine,1.0,0.5621890547263682,1.0,0.0,5.007707040534239,0.0
1.35,0.0,18.79492714351915,270.0,400.0,straight,-44.731014174789266,2,1.35,adiabatic_sine,1.25,0.6119402985074627,1.25,0.0,6.259633800667799,0.0
0.9000000000000001,0.0,0.0,270.0,600.0,straight,-280.0,1,0.9000000000000001,adiabatic_sine,0.0,0.0,0.0,0.0,0.0,0.0
0.9000000000000001,0.0,0.0,270.0,600.0,straight,-165.03719154034025,1,0.9000000000000001,adiabatic_sine,0.5,0.0,0.5,0.0,1.6692356801780799,0.0
0.9000000000000001,0.0,2.7644804336764546,270.0,600.0,straight,-111.82759487786292,2,0.9000000000000001,adiabatic_sine,0.75,0.2935323383084577,0.75,0.0,2.50385352026712,0.0
0.9000000000000001,0.0,9.920804037858876,270.0,600.0,straight,-83.87063602748046,2,0.9000000000000001,adiabatic_sine,1.0,0.43283582089552236,1.0,0.0,3.3384713603561598,0.0
0.9000000000000001,0.0,14.795938050381121,270.0,600.0,straight,-67.0964857047732,2,0.9000000000000001,adiabatic_sine,1.25,0.5124378109452736,1.25,0.0,4.1730892004452,0.0
0.675,0.0,0.0,270.0,800.0,straight,-280.0,1,0.675,adiabatic_sine,0.0,0.0,0.0,0.0,0.0,0.0
0.675,0.0,0.0,270.0,800.0,straight,-201.17372834591217,1,0.675,adiabatic_sine,0.5,0.0,0.5,0.0,1.2519267601335597,0.0
