branch,class,condition,e_final_uK,mean_z_um,shot_id
+,retained,paper_anchor_diagonal|sev1.0,-246.9741006418803,4.095795234646938,0
+,retained,paper_anchor_diagonal|sev1.0,-267.8544435979832,4.087947764691961,1
+,retained,paper_anchor_diagonal|sev1.0,-266.2865288366455,4.088814884022391,2
+,retained,paper_anchor_diagonal|sev1.0,-276.86492245968594,4.070725060196842,3
+,retained,paper_anchor_diagonal|sev1.0,-275.0558119491607,4.0845829740616875,4
+,retained,paper_anchor_diagonal|sev1.0,-272.63390658244606,4.0796733424443445,5
+,lost,coarse_lost_straight_510um_600us_sev1.25,1754.6865568771882,8.228275309219018,0
+,lost,coarse_lost_straight_510um_600us_sev1.25,1841.8961645985714,10.875828662296634,1
+,lost,coarse_lost_straight_510um_600us_sev1.25,1873.3420086189653,15.753912295204831,2
+,lost,coarse_lost_straight_510um_600us_sev1.25,1389.2035991224825,5.461429821158725,3
+,lost,coarse_lost_straight_510um_600us_sev1.25,1729.2738294678838,7.919528736998439,4
+,lost,coarse_lost_straight_510um_600us_sev1.25,1587.3753591121117,4.279474696678943,5
