absorbing_fraction,absorbing_success,ambiguous_fraction_mean,contrast_none,contrast_spin_echo,contrast_xy4,excitation_median_uK,excitation_q90_uK,excitation_q95_uK,first_failure_counts,non_absorbing_fraction,non_absorbing_retained,protocol,risk_set,round,usable_coherent_fraction_xy4,wilson_high,wilson_low
1.0,500,0.25,0.8957121428885072,0.9999614477098835,0.9735163210619052,12.930998445238247,24.19378674453129,28.038285493501604,{},1.0,500,protocol_a,500,1,0.9735163210619052,1.0,0.9923756595384479
1.0,500,0.25,0.6951339756299784,0.8949174093752494,0.8021235038027985,13.160060857347005,24.222737415472267,27.891119842043267,{},1.0,500,protocol_a,500,2,0.8021235038027985,1.0,0.9923756595384479
1.0,500,0.25,0.4923403914565313,0.6953542355515434,0.5973322078176483,13.069096875861202,24.133904996125032,28.013366695438492,{},1.0,500,protocol_a,500,3,0.5973322078176483,1.0,0.9923756595384479
1.0,500,0.25,0.32357671267788785,0.49234154414016945,0.40388897711926447,12.98438601313711,24.275975982225127,28.110405912739623,{},1.0,500,protocol_a,500,4,0.40388897711926447,1.0,0.9923756595384479
1.0,500,0.25,0.21984095272419424,0.32324935388230136,0.26672524604583775,13.084849314499865,24.40030447709281,27.97407032065923,{},1.0,500,protocol_a,500,5,0.26672524604583775,1.0,0.9923756595384479
1.0,500,0.25,0.13713616668458725,0.22082295968722232,0.18317474324241698,13.13813743925797,24.385598708879687,28.078622977586466,{},1.0,500,protocol_a,500,6,0.18317474324241698,1.0,0.9923756595384479
1.0,500,0.25,0.054767392282739684,0.13676595962569651,0.09254582578535595,13.298172900550897,24.18431841791854,28.2189078671309,{},1.0,500,protocol_a,500,7,0.09254582578535595,1.0,0.9923756595384479
1.0,500,0.25,0.018502134348728005,0.05486297299276388,0.03738347665487401,13.010864478335018,24.18780394025253,27.911255586063408,{},1.0,500,protocol_a,500,8,0.03738347665487401,1.0,0.9923756595384479
1.0,500,0.25,0.034184943159996733,0.01943381576483438,0.009948175406842088,13.144748153896321,24.36524899757652,27.729487440828656,{},1.0,500,protocol_a,500,9,0.009948175406842088,1.0,0.9923756595384479
1.0,500,0.25,0.056754692055172654,0.035124735496668016,0.049578767389656025,13.048919859856298,24.120015859429763,28.08092341444125,{},1.0,500,protocol_a,500,10,0.049578767389656025,1.0,0.9923756595384479
1.0,500,0.0,0.9401309355153014,0.9999787259637724,0.9959828801155639,51.45310143448208,61.73016680404026,66.21363400580918,{},1.0,500,protocol_b,500,1,0.9959828801155639,1.0,0.9923756595384479
1.0,500,0.0,0.8055452974656722,0.9371099655177941,0.9078331178508967,51.78328970166484,61.96559789578505,66.13464087269087,{},1.0,500,protocol_b,500,2,0.9078331178508967,1.0,0.9923756595384479
1.0,500,0.0,0.6608263814779265,0.8021875710684386,0.7676500648771243,51.830366307670076,62.37411675122868,66.2409318710137,{},1.0,500,protocol_b,500,3,0.7676500648771243,1.0,0.9923756595384479
1.0,500,0.0,0.5211707500792717,0.6636997119258556,0.6284289762069669,51.734679823749794,61.66400190131631,65.88925129525386,{},1.0,500,protocol_b,500,4,0.6284289762069669,1.0,0.9923756595384479
1.0,500,0.0,0.39005803666068867,0.5172575564558316,0.48269293526890045,51.734245858127366,61.96500664794889,66.67990321983855,{},1.0,500,protocol_b,500,5,0.48269293526890045,1.0,0.9923756595384479
1.0,500,0.0,0.29298974066728395,0.3850864606854353,0.35980007284448756,51.903355339668494,62.380250955136425,66.33269202870362,{},1.0,500,protocol_b,500,6,0.35980007284448756,1.0,0.9923756595384479
1.0,500,0.0,0.21075921800591468,0.28519503273411967,0.2659257447238619,51.883702258136154,62.161414763614474,66.2536012797046,{},1.0,500,protocol_b,500,7,0.2659257447238619,1.0,0.9923756595384479
1.0,500,0.0,0.13223175935233866,0.20050505758366424,0.1838434134470819,51.5404951381183,62.24059594787251,67.01529211988682,{},1.0,500,protocol_b,500,8,0.1838434134470819,1.0,0.9923756595384479
1.0,500,0.0,0.07662444653284539,0.13235022313684353,0.11675364946723096,51.733702312964304,61.88685812379089,66.74844680463352,{},1.0,500,protocol_b,500,9,0.11675364946723096,1.0,0.9923756595384479
1.0,500,0.0,0.02876220766733882,0.06958739435901602,0.05897319741746944,51.43599618366548,62.21371048035634,66.46665695381684,{},1.0,500,protocol_b,500,10,0.05897319741746944,1.0,0.9923756595384479
1.0,128,,,,0.9664500774290654,13.58982419539973,26.6544572163197,,,1.0,128,protocol_a_long_tail,128,1,,,
1.0,128,,,,0.7663694683091244,13.358642282251196,26.64264645470696,,,1.0,128,protocol_a_long_tail,128,2,,,
1.0,128,,,,,13.549646841150993,26.38902514702155,,,1.0,128,protocol_a_long_tail,128,3,,,
1.0,128,,,,,13.423280571066531,26.285065634666662,,,1.0,128,protocol_a_long_tail,128,4,,,
1.0,128,,,,0.2635882611240695,13.262407214999278,26.188651303704596,,,1.0,128,protocol_a_long_tail,128,5,,,
1.0,128,,,,,13.181688870632602,26.333013236219326,,,1.0,128,protocol_a_long_tail,128,6,,,
1.0,128,,,,,13.25189820610759,26.701021556502734,,,1.0,128,protocol_a_long_tail,128,7,,,
1.0,128,,,,,13.446958534254536,26.69616800816915,,,1.0,128,protocol_a_long_tail,128,8,,,
1.0,128,,,,,13.343899269897587,26.342550475979827,,,1.0,128,protocol_a_long_tail,128,9,,,
1.0,128,,,,0.06022323195181394,13.519496739157741,26.433957553516482,,,1.0,128,protocol_a_long_tail,128,10,,,
1.0,128,,,,,13.50674461433259,26.616609326479324,,,1.0,128,protocol_a_long_tail,128,11,,,
1.0,128,,,,,13.588583457283793,26.731920922943505,,,1.0,128,protocol_a_long_tail,128,12,,,
1.0,128,,,,,13.355657128162733,26.85793639366617,,,1.0,128,protocol_a_long_tail,128,13,,,
1.0,128,,,,,13.197508811062228,26.87380809550271,,,1.0,128,protocol_a_long_tail,128,14,,,
1.0,128,,,,,13.40656757874569,27.080787967135272,,,1.0,128,protocol_a_long_tail,128,15,,,
1.0,128,,,,,13.33711364474846,27.24635770306972,,,1.0,128,protocol_a_long_tail,128,16,,,
1.0,128,,,,,13.1573177731035,27.57289598048835,,,1.0,128,protocol_a_long_tail,128,17,,,
1.0,128,,,,,13.228367184873768,27.400042040864584,,,1.0,128,protocol_a_long_tail,128,18,,,
1.0,128,,,,,13.332303330448928,27.09101869927217,,,1.0,128,protocol_a_long_tail,128,19,,,
1.0,128,,,,0.11919834660311968,13.3928920578205,26.922451526461252,,,1.0,128,protocol_a_long_tail,128,20,,,
1.0,128,,,,,13.359010975432291,27.03522875548505,,,1.0,128,protocol_a_long_tail,128,21,,,
1.0,128,,,,,13.37077377736832,26.811652556430708,,,1.0,128,protocol_a_long_tail,128,22,,,
1.0,128,,,,,13.398609288664808,26.56667988479412,,,1.0,128,protocol_a_long_tail,128,23,,,
1.0,128,,,,,13.08070663060222,26.47012237954502,,,1.0,128,protocol_a_long_tail,128,24,,,
1.0,128,,,,,13.443646736860842,26.384028539501255,,,1.0,128,protocol_a_long_tail,128,25,,,
1.0,128,,,,,13.458308937236193,26.480370925498306,,,1.0,128,protocol_a_long_tail,128,26,,,
1.0,128,,,,,13.188776285219957,26.393570858632145,,,1.0,128,protocol_a_long_tail,128,27,,,
1.0,128,,,,,13.413195580339604,26.03280321390376,,,1.0,128,protocol_a_long_tail,128,28,,,
1.0,128,,,,,13.441233943386658,26.165222388019405,,,1.0,128,protocol_a_long_tail,128,29,,,
1.0,128,,,,,13.374171016334554,26.39131567373328,,,1.0,128,protocol_a_long_tail,128,30,,,
1.0,128,,,,,13.246566544849792,26.580638688618205,,,1.0,128,protocol_a_long_tail,128,31,,,
1.0,128,,,,,13.365810756899798,26.879266393181734,,,1.0,128,protocol_a_long_tail,128,32,,,
1.0,128,,,,,13.342644860559504,26.975626254689633,,,1.0,128,protocol_a_long_tail,128,33,,,
1.0,128,,,,,13.103901573862819,27.070484240955928,,,1.0,128,protocol_a_long_tail,128,34,,,
1.0,128,,,,,13.181450261951099,27.220793436012414,,,1.0,128,protocol_a_long_tail,128,35,,,
1.0,128,,,,,13.398975327233835,27.249089551676008,,,1.0,128,protocol_a_long_tail,128,36,,,
1.0,128,,,,,13.223917079703899,27.10506471519988,,,1.0,128,protocol_a_long_tail,128,37,,,
1.0,128,,,,,13.229990531043907,26.907809230406333,,,1.0,128,protocol_a_long_tail,128,38,,,
1.0,128,,,,,13.320448663139153,26.67003602123566,,,1.0,128,protocol_a_long_tail,128,39,,,
1.0,128,,,,0.08304061381039982,13.395395191242205,26.357664569165312,,,1.0,128,protocol_a_long_tail,128,40,,,
