affine_c,coherent_angle_rad,condition,dd,f_avg_ci_high,f_avg_ci_low,f_avg_conditional,f_avg_survival_weighted,m_xx,m_yy,m_zz,n_dd_pulses,n_traj,pool,ptm_m,survival,unitarity,variant
"[0.0, 0.0, 0.0]",2.2407389221904417,static_idle|none|nominal,none,0.480132183582084,0.47275344994789026,0.47639100858486877,0.47639100858486877,-0.5708269742453937,-0.5708269742453937,1.0,0,2000,static_idle,"[[-0.5708269742453937, -0.7205948779842165, 0.0], [0.7205948779842165, -0.5708269742453937, 0.0], [0.0, 0.0, 1.0]]",1.0,0.8967336084688262,nominal
"[-6.819241676847696e-21, 9.436895709313843e-19, -3.145631903104612e-19]",3.107885875157985,static_idle|spin_echo|nominal,spin_echo,0.3335244099151442,0.3335223789423231,0.33352339213635046,0.33352339213635046,0.9998477421831068,-0.9994286643359358,-0.9992787250290682,1,2000,static_idle,"[[0.9998477421831068, 0.0002687115820327977, 0.01570632571977985], [-0.00024903513155377757, -0.9994286643359358, 0.03369892255473424], [0.015706689952611656, -0.03369876340513492, -0.9992787250290682]]",1.0,0.9999586266594562,nominal
"[-2.198885002043136e-19, 9.251858538543147e-21, -3.2150208421436843e-18]",0.0007815393130523571,static_idle|xy4|nominal,xy4,0.9999987401497156,0.999998198121254,0.9999984948565059,0.9999984948565059,0.9999957870869153,0.999995794842193,0.9999993872099268,4,2000,static_idle,"[[0.9999957870869153, -0.0007810923628536011, 1.7775658281303753e-05], [0.0007815337663944957, 0.999995794842193, -5.758564092139849e-06], [-1.773434085429601e-05, 5.81040501453546e-06, 0.9999993872099268]]",1.0,0.999994386637196,nominal
"[1.3900361941719599e-18, -8.918791631155423e-18, -3.099372610411915e-19]",0.0030867488586846232,static_idle|xy16|nominal,xy16,0.9999972620807699,0.9999953898149097,0.9999964581664611,0.9999964581664611,0.9999908392961563,0.9999908193360725,0.9999970903665384,16,2000,static_idle,"[[0.9999908392961563, 0.0030846265961815343, -6.664857220970516e-05], [-0.0030868935386347746, 0.9999908193360725, -3.93924979009293e-05], [6.636095079617685e-05, 3.9756129900561916e-05, 0.9999970903665384]]",1.0,0.9999921846617622,nominal
"[-1.5449880957918415e-18, 6.722053469410122e-18, -8.85431774196496e-19]",0.1963944853566589,transfer_only|xy4|nominal,xy4,0.9936042834087802,0.9935758198507717,0.9935896053297262,0.9935896053297262,0.9823465648801106,0.9823423213761753,0.9968487457220714,4,512,transfer_only,"[[0.9823465648801106, 0.18003140955039038, -0.05074319946671881], [-0.17688170424170116, 0.9823423213761753, 0.060876686978924094], [0.06080843512238606, -0.05082531024617064, 0.9968487457220714]]",1.0,0.9999895995732014,nominal
"[0.0, 0.0, 0.0]",1.1055321343009639,transport_only|none|nominal,none,0.816071506504819,0.7977998405816924,0.8069138985229609,0.8069138985229609,0.4207416955688829,0.4207416955688829,1.0,0,512,transport_only,"[[0.4207416955688829, -0.8380935277794717, 0.0], [0.8380935277794717, 0.4207416955688829, 0.0], [0.0, 0.0, 1.0]]",1.0,0.9196162237973459,nominal
"[5.023470065849501e-18, -5.068645156369731e-18, -1.4094628242311552e-18]",1.8901551042371616,transport_only|xy4_per_long_move|nominal,xy4_per_long_move,0.5647387812533486,0.5601131456241043,0.5624255469471722,0.5624255469471722,-0.3127228511814011,-0.3127221728551177,0.9999983057195515,8,512,transport_only,"[[-0.3127228511814011, -0.9457019843449691, 0.00015606522226232607], [0.945700530324212, -0.3127221728551177, -0.00013427932662948017], [0.00017704476937703984, 9.755127294807818e-05, 0.9999983057195515]]",1.0,0.9947630566620417,nominal
"[1.2508437728754726e-18, 6.830473686658669e-18, -1.0715531471398416e-17]",0.00701459747483652,transport_only|xy16|nominal,xy16,0.9999902140262611,0.9999886389109411,0.999989471043528,0.999989471043528,0.9999701158713059,0.9999700493019551,0.9999966610879067,16,512,transport_only,"[[0.9999701158713059, 0.007012929971445512, -3.381294151955341e-05], [-0.007015900820790939, 0.9999700493019551, -7.268974367163467e-06], [3.4782517105613016e-05, 6.615311880318788e-06, 0.9999966610879067]]",1.0,0.99999068694148,nominal
"[0.0, 0.0, 0.0]",0.346715743407662,protocol_a|none|nominal,none,0.9456126115667962,0.9405052649864231,0.9431898409895403,0.9431898409895403,0.8295695229686205,0.8295695229686205,1.0,0,2000,protocol_a,"[[0.8295695229686205, 0.299732650403104, 0.0], [-0.299732650403104, 0.8295695229686205, 0.0], [0.0, 0.0, 1.0]]",1.0,0.8520168367707027,nominal
"[1.8016108443783192e-20, -5.458596537740351e-19, 2.1279274638648861e-19]",3.1331430892968224,protocol_a|spin_echo|nominal,spin_echo,0.33338217643280205,0.3333779184892956,0.33337994442855745,0.33337994442855745,0.9983244505429706,-0.9998193151029193,-0.9982254688687067,1,2000,protocol_a,"[[0.9983244505429706, -0.0004256266503967647, -0.05707464001256419], [6.766241683570577e-05, -0.9998193151029193, 0.008449831364791036], [-0.05707619940321596, -0.008439755228414331, -0.9982254688687067]]",1.0,0.9998008266761601,nominal
