requirement_id,scope,implementation,numeric,paper_match,independent_review,evidence
B0,core,implemented,ran,see_report,SELF_CHECKED,outputs/paper_integration/run_formal/preflight.json
M1,core,implemented,ran,see_report,SELF_CHECKED,outputs/paper_integration/run_formal/preflight.json
R1,core,implemented,ran,see_report,SELF_CHECKED,outputs/paper_integration/run_formal/scan_rb2022.json
R2,core,implemented,ran,see_report,SELF_CHECKED,outputs/paper_integration/run_formal/scan_rb2022.json
R3,core,implemented,ran,see_report,SELF_CHECKED,outputs/paper_integration/run_formal/validation_rb2022.json
Y1,core,implemented,ran,see_report,SELF_CHECKED,outputs/paper_integration/run_formal/scan_yb2026.json
Y2,core,implemented,ran,see_report,SELF_CHECKED,outputs/paper_integration/run_formal/validation_yb2026.json
Y3,core,implemented,ran,see_report,SELF_CHECKED,outputs/paper_integration/run_formal/validation_yb2026.json
Y4,core,implemented,ran,see_report,SELF_CHECKED,outputs/paper_integration/run_formal/validation_yb2026.json
Y5,core,implemented,ran,see_report,SELF_CHECKED,outputs/paper_integration/run_formal/validation_yb2026.json
Y6,core,implemented,ran,see_report,SELF_CHECKED,outputs/paper_integration/run_formal/validation_yb2026.json
I1,core,implemented,ran,see_report,SELF_CHECKED,outputs/paper_integration/run_formal/integration.json
V1,core,implemented,ran,see_report,SELF_CHECKED,outputs/paper_integration/run_formal/requirements_status.csv;outputs/paper_integration/run_formal/report.md
