n_one_way_transfers,survival_ml_400us,survival_manual_600us,survival_manual_400us,survival_manual_200us
5,0.9899,0.9706,0.9680,0.9250
6,0.9831,0.9719,0.9651,0.8928
7,0.9823,0.9699,0.9534,0.8564
8,0.9823,0.9682,0.9319,0.8482
9,0.9823,0.9664,0.9529,0.8481
10,0.9755,0.9637,0.9451,0.7687
11,0.9713,0.9474,0.9213,0.7272
12,0.9721,0.9259,0.8997,0.7165
13,0.9722,0.9471,0.9181,0.7099
14,0.9671,0.9511,0.9043,0.6457
15,0.9595,0.9339,0.8809,0.6209
16,0.9587,0.9139,0.8710,0.6178
17,0.9586,0.9331,0.8728,0.6236
18,0.9532,0.9296,0.8528,0.5418
19,0.9416,0.9093,0.8293,0.5241
20,0.9401,0.8886,0.8236,0.5241
21,0.9409,0.9078,0.8198,0.5257
22,0.9350,0.8958,0.7983,0.4582
23,0.9297,0.8861,0.7852,0.4397
24,0.9240,0.8776,0.7713,0.4227
25,0.9181,0.8677,0.7573,0.4061
26,0.9118,0.8581,0.7442,0.3906
27,0.9060,0.8489,0.7305,0.3758
28,0.8995,0.8388,0.7164,0.3612
29,0.8979,0.8188,0.6939,0.3419
30,0.8987,0.8152,0.6889,0.3409
31,0.8925,0.8152,0.6863,0.3344
32,0.8723,0.8014,0.6657,
33,0.8643,0.7916,0.6532,
34,0.8574,0.7817,0.6416,
35,0.8506,0.7723,0.6300,
36,0.8429,0.7629,0.6192,
37,0.8355,0.7528,0.6076,
38,0.8287,0.7437,0.5969,
39,0.8156,0.7270,0.5823,
40,0.8152,0.7259,0.5825,
41,0.8143,0.7249,0.5772,
42,0.8000,0.7082,0.5557,
43,0.7923,0.6991,0.5468,
44,0.7848,0.6909,0.5367,
45,0.7781,0.6826,0.5282,
46,0.7706,0.6744,0.5184,
47,0.7632,0.6662,0.5097,
48,0.7561,0.6582,0.5013,
49,0.7417,0.6498,0.4920,
50,0.7409,0.6498,0.4920,
51,0.7404,0.6459,0.4875,
52,0.7279,0.6275,0.4689,
53,0.7207,0.6203,0.4608,
54,0.7140,0.6135,0.4540,
55,0.7074,0.6062,0.4467,
56,0.7009,0.5996,0.4393,
57,0.6943,0.5929,0.4321,
58,0.6870,0.5857,0.4253,
59,0.6688,0.5732,0.4135,
60,0.6633,0.5726,0.4135,
