waveform,n,survival,error_lower,error_upper,pdf_curve_index
manual_200us,2,0.986698952753318,0.9844528658688981,0.988931001594712,262
manual_200us,4,0.9582719156223644,0.9544395298758214,0.962174491584047,263
manual_200us,8,0.8483540387160096,0.8414613595894411,0.8552467178425764,264
manual_200us,12,0.7171966027088477,0.7084509019026335,0.7259282654720347,265
manual_200us,16,0.6235277606069769,0.614073138627867,0.6329964206291139,266
manual_200us,20,0.5264827691569598,0.5168737287045466,0.536091809609373,267
manual_200us,30,0.3423668158280575,0.3332280498170692,0.3515055818390458,268
manual_400us,2,0.991654381942072,0.9898855885205907,0.9934231753635532,269
manual_400us,4,0.9838071158896264,0.9813504583597915,0.9862778114624902,270
manual_400us,8,0.9594511112366847,0.9556187254901417,0.9632413828541457,271
manual_400us,12,0.9185933870047645,0.9131957594606401,0.9239769765058615,272
manual_400us,16,0.8745771030916252,0.868161717427997,0.8809784507122247,273
manual_400us,20,0.8239418818909587,0.8164596049572299,0.8314662729537676,274
manual_400us,30,0.6898224188049664,0.680795957138199,0.6988488804717339,275
manual_400us,40,0.5833157863543259,0.5738120312246191,0.592763389311922,276
manual_400us,50,0.49264406643885383,0.48294377870676075,0.5023443541709469,277
manual_400us,60,0.41436091949526555,0.4046957268707416,0.424026112119791,278
manual_600us,2,0.9857794609350082,0.9834982789430178,0.988074680970026,279
manual_600us,4,0.9865304962369863,0.9842844093525658,0.9887204309492977,280
manual_600us,8,0.9817294855215358,0.9791043714753693,0.9843405615246765,281
manual_600us,12,0.9576402036861207,0.9537376277244388,0.9615287416047753,282
manual_600us,16,0.9446550138855614,0.9402189922888302,0.9490910354822926,283
manual_600us,20,0.9134624822781635,0.9080718737555544,0.9188530908007743,284
manual_600us,30,0.8154629039022685,0.80786832262432,0.8230855612662735,285
manual_600us,40,0.7268337192473171,0.718123113548671,0.7355443249459617,286
manual_600us,50,0.6501860043164485,0.6409419529827538,0.6594721697792265,287
manual_600us,60,0.5732224334174583,0.5636063739435313,0.5828384928913866,288
ml_400us,2,0.9899978928648115,0.988074680970026,0.9919912949747351,289
ml_400us,4,0.9896329037460929,0.9876535396791974,0.9915982297699628,290
ml_400us,8,0.9820383224681444,0.979483398637116,0.9846213223852289,291
ml_400us,12,0.9717343988858622,0.9684775729034529,0.9749491107391897,292
ml_400us,16,0.9588053612574146,0.9549729755108716,0.9626517850469848,293
ml_400us,20,0.9403734107621337,0.9357829706920981,0.9449778888751981,294
ml_400us,30,0.8987365751421792,0.8929529014147952,0.9045342869125904,295
ml_400us,40,0.8153505995580479,0.8078121704522092,0.8229171047499411,296
ml_400us,50,0.7412016562860975,0.7328209445986016,0.7496385201457039,297
ml_400us,60,0.663381764762422,0.6543482840741408,0.6724152454507031,298
