waveform,n,survival_fit
manual_200us,5,0.9187593345693027
manual_200us,6,0.8929767098063712
manual_200us,7,0.8642373344458064
manual_200us,8,0.8328411829022916
manual_200us,9,0.8012605638317051
manual_200us,10,0.7693604041134326
manual_200us,11,0.7374602443951601
manual_200us,12,0.7055600846768876
manual_200us,13,0.6753278628489832
manual_200us,14,0.6463358077077718
manual_200us,15,0.618302110838253
manual_200us,16,0.5919667015897039
manual_200us,17,0.5667510264602029
manual_200us,18,0.5428363749048011
manual_200us,19,0.5202484205209351
manual_200us,20,0.49866832386626914
manual_200us,21,0.4784582840442959
manual_200us,22,0.4589227362339492
manual_200us,23,0.4409823896615848
manual_200us,24,0.4235046846475718
manual_200us,25,0.4071151256918037
manual_200us,26,0.39157233901872407
manual_200us,27,0.3766031364911478
manual_200us,28,0.36270120128050637
manual_200us,29,0.3490086111373705
manual_200us,30,0.3366448014492707
manual_200us,31,0.32428099176117103
manual_400us,5,0.9754984581679081
manual_400us,6,0.9705998473160851
manual_400us,7,0.965701236464262
manual_400us,8,0.9601462134514931
manual_400us,9,0.9531600477142115
manual_400us,10,0.9453884279560743
manual_400us,11,0.9365212120928308
manual_400us,12,0.9267418612991013
manual_400us,13,0.916118434844783
manual_400us,14,0.9045623193021302
manual_400us,15,0.8924452896916896
manual_400us,16,0.8798358947257301
manual_400us,17,0.8665227804584243
manual_400us,18,0.8532096661911187
manual_400us,19,0.8398186922073579
manual_400us,20,0.8261946363261939
manual_400us,21,0.8125705804450299
manual_400us,22,0.7989465245638661
manual_400us,23,0.7853224686827021
manual_400us,24,0.7716984128015381
manual_400us,25,0.7580743569203741
manual_400us,26,0.7444503010392101
manual_400us,27,0.7308262451580461
manual_400us,28,0.7172021892768821
manual_400us,29,0.7035781333957181
manual_400us,30,0.690976824346745
manual_400us,31,0.6785987628361974
manual_400us,32,0.6662207013256498
manual_400us,33,0.6538687505023661
manual_400us,34,0.6424108939031938
manual_400us,35,0.6309530373040215
manual_400us,36,0.6194951807048493
manual_400us,37,0.6082533143756056
manual_400us,38,0.5977186364273345
manual_400us,39,0.5871839584790634
manual_400us,40,0.5766492805307922
manual_400us,41,0.5664993937255545
manual_400us,42,0.5568362487224773
manual_400us,43,0.5471731037194002
manual_400us,44,0.5375099587163231
manual_400us,45,0.5284064900830313
manual_400us,46,0.5196065036668983
manual_400us,47,0.5108065172507652
manual_400us,48,0.5020065308346322
manual_400us,49,0.4936342778922275
manual_400us,50,0.4856254003381626
manual_400us,51,0.47761652278409766
manual_400us,52,0.46960764523003273
manual_400us,53,0.46191798566684333
manual_400us,54,0.4546508963689007
manual_400us,55,0.44738380707095804
manual_400us,56,0.4401167177730154
manual_400us,57,0.43285437835613794
manual_400us,58,0.42629860286204424
manual_400us,59,0.41974282736795054
manual_400us,60,0.41318705187385685
manual_600us,5,0.9823635824886283
manual_600us,6,0.9806852336457315
manual_600us,7,0.9790068848028346
manual_600us,8,0.9773285359599378
manual_600us,9,0.975650187117041
manual_600us,10,0.9729011606917161
manual_600us,11,0.9697618094466128
manual_600us,12,0.9658976098642174
manual_600us,13,0.961362646759148
manual_600us,14,0.9563860541298348
manual_600us,15,0.9504226992430214
manual_600us,16,0.944329268759075
manual_600us,17,0.9370161811178718
manual_600us,18,0.9297030934766687
manual_600us,19,0.921737002641002
manual_600us,20,0.9132748420685087
manual_600us,21,0.9048126814960156
manual_600us,22,0.8959860720072557
manual_600us,23,0.8866271076391995
manual_600us,24,0.8772681432711432
manual_600us,25,0.867909178903087
manual_600us,26,0.8584973288564335
manual_600us,27,0.8489608984789384
manual_600us,28,0.8394244681014434
manual_600us,29,0.8298880377239485
manual_600us,30,0.8203516073464534
manual_600us,31,0.8108151769689584
manual_600us,32,0.8012787465914635
manual_600us,33,0.7917423162139684
manual_600us,34,0.7822058858364734
manual_600us,35,0.7726694554589784
manual_600us,36,0.7631330250814834
manual_600us,37,0.7535965947039884
manual_600us,38,0.7440601643264934
manual_600us,39,0.7345430125220827
manual_600us,40,0.7258406564018469
manual_600us,41,0.7171383002816111
manual_600us,42,0.7084359441613753
manual_600us,43,0.6997335880411396
manual_600us,44,0.6910312319209039
manual_600us,45,0.6829493785903379
manual_600us,46,0.6748904746341782
manual_600us,47,0.6668315706780185
manual_600us,48,0.6587726667218587
manual_600us,49,0.6507137627656991
manual_600us,50,0.6432418579520525
manual_600us,51,0.6358297761184506
manual_600us,52,0.6284176942848487
manual_600us,53,0.6210056124512469
manual_600us,54,0.613593530617645
manual_600us,55,0.6067210232821612
manual_600us,56,0.5999432193778713
manual_600us,57,0.5931654154735814
manual_600us,58,0.5863876115692915
manual_600us,59,0.5796098076650016
manual_600us,60,0.5730638864114106
ml_400us,5,0.9855655915260485
ml_400us,6,0.9835379965074582
ml_400us,7,0.9815104014888678
ml_400us,8,0.9794828064702775
ml_400us,9,0.9774552114516871
ml_400us,10,0.9754276164330968
ml_400us,11,0.9734000214145064
ml_400us,12,0.9713724263959161
ml_400us,13,0.9693448313773259
ml_400us,14,0.9669722702393174
ml_400us,15,0.9638289283267651
ml_400us,16,0.9606855864142128
ml_400us,17,0.9573957749820103
ml_400us,18,0.953257929413509
ml_400us,19,0.9491200838450077
ml_400us,20,0.9449822382765063
ml_400us,21,0.9399029981629188
ml_400us,22,0.9348097891884123
ml_400us,23,0.9297165802139058
ml_400us,24,0.9238979641542496
ml_400us,25,0.917927326230651
ml_400us,26,0.9119566883070523
ml_400us,27,0.9059602312435521
ml_400us,28,0.8992366013588445
ml_400us,29,0.8925129714741369
ml_400us,30,0.8857893415894292
ml_400us,31,0.8790657117047216
ml_400us,32,0.8721899280239085
ml_400us,33,0.8649465467730186
ml_400us,34,0.8577031655221287
ml_400us,35,0.8504597842712387
ml_400us,36,0.8432164030203487
ml_400us,37,0.8359730217694588
ml_400us,38,0.8287296405185688
ml_400us,39,0.8214868846025843
ml_400us,40,0.8142705580379767
ml_400us,41,0.807054231473369
ml_400us,42,0.7998379049087613
ml_400us,43,0.7926215783441536
ml_400us,44,0.7854052517795459
ml_400us,45,0.7781889252149382
ml_400us,46,0.7709725986503305
ml_400us,47,0.7637562720857228
ml_400us,48,0.7565399455211151
ml_400us,49,0.7493236189565075
ml_400us,50,0.7421072923918998
ml_400us,51,0.7350479755363062
ml_400us,52,0.7283105302725487
ml_400us,53,0.7215730850087911
ml_400us,54,0.7148356397450336
ml_400us,55,0.7080981944812761
ml_400us,56,0.7013607492175186
ml_400us,57,0.694623303953761
ml_400us,58,0.6879097830453751
ml_400us,59,0.681583140911001
ml_400us,60,0.675256498776627
