dataset,caliber,temperature_uK,v_target_mm_per_s,profile,duration_us,dt_ns,v_avg_mm_per_s,v_peak_mm_per_s,v_rms_mm_per_s,shots,captured,capture_rate,mean_excitation_captured,margin_q10,follow_loss_rate,pair_vs_reference_difference,pair_ci_low,pair_ci_high,both_captured,only_profile,only_reference,both_failed,seed,status,error
scan_pool,same_average_speed,20.0,20.585827967567056,trapezoid,118.8982861153647,49.999279274753874,20.585827967567056,29.408325667952937,23.43929768302845,400,400,1.0,0.1305079693561214,0.6827483931853071,1.0,,,,,,,,22778,ok,
scan_pool,same_average_speed,20.0,20.585827967567056,frozen_smootherstep,118.8982861153647,49.999279274753874,20.592012647693444,38.59842728019044,24.605328875061485,400,400,1.0,0.12590212559777877,0.6925530626589957,1.0,0.0,0.0,0.0,400,0,0,0,22778,ok,
scan_pool,same_average_speed,20.0,20.585827967567056,trapezoid_fast_acc,118.8982861153647,49.999279274753874,20.585827967567056,24.218621138314187,21.901161446338136,400,400,1.0,0.1136230872727864,0.7455532986343963,1.0,0.0,0.0,0.0,400,0,0,0,22778,ok,
scan_pool,same_average_speed,20.0,30.878741951350584,trapezoid,79.26552407690981,38.85564905730873,30.87874195135058,44.112488501929406,35.15894652454267,400,400,1.0,0.12248685899649388,0.7260948947016597,1.0,,,,,,,,22778,ok,
scan_pool,same_average_speed,20.0,30.878741951350584,frozen_smootherstep,79.26552407690981,38.83661150265056,30.888018971540166,57.89764092028567,36.907993312592225,400,400,1.0,0.11622574344812538,0.7427399782291023,1.0,0.0,0.0,0.0,400,0,0,0,22778,ok,
scan_pool,same_average_speed,20.0,30.878741951350584,trapezoid_fast_acc,79.26552407690981,38.85564905730873,30.87874195135058,36.32793170747128,32.851742169507204,400,400,1.0,0.11159980457332322,0.7567020005702523,1.0,0.0,0.0,0.0,400,0,0,0,22778,ok,
scan_pool,same_average_speed,20.0,41.17165593513411,trapezoid,59.44914305768235,29.141736792981543,41.17165593513411,58.816651335905874,46.8785953660569,400,400,1.0,0.13961502993320202,0.7240976206271011,1.0,,,,,,,,22778,ok,
scan_pool,same_average_speed,20.0,41.17165593513411,frozen_smootherstep,59.44914305768235,29.127458626987924,41.18402529538689,77.19685456038088,49.21065775012297,400,400,1.0,0.1640675055257706,0.5898310176816176,1.0,0.0,0.0,0.0,400,0,0,0,22778,ok,
scan_pool,same_average_speed,20.0,41.17165593513411,trapezoid_fast_acc,59.44914305768235,29.141736792981543,41.17165593513411,48.437242276628375,43.80232289267627,400,400,1.0,0.26613338849077695,0.5503500085924391,1.0,0.0,0.0,0.0,400,0,0,0,22778,ok,
scan_pool,same_average_speed,20.0,61.75748390270117,trapezoid,39.632762038454906,19.427824528654366,61.75748390270116,88.22497700385881,70.31789304908534,400,295,0.7375,0.4788249794410511,-0.5859813221815494,1.0,,,,,,,,22778,ok,
scan_pool,same_average_speed,20.0,61.75748390270117,frozen_smootherstep,39.632762038454906,19.41830575132528,61.77603794308033,115.79528184057133,73.81598662518445,400,121,0.3025,0.6934358807635677,-1.5753653569282056,1.0,-0.43500000000000005,-0.485,-0.385,121,0,174,105,22778,ok,
scan_pool,same_average_speed,20.0,61.75748390270117,trapezoid_fast_acc,39.632762038454906,19.427824528654366,61.75748390270116,72.65586341494256,65.70348433901441,400,379,0.9475,0.2305097545986555,0.2946121490599003,1.0,0.20999999999999996,0.1725,0.25,295,84,0,21,22778,ok,
scan_pool,same_average_speed,20.0,82.34331187026822,trapezoid,29.724571528841174,14.570868396490772,82.34331187026822,117.63330267181175,93.7571907321138,400,3,0.0075,0.8696906094672663,-3.1616098368806074,1.0,,,,,,,,22778,ok,
scan_pool,same_average_speed,20.0,82.34331187026822,frozen_smootherstep,29.724571528841174,14.563729313493962,82.36805059077378,154.39370912076177,98.42131550024594,400,0,0.0,,-3.3759256479757886,1.0,-0.0075,-0.0175,0.0,0,0,3,397,22778,ok,
scan_pool,same_average_speed,20.0,82.34331187026822,trapezoid_fast_acc,29.724571528841174,14.570868396490772,82.34331187026822,96.87448455325675,87.60464578535255,400,62,0.155,0.7828183610726177,-2.4292954863938596,1.0,0.1475,0.1125,0.185,3,59,0,338,22778,ok,
scan_pool,same_peak_speed,20.0,20.585827967567056,trapezoid,169.85469445052104,49.98666699544468,14.410079577296937,20.585827967567056,16.407508378119914,400,400,1.0,0.09685034574914528,0.7741952187058475,1.0,,,,,,,,22778,ok,
scan_pool,same_peak_speed,20.0,20.585827967567056,frozen_smootherstep,222.93428646630883,49.99647599603249,10.982406745436505,20.58582788276824,13.122842066699457,400,400,1.0,0.09740979601838617,0.7704223890095105,1.0,0.0,0.0,0.0,400,0,0,0,22778,ok,
scan_pool,same_peak_speed,20.0,20.585827967567056,trapezoid_fast_acc,139.8803366063114,49.99297233963953,17.497953772432,20.585827967567056,18.615987229387407,400,400,1.0,0.11691369453545658,0.7505152334953111,1.0,0.0,0.0,0.0,400,0,0,0,22778,ok,
scan_pool,same_peak_speed,20.0,30.878741951350584,trapezoid,113.236462967014,49.994023384995145,21.615119365945407,30.878741951350587,24.611262567179875,400,400,1.0,0.13866443127349326,0.6673378415892782,1.0,,,,,,,,22778,ok,
scan_pool,same_peak_speed,20.0,30.878741951350584,frozen_smootherstep,148.62285764420588,49.99087038150214,16.473610118154756,30.87874182415236,19.684263100049186,400,400,1.0,0.10572742651131599,0.7547235227479885,1.0,0.0,0.0,0.0,400,0,0,0,22778,ok,
scan_pool,same_peak_speed,20.0,30.878741951350584,trapezoid_fast_acc,93.25355773754094,45.71252830271615,26.246930658647994,30.878741951350587,27.92398084408112,400,400,1.0,0.18417880409640197,0.624653667009438,1.0,0.0,0.0,0.0,400,0,0,0,22778,ok,
scan_pool,same_peak_speed,20.0,41.17165593513411,trapezoid,84.92734722526052,41.631052561402214,28.820159154593874,41.17165593513411,32.81501675623983,400,400,1.0,0.10466101635936091,0.7763430946776391,1.0,,,,,,,,22778,ok,
scan_pool,same_peak_speed,20.0,41.17165593513411,frozen_smootherstep,111.46714323315442,49.98526602383606,21.96481349087301,41.17165576553648,26.245684133398914,400,400,1.0,0.13347198234524837,0.6707744379370507,1.0,0.0,0.0,0.0,400,0,0,0,22778,ok,
scan_pool,same_peak_speed,20.0,41.17165593513411,trapezoid_fast_acc,69.9401683031557,34.28439622703711,34.995907544864,41.17165593513411,37.231974458774815,400,400,1.0,0.1853285843440471,0.5611559894154025,1.0,0.0,0.0,0.0,400,0,0,0,22778,ok,
scan_pool,same_peak_speed,20.0,61.75748390270117,trapezoid,56.618231483507,27.754035040934806,43.230238731890815,61.757483902701175,49.22252513435975,400,400,1.0,0.12610693753711014,0.7492745496799138,1.0,,,,,,,,22778,ok,
scan_pool,same_peak_speed,20.0,61.75748390270117,frozen_smootherstep,74.31142882210294,36.4093232837349,32.94722023630951,61.75748364830472,39.36852620009837,400,400,1.0,0.11653373088111817,0.7412144563382234,1.0,0.0,0.0,0.0,400,0,0,0,22778,ok,
scan_pool,same_peak_speed,20.0,61.75748390270117,trapezoid_fast_acc,46.62677886877047,22.856264151358076,52.49386131729599,61.757483902701175,55.84796168816224,400,400,1.0,0.1381675613630571,0.6881605187965413,1.0,0.0,0.0,0.0,400,0,0,0,22778,ok,
scan_pool,same_peak_speed,20.0,82.34331187026822,trapezoid,42.46367361263026,20.815526280701107,57.64031830918775,82.34331187026822,65.63003351247966,400,364,0.91,0.35375516261777384,0.052418719351382675,1.0,,,,,,,,22778,ok,
scan_pool,same_peak_speed,20.0,82.34331187026822,frozen_smootherstep,55.73357161657721,27.306992462801183,43.92962698174602,82.34331153107296,52.49136826679783,400,399,0.9975,0.20749888555069293,0.5222101520146434,1.0,0.08750000000000002,0.06000000000000005,0.11750000000000005,363,36,1,0,22778,ok,
scan_pool,same_peak_speed,20.0,82.34331187026822,trapezoid_fast_acc,34.97008415157785,17.142198113518553,69.991815089728,82.34331187026822,74.46394891754963,400,292,0.73,0.476369447250313,-0.7197673882741719,1.0,-0.18000000000000005,-0.21999999999999997,-0.14249999999999996,290,2,74,34,22778,ok,
boundary_reshot,same_average_speed,20.0,20.585827967567056,trapezoid,118.8982861153647,49.999279274753874,20.585827967567056,29.408325667952937,23.43929768302845,400,400,1.0,0.12273823809726336,0.7068294266798539,1.0,,,,,,,,22002,ok,
boundary_reshot,same_average_speed,20.0,20.585827967567056,frozen_smootherstep,118.8982861153647,49.999279274753874,20.592012647693444,38.59842728019044,24.605328875061485,400,400,1.0,0.11881483418326161,0.7212469935880103,1.0,0.0,0.0,0.0,400,0,0,0,22002,ok,
boundary_reshot,same_average_speed,20.0,20.585827967567056,trapezoid_fast_acc,118.8982861153647,49.999279274753874,20.585827967567056,24.218621138314187,21.901161446338136,400,400,1.0,0.10449588850403693,0.751390802054561,1.0,0.0,0.0,0.0,400,0,0,0,22002,ok,
boundary_reshot,same_average_speed,20.0,30.878741951350584,trapezoid,79.26552407690981,38.85564905730873,30.87874195135058,44.112488501929406,35.15894652454267,400,398,0.995,0.11047171242328396,0.7576375025056723,1.0,,,,,,,,22002,ok,
boundary_reshot,same_average_speed,20.0,30.878741951350584,frozen_smootherstep,79.26552407690981,38.83661150265056,30.888018971540166,57.89764092028567,36.907993312592225,400,400,1.0,0.11374526159620357,0.7409553399286135,1.0,0.0050000000000000044,0.0,0.012499999999999956,398,2,0,0,22002,ok,
boundary_reshot,same_average_speed,20.0,30.878741951350584,trapezoid_fast_acc,79.26552407690981,38.85564905730873,30.87874195135058,36.32793170747128,32.851742169507204,400,400,1.0,0.10860487154300437,0.7570006757908913,1.0,0.0050000000000000044,0.0,0.012499999999999956,398,2,0,0,22002,ok,
boundary_reshot,same_average_speed,20.0,41.17165593513411,trapezoid,59.44914305768235,29.141736792981543,41.17165593513411,58.816651335905874,46.8785953660569,400,398,0.995,0.1337046203475797,0.7274042352629967,1.0,,,,,,,,22002,ok,
boundary_reshot,same_average_speed,20.0,41.17165593513411,frozen_smootherstep,59.44914305768235,29.127458626987924,41.18402529538689,77.19685456038088,49.21065775012297,400,397,0.9925,0.14955392960108457,0.637431854717488,1.0,-0.0024999999999999467,-0.007500000000000062,0.0,397,0,1,2,22002,ok,
