experiment,condition,aod_depth_uK,aod_waist_um,temperature_uK,duration_us,v_avg_mm_per_s,v_peak_mm_per_s,eta_peak,shots,captured,capture_rate,wilson_low,wilson_high,margin_q10,margin_mean,noise_total_injected_mean,status,error
hardware_v95,nominal,280.0,1.1699999999999997,20.0,300.0,8.16118337158888,15.297622834543942,0.05779220220233267,300,300,1.0,0.9873570287754538,0.9999999999999998,0.7647567552965889,0.9010113297374008,9.646988553109144e-08,ok,
hardware_v95,nominal,280.0,1.1699999999999997,20.0,220.0,11.12888641580302,20.8603947743781,0.07880754845772636,300,300,1.0,0.9873570287754538,0.9999999999999998,0.7655603204189853,0.8978625456899082,7.074458272280496e-08,ok,
hardware_v95,nominal,280.0,1.1699999999999997,20.0,160.0,15.302218821729152,28.68304281476989,0.10836037912937375,300,300,1.0,0.9873570287754538,0.9999999999999998,0.7582543654810171,0.8954173533452728,5.1450605616587865e-08,ok,
hardware_v95,nominal,280.0,1.1699999999999997,20.0,120.0,20.4029584289722,38.24405708635985,0.1444805055058317,300,300,1.0,0.9873570287754538,0.9999999999999998,0.6762288660274525,0.8603143020581463,3.858795421243956e-08,ok,
hardware_v95,nominal,280.0,1.1699999999999997,20.0,90.0,27.203944571962932,50.992076115146475,0.19264067400777557,300,300,1.0,0.9873570287754538,0.9999999999999998,0.7296417678770687,0.8775066193671929,2.8940965659329043e-08,ok,
hardware_v95,nominal,280.0,1.1699999999999997,20.0,65.0,37.66700017656406,70.6044130825105,0.2667332409338431,300,300,1.0,0.9873570287754538,0.9999999999999998,0.6721267604202379,0.8592524181460571,2.090180853173775e-08,ok,
hardware_v95,nominal,280.0,1.1699999999999997,20.0,45.0,54.407889143925864,101.98415223029295,0.38528134801555114,300,247,0.8233333333333334,0.7761675879076233,0.8623232907005036,-0.36345159806798416,0.3040209609310778,1.4470482829664521e-08,ok,
hardware_v95,nominal,280.0,1.1699999999999997,20.0,32.0,76.51109410864576,143.41521407384943,0.5418018956468688,300,0,0.0,8.673617379884035e-19,0.012642971224546034,-3.1595674898088584,-2.1067455664104946,1.0290121123316869e-08,ok,
hardware_v95,depth_x0.5,140.0,1.1699999999999997,20.0,300.0,8.16118337158888,15.297622834543942,0.08173051615394711,300,300,1.0,0.9873570287754538,0.9999999999999998,0.5067414452062626,0.761719906155035,9.641662779165997e-08,ok,
hardware_v95,depth_x0.5,140.0,1.1699999999999997,20.0,220.0,11.12888641580302,20.8603947743781,0.11145070384629151,300,300,1.0,0.9873570287754538,0.9999999999999998,0.4812172731937242,0.7470854744118249,7.070552704721844e-08,ok,
hardware_v95,depth_x0.5,140.0,1.1699999999999997,20.0,160.0,15.302218821729152,28.68304281476989,0.1532447177886508,300,300,1.0,0.9873570287754538,0.9999999999999998,0.42740103226454956,0.6946847428137829,5.142220148888731e-08,ok,
hardware_v95,depth_x0.5,140.0,1.1699999999999997,20.0,120.0,20.4029584289722,38.24405708635985,0.20432629038486777,300,300,1.0,0.9873570287754538,0.9999999999999998,0.4203870460257128,0.6789409317470914,3.856665111666653e-08,ok,
hardware_v95,depth_x0.5,140.0,1.1699999999999997,20.0,90.0,27.203944571962932,50.992076115146475,0.27243505384649036,300,297,0.99,0.9710165066376601,0.9965933815622847,0.34084123378583137,0.6430743982931872,2.892498833749878e-08,ok,
hardware_v95,depth_x0.5,140.0,1.1699999999999997,20.0,65.0,37.66700017656406,70.6044130825105,0.3772177668643713,300,250,0.8333333333333334,0.7870033503873166,0.8712346687963193,-0.22818176064722548,0.3074037910207512,2.089026935486167e-08,ok,
hardware_v95,depth_x0.5,140.0,1.1699999999999997,20.0,45.0,54.407889143925864,101.98415223029295,0.5448701076929807,300,5,0.016666666666666666,0.00713947735063333,0.0384153948330945,-1.5458046616126653,-0.9733969136244427,1.446249416874939e-08,ok,
hardware_v95,depth_x0.5,140.0,1.1699999999999997,20.0,32.0,76.51109410864576,143.41521407384943,0.766223588943254,300,0,0.0,8.673617379884035e-19,0.012642971224546034,-1.7779796355790314,-0.9316937200132691,1.0284440297777911e-08,ok,
hardware_v95,depth_x2.0,560.0,1.1699999999999997,20.0,300.0,8.16118337158888,15.297622834543942,0.040865258076973554,300,300,1.0,0.9873570287754538,0.9999999999999998,0.7586358262237384,0.8929578805308196,9.657640100996607e-08,ok,
hardware_v95,depth_x2.0,560.0,1.1699999999999997,20.0,220.0,11.12888641580302,20.8603947743781,0.055725351923145754,300,300,1.0,0.9873570287754538,0.9999999999999998,0.7580697727131168,0.8927584011132295,7.082269407396942e-08,ok,
hardware_v95,depth_x2.0,560.0,1.1699999999999997,20.0,160.0,15.302218821729152,28.68304281476989,0.0766223588943254,300,300,1.0,0.9873570287754538,0.9999999999999998,0.7608448319139849,0.8923734341389314,5.1507413871974145e-08,ok,
hardware_v95,depth_x2.0,560.0,1.1699999999999997,20.0,120.0,20.4029584289722,38.24405708635985,0.10216314519243389,300,300,1.0,0.9873570287754538,0.9999999999999998,0.7686520350333185,0.8935928515231641,3.863056040398089e-08,ok,
hardware_v95,depth_x2.0,560.0,1.1699999999999997,20.0,90.0,27.203944571962932,50.992076115146475,0.13621752692324518,300,300,1.0,0.9873570287754538,0.9999999999999998,0.7433252800418935,0.8858347459204727,2.897292030298584e-08,ok,
hardware_v95,depth_x2.0,560.0,1.1699999999999997,20.0,65.0,37.66700017656406,70.6044130825105,0.18860888343218565,300,300,1.0,0.9873570287754538,0.9999999999999998,0.743545422475075,0.8883823574249815,2.0924886885490818e-08,ok,
hardware_v95,depth_x2.0,560.0,1.1699999999999997,20.0,45.0,54.407889143925864,101.98415223029295,0.27243505384649036,300,300,1.0,0.9873570287754538,0.9999999999999998,0.7180398069935121,0.8813757902192397,1.448646015149292e-08,ok,
hardware_v95,depth_x2.0,560.0,1.1699999999999997,20.0,32.0,76.51109410864576,143.41521407384943,0.383111794471627,300,223,0.7433333333333333,0.6910470912298479,0.7894666627742062,-0.4938005352273081,0.22325769770180032,1.0301482774395536e-08,ok,
hardware_v95,waist_0.90um,280.0,0.8999999999999999,20.0,300.0,8.16118337158888,15.297622834543942,0.05779220220233267,300,300,1.0,0.9873570287754538,0.9999999999999998,0.7701002498888524,0.8968340052460595,9.646988553109144e-08,ok,
hardware_v95,waist_0.90um,280.0,0.8999999999999999,20.0,220.0,11.12888641580302,20.8603947743781,0.07880754845772636,300,300,1.0,0.9873570287754538,0.9999999999999998,0.7697498522197946,0.8969045402633404,7.074458272280496e-08,ok,
