experiment,sub_experiment,noise_mode,structure,temperature_uK,condition,duration_us,dt_ns,v_peak_mm_per_s,eta_peak,step_displacement_frac,shots,captured,capture_rate,wilson_low,wilson_high,margin_q10,margin_mean,exc_move_end_median,follow_loss_rate,noise_recoil_injected_mean,noise_parametric_injected_mean,noise_pointing_injected_mean,noise_total_injected_mean,work_residual_median_over_depth,pair_difference,pair_ci_low,pair_ci_high,both_captured,only_on,only_off,both_failed,status,error
noise,v95_shift,off,frozen_shape_scaled,20.0,600,600.0,50.0,7.648811417271971,0.028896101101166336,0.0003268722827894005,300,300,1.0,0.9873570287754538,0.9999999999999998,0.7580694544821283,0.8946239198087886,1.011731096501582,1.0,,,,,3.062430204961247e-06,,,,,,,,ok,
noise,v95_shift,off,frozen_shape_scaled,20.0,400,399.99999999999994,50.0,11.473217125907956,0.043344151651749506,0.0004903084241841008,300,300,1.0,0.9873570287754538,0.9999999999999998,0.7588328827340413,0.8945463872058462,1.0114701570375886,1.0,,,,,3.1843528621317e-06,,,,,,,,ok,
noise,v95_shift,off,frozen_shape_scaled,20.0,300,300.0,50.0,15.297622834543942,0.05779220220233267,0.000653744565578801,300,300,1.0,0.9873570287754538,0.9999999999999998,0.7593279449246447,0.8942813786006584,1.011544878267432,1.0,,,,,3.3814507931563926e-06,,,,,,,,ok,
noise,v95_shift,off,frozen_shape_scaled,20.0,220,219.99999999999997,50.0,20.8603947743781,0.07880754845772636,0.0008914698621529104,300,300,1.0,0.9873570287754538,0.9999999999999998,0.757142440486932,0.8936668809538325,1.0124910785163292,1.0,,,,,3.109559004000545e-06,,,,,,,,ok,
noise,v95_shift,off,frozen_shape_scaled,20.0,160,160.0,50.0,28.68304281476989,0.10836037912937375,0.0012257710604602517,300,300,1.0,0.9873570287754538,0.9999999999999998,0.7502410549035893,0.8898374481185242,1.0122492001766128,1.0,,,,,3.028100431658687e-06,,,,,,,,ok,
noise,v95_shift,off,frozen_shape_scaled,20.0,120,119.99999999999999,50.0,38.24405708635985,0.1444805055058317,0.0016343614139470025,300,300,1.0,0.9873570287754538,0.9999999999999998,0.6924322823312368,0.8651898389906753,1.0177837862197117,1.0,,,,,4.686075254535216e-06,,,,,,,,ok,
noise,v95_shift,off,frozen_shape_scaled,20.0,90,89.99999999999999,44.09603135717785,50.992076115146475,0.19264067400777557,0.0019218360575564948,300,300,1.0,0.9873570287754538,0.9999999999999998,0.7091350038782579,0.856451124753736,1.0144284051402548,1.0,,,,,4.913892477364211e-06,,,,,,,,ok,
noise,v95_shift,off,frozen_shape_scaled,20.0,65,65.0,31.84713375796178,70.6044130825105,0.2667332409338431,0.0019218360575564948,300,300,1.0,0.9873570287754538,0.9999999999999998,0.6667313157667982,0.8591522765688584,1.0134950488443972,1.0,,,,,3.5914466694888344e-06,,,,,,,,ok,
noise,v95_shift,off,frozen_shape_scaled,20.0,45,44.99999999999999,22.048015678588925,101.98415223029295,0.38528134801555114,0.0019218360575564948,300,231,0.77,0.7191446136117753,0.8140281819269698,-0.42349031161510936,0.28116732414971896,1.060458570315975,1.0,,,,,5.353496572484253e-06,,,,,,,,ok,
noise,v95_shift,off,frozen_shape_scaled,20.0,32,32.0,15.678588926996568,143.41521407384943,0.5418018956468688,0.0019218360575564946,300,0,0.0,8.673617379884035e-19,0.012642971224546034,-3.2471021216365883,-2.2579494721178985,2.2079591142037645,1.0,,,,,6.580251105334727e-06,,,,,,,,ok,
noise,v95_shift,off,frozen_shape_scaled,20.0,25,24.999999999999996,12.24889759921607,183.5714740145273,0.6935064264279921,0.0019218360575564948,300,0,0.0,8.673617379884035e-19,0.012642971224546034,-3.677666114947093,-2.29457213066493,2.6158383364543702,1.0,,,,,1.6440364201834663e-06,,,,,,,,ok,
noise,v95_shift,off,frozen_shape_scaled,20.0,20,20.0,9.799118079372855,229.46434251815913,0.86688303303499,0.0019218360575564946,300,0,0.0,8.673617379884035e-19,0.012642971224546034,-2.7640215553903382,-1.2147621885502269,1.6491368255981644,1.0,,,,,1.0312298588398667e-06,,,,,,,,ok,
noise,v95_shift,x1,frozen_shape_scaled,20.0,600,600.0,50.0,7.648811417271971,0.028896101101166336,0.0003268722827894005,300,300,1.0,0.9873570287754538,0.9999999999999998,0.7570334964528707,0.893637840971074,1.0120845747992413,1.0,2.1303095772106238e-10,1.9194153112334775e-07,7.852089811457172e-10,1.9293977106222772e-07,3.0729758950653447e-06,,,,,,,,ok,
noise,v95_shift,x1,frozen_shape_scaled,20.0,400,399.99999999999994,50.0,11.473217125907956,0.043344151651749506,0.0004903084241841008,300,300,1.0,0.9873570287754538,0.9999999999999998,0.7581236733981901,0.8939176100619574,1.0115514570241564,1.0,1.420206384807021e-10,1.279610207488754e-07,5.234726540972524e-10,1.2862651404146082e-07,3.190216557067381e-06,,,,,,,,ok,
noise,v95_shift,x1,frozen_shape_scaled,20.0,300,300.0,50.0,15.297622834543942,0.05779220220233267,0.000653744565578801,300,300,1.0,0.9873570287754538,0.9999999999999998,0.7587646114877286,0.8938356615425938,1.0117261410887397,1.0,1.0651547886052201e-10,9.597076556165373e-08,3.926044905729789e-10,9.646988553109144e-08,3.3855025682746344e-06,,,,,,,,ok,
noise,v95_shift,x1,frozen_shape_scaled,20.0,220,219.99999999999997,50.0,20.8603947743781,0.07880754845772636,0.0008914698621529104,300,300,1.0,0.9873570287754538,0.9999999999999998,0.7568723512961536,0.8933742678195408,1.0125857762420143,1.0,7.811135116437793e-11,7.037856141188506e-08,2.8790995975351364e-10,7.074458272280496e-08,3.112038484096728e-06,,,,,,,,ok,
noise,v95_shift,x1,frozen_shape_scaled,20.0,160,160.0,50.0,28.68304281476989,0.10836037912937375,0.0012257710604602517,300,300,1.0,0.9873570287754538,0.9999999999999998,0.7499043584539146,0.889636672449747,1.012254945292604,1.0,5.6808255392269845e-11,5.118440829955622e-08,2.0938906163891465e-10,5.1450605616587865e-08,3.0298343968124084e-06,,,,,,,,ok,
noise,v95_shift,x1,frozen_shape_scaled,20.0,120,119.99999999999999,50.0,38.24405708635985,0.1444805055058317,0.0016343614139470025,300,300,1.0,0.9873570287754538,0.9999999999999998,0.6920529477717515,0.8650469949238128,1.0177983670759843,1.0,4.26061915442024e-11,3.8388306224666825e-08,1.5704179622918188e-10,3.858795421243956e-08,4.688121056181937e-06,,,,,,,,ok,
noise,v95_shift,x1,frozen_shape_scaled,20.0,90,89.99999999999999,44.09603135717785,50.992076115146475,0.19264067400777557,0.0019218360575564948,300,300,1.0,0.9873570287754538,0.9999999999999998,0.7089255523528379,0.8563705784939158,1.014464718316507,1.0,3.1954643658154353e-11,2.879122966849728e-08,1.1778134717188295e-10,2.8940965659329043e-08,4.912958505583518e-06,,,,,,,,ok,
noise,v95_shift,x1,frozen_shape_scaled,20.0,65,65.0,31.84713375796178,70.6044130825105,0.2667332409338431,0.0019218360575564948,300,300,1.0,0.9873570287754538,0.9999999999999998,0.666723371954423,0.8590825164441314,1.0135037782814393,1.0,2.307835375311024e-11,2.07936658716926e-08,8.506430629080662e-11,2.090180853173775e-08,3.5915010748119485e-06,,,,,,,,ok,
noise,v95_shift,x1,frozen_shape_scaled,20.0,45,44.99999999999999,22.048015678588925,101.98415223029295,0.38528134801555114,0.0019218360575564948,300,231,0.77,0.7191446136117753,0.8140281819269698,-0.4245004929465012,0.2811063205424754,1.0604554251798621,1.0,1.5977321829077177e-11,1.439561483424864e-08,5.889067358594147e-11,1.4470482829664521e-08,5.353445230272569e-06,,,,,,,,ok,
noise,v95_shift,x1,frozen_shape_scaled,20.0,32,32.0,15.678588926996568,143.41521407384943,0.5418018956468688,0.0019218360575564946,300,0,0.0,8.673617379884035e-19,0.012642971224546034,-3.2474763169689917,-2.257886651198402,2.2078673677247864,1.0,1.136165107845462e-11,1.0236881659910724e-08,4.187781232777972e-11,1.0290121123316869e-08,6.579670325022754e-06,,,,,,,,ok,
noise,v95_shift,x1,frozen_shape_scaled,20.0,25,24.999999999999996,12.24889759921607,183.5714740145273,0.6935064264279921,0.0019218360575564948,300,0,0.0,8.673617379884035e-19,0.012642971224546034,-3.6777520306312725,-2.2947053802430513,2.616023518553701,1.0,8.876289905042588e-12,7.99756379680508e-09,3.271704088107882e-11,8.039157127591434e-09,1.64658464446754e-06,,,,,,,,ok,
noise,v95_shift,x1,frozen_shape_scaled,20.0,20,20.0,9.799118079372855,229.46434251815913,0.86688303303499,0.0019218360575564946,300,0,0.0,8.673617379884035e-19,0.012642971224546034,-2.7642770109457073,-1.2152049148490618,1.6554429884669828,1.0,7.101031924034176e-12,6.398051037444205e-09,2.6173632704861898e-11,6.431325702073232e-09,1.0312236000229608e-06,,,,,,,,ok,
noise,v95_shift,x100,frozen_shape_scaled,20.0,600,600.0,50.0,7.648811417271971,0.028896101101166336,0.0003268722827894005,300,300,1.0,0.9873570287754538,0.9999999999999998,0.6569952558677148,0.9124624482765714,1.0000184349736565,1.0,2.1303095772101133e-08,1.919415311233487e-05,7.852089811457866e-08,1.929397710622173e-05,3.658974733108506e-06,,,,,,,,ok,
noise,v95_shift,x100,frozen_shape_scaled,20.0,400,399.99999999999994,50.0,11.473217125907956,0.043344151651749506,0.0004903084241841008,300,300,1.0,0.9873570287754538,0.9999999999999998,0.6937850460375906,0.9252014081927973,1.000026574838365,1.0,1.4202063848070585e-08,1.2796102074887064e-05,5.234726540972263e-08,1.2862651404145603e-05,3.0667621270869157e-06,,,,,,,,ok,
noise,v95_shift,x100,frozen_shape_scaled,20.0,300,300.0,50.0,15.297622834543942,0.05779220220233267,0.000653744565578801,300,300,1.0,0.9873570287754538,0.9999999999999998,0.7072086838716592,0.9308826567451989,1.0000345818116216,1.0,1.0651547886052183e-08,9.597076556165471e-06,3.926044905729461e-08,9.646988553109892e-06,2.921093238038531e-06,,,,,,,,ok,
noise,v95_shift,x100,frozen_shape_scaled,20.0,220,219.99999999999997,50.0,20.8603947743781,0.07880754845772636,0.0008914698621529104,300,300,1.0,0.9873570287754538,0.9999999999999998,0.7176633616365435,0.9351015828635203,1.0000433884571915,1.0,7.811135116437455e-09,7.037856141188202e-06,2.879099597535219e-08,7.0744582722812065e-06,2.8641317226452433e-06,,,,,,,,ok,
